scheme=MB+MR fold=4 training_seed=42 epochs=50 batch_size=32 optimizer=AdamW lr=0.0001 weight_decay=0.0001 loss=CrossEntropyLoss scheduler=None early_stopping=False task=5class
epoch=001 loss=1.4719 acc=0.3099 sec=3.7
epoch=002 loss=1.2910 acc=0.4253 sec=3.4
epoch=003 loss=1.1625 acc=0.5044 sec=3.2
epoch=004 loss=1.0523 acc=0.5433 sec=3.2
epoch=005 loss=0.9419 acc=0.6098 sec=3.2
epoch=006 loss=0.7952 acc=0.6926 sec=3.4
epoch=007 loss=0.6735 acc=0.7327 sec=3.2
epoch=008 loss=0.5817 acc=0.7704 sec=3.1
epoch=009 loss=0.5018 acc=0.8143 sec=3.3
epoch=010 loss=0.4271 acc=0.8419 sec=3.2
epoch=011 loss=0.3567 acc=0.8695 sec=3.3
epoch=012 loss=0.2810 acc=0.9084 sec=3.2
epoch=013 loss=0.2492 acc=0.9134 sec=3.3
epoch=014 loss=0.2749 acc=0.9046 sec=3.2
epoch=015 loss=0.2288 acc=0.9272 sec=3.3
epoch=016 loss=0.1902 acc=0.9398 sec=3.3
epoch=017 loss=0.1657 acc=0.9548 sec=3.2
epoch=018 loss=0.1480 acc=0.9573 sec=3.2
epoch=019 loss=0.1350 acc=0.9561 sec=3.4
epoch=020 loss=0.1193 acc=0.9624 sec=3.1
epoch=021 loss=0.1153 acc=0.9699 sec=3.2
epoch=022 loss=0.0883 acc=0.9749 sec=3.1
epoch=023 loss=0.0789 acc=0.9749 sec=3.2
epoch=024 loss=0.0719 acc=0.9749 sec=3.2
epoch=025 loss=0.0798 acc=0.9787 sec=3.3
epoch=026 loss=0.0538 acc=0.9862 sec=3.3
epoch=027 loss=0.0538 acc=0.9799 sec=3.3
epoch=028 loss=0.0445 acc=0.9912 sec=3.3
epoch=029 loss=0.0244 acc=0.9950 sec=3.3
epoch=030 loss=0.0266 acc=0.9950 sec=3.2
epoch=031 loss=0.0327 acc=0.9900 sec=3.1
epoch=032 loss=0.0515 acc=0.9875 sec=3.1
epoch=033 loss=0.0223 acc=0.9975 sec=3.0
epoch=034 loss=0.0322 acc=0.9925 sec=3.2
epoch=035 loss=0.0187 acc=0.9975 sec=3.1
epoch=036 loss=0.0153 acc=0.9962 sec=3.1
epoch=037 loss=0.0302 acc=0.9925 sec=3.1
epoch=038 loss=0.0471 acc=0.9837 sec=3.2
epoch=039 loss=0.0612 acc=0.9762 sec=3.3
epoch=040 loss=0.0510 acc=0.9887 sec=3.2
epoch=041 loss=0.0865 acc=0.9749 sec=3.1
epoch=042 loss=0.1106 acc=0.9724 sec=3.1
epoch=043 loss=0.0539 acc=0.9849 sec=3.3
epoch=044 loss=0.0350 acc=0.9925 sec=3.1
epoch=045 loss=0.0545 acc=0.9849 sec=3.2
epoch=046 loss=0.0422 acc=0.9862 sec=3.2
epoch=047 loss=0.0392 acc=0.9862 sec=3.1
epoch=048 loss=0.0764 acc=0.9737 sec=3.3
epoch=049 loss=0.1000 acc=0.9636 sec=3.1
epoch=050 loss=0.0871 acc=0.9749 sec=3.2
