step,source_step,combination,modalities,fold,training_seed,evaluation_count,checkpoint,parameter_count,baseline_accuracy,baseline_macro_f1,baseline_confusion_matrix,deeplift
step_10_N,step_09_N,M+MB+MR,"['M', 'MB', 'MR']",2,2026,200,fold_02/M_MB_MR/seed_2026/checkpoints/last.pth,23537093,0.505,0.4235677108766337,"[[0, 4, 1, 2, 0], [0, 18, 4, 3, 0], [0, 4, 23, 13, 5], [0, 6, 15, 35, 9], [0, 1, 3, 29, 25]]","{'M': {'mean_abs_attribution': 6.910462077030388e-05, 'std_abs_attribution': 1.8182071884233835e-05, 'mean_attribution_fraction': 0.32110241502523423}, 'MB': {'mean_abs_attribution': 6.2360265510506e-05, 'std_abs_attribution': 1.5741799639937433e-05, 'mean_attribution_fraction': 0.2905624942481518}, 'MR': {'mean_abs_attribution': 8.38553654284624e-05, 'std_abs_attribution': 2.3829089374304305e-05, 'mean_attribution_fraction': 0.3883350917696953}}"
step_10_N,step_09_N,M+MB+MR,"['M', 'MB', 'MR']",3,2026,199,fold_03/M_MB_MR/seed_2026/checkpoints/last.pth,23537093,0.4623115577889447,0.3685473552108297,"[[0, 5, 1, 0, 1], [0, 11, 6, 2, 6], [0, 4, 15, 14, 12], [0, 0, 10, 26, 29], [0, 0, 6, 11, 40]]","{'M': {'mean_abs_attribution': 7.500204457810743e-05, 'std_abs_attribution': 2.1138593309939986e-05, 'mean_attribution_fraction': 0.32711434229534475}, 'MB': {'mean_abs_attribution': 6.530494588949653e-05, 'std_abs_attribution': 1.73726259635665e-05, 'mean_attribution_fraction': 0.28616840905280566}, 'MR': {'mean_abs_attribution': 8.83728709924807e-05, 'std_abs_attribution': 2.3552953853577433e-05, 'mean_attribution_fraction': 0.38671724760352666}}"
step_10_N,step_09_N,M+MB+MR,"['M', 'MB', 'MR']",4,2026,198,fold_04/M_MB_MR/seed_2026/checkpoints/last.pth,23537093,0.45454545454545453,0.3559671907040328,"[[0, 3, 2, 0, 2], [0, 8, 13, 3, 0], [1, 7, 15, 17, 5], [0, 0, 18, 32, 15], [0, 0, 7, 15, 35]]","{'M': {'mean_abs_attribution': 0.000114043997099442, 'std_abs_attribution': 3.143709622513367e-05, 'mean_attribution_fraction': 0.3208172098554746}, 'MB': {'mean_abs_attribution': 0.00010259406235950383, 'std_abs_attribution': 2.7519298907628963e-05, 'mean_attribution_fraction': 0.28933899014285114}, 'MR': {'mean_abs_attribution': 0.0001391213635441899, 'std_abs_attribution': 4.087807015386135e-05, 'mean_attribution_fraction': 0.3898438010552917}}"
step_10_N,step_09_N,M+MB+MR,"['M', 'MB', 'MR']",5,2026,197,fold_05/M_MB_MR/seed_2026/checkpoints/last.pth,23537093,0.45685279187817257,0.4549556206357052,"[[3, 2, 2, 0, 0], [2, 12, 8, 1, 1], [0, 7, 20, 8, 9], [0, 2, 22, 21, 20], [2, 0, 10, 11, 34]]","{'M': {'mean_abs_attribution': 9.615241788427563e-05, 'std_abs_attribution': 2.9162299013270446e-05, 'mean_attribution_fraction': 0.3165182008356007}, 'MB': {'mean_abs_attribution': 8.726593558389935e-05, 'std_abs_attribution': 2.544356860460039e-05, 'mean_attribution_fraction': 0.28847162932308795}, 'MR': {'mean_abs_attribution': 0.00012084929139423067, 'std_abs_attribution': 4.0316356703319224e-05, 'mean_attribution_fraction': 0.39501017407717437}}"
step_10_N,step_09_N,M+MB+MP+MR+MUV,"['M', 'MB', 'MP', 'MR', 'MUV']",1,42,202,fold_01/M_MB_MP_MR_MUV/seed_42/checkpoints/last.pth,23555909,0.5099009900990099,0.42076609139350607,"[[0, 4, 3, 1, 0], [0, 14, 9, 1, 1], [1, 4, 21, 13, 6], [1, 0, 18, 25, 22], [0, 0, 6, 9, 43]]","{'M': {'mean_abs_attribution': 3.864787058683751e-05, 'std_abs_attribution': 1.1690663617007623e-05, 'mean_attribution_fraction': 0.19761608695924873}, 'MB': {'mean_abs_attribution': 3.43866896526937e-05, 'std_abs_attribution': 1.0969625805434633e-05, 'mean_attribution_fraction': 0.1751829435919771}, 'MP': {'mean_abs_attribution': 4.399611449152511e-05, 'std_abs_attribution': 1.6056574818080992e-05, 'mean_attribution_fraction': 0.22216877215864636}, 'MR': {'mean_abs_attribution': 4.563014817454087e-05, 'std_abs_attribution': 1.3823643736742548e-05, 'mean_attribution_fraction': 0.23421311614537002}, 'MUV': {'mean_abs_attribution': 3.364261390130862e-05, 'std_abs_attribution': 1.1423997407348818e-05, 'mean_attribution_fraction': 0.17081908084968528}}"
step_10_N,step_09_N,M+MB+MP+MR+MUV,"['M', 'MB', 'MP', 'MR', 'MUV']",2,42,200,fold_02/M_MB_MP_MR_MUV/seed_42/checkpoints/last.pth,23555909,0.44,0.36626360633442234,"[[0, 4, 1, 2, 0], [2, 16, 5, 1, 1], [0, 10, 18, 11, 6], [0, 4, 21, 30, 10], [0, 2, 3, 29, 24]]","{'M': {'mean_abs_attribution': 4.1815092749857286e-05, 'std_abs_attribution': 1.3304416581117018e-05, 'mean_attribution_fraction': 0.1969698855280876}, 'MB': {'mean_abs_attribution': 3.752811505364661e-05, 'std_abs_attribution': 1.1967004037812318e-05, 'mean_attribution_fraction': 0.17669478125870228}, 'MP': {'mean_abs_attribution': 4.75896454145186e-05, 'std_abs_attribution': 1.8719338182287463e-05, 'mean_attribution_fraction': 0.22057719357311725}, 'MR': {'mean_abs_attribution': 5.04033291417727e-05, 'std_abs_attribution': 1.7234147003026208e-05, 'mean_attribution_fraction': 0.23642773121595384}, 'MUV': {'mean_abs_attribution': 3.6441426204874005e-05, 'std_abs_attribution': 1.4122864845002557e-05, 'mean_attribution_fraction': 0.16933040879666805}}"
step_10_N,step_09_N,M+MB+MP+MR+MUV,"['M', 'MB', 'MP', 'MR', 'MUV']",3,42,199,fold_03/M_MB_MP_MR_MUV/seed_42/checkpoints/last.pth,23555909,0.5125628140703518,0.42347691392165787,"[[0, 5, 1, 0, 1], [0, 15, 2, 5, 3], [1, 3, 19, 15, 7], [1, 1, 7, 43, 13], [0, 0, 6, 26, 25]]","{'M': {'mean_abs_attribution': 4.24352278900754e-05, 'std_abs_attribution': 1.2724911193579974e-05, 'mean_attribution_fraction': 0.19645951179104235}, 'MB': {'mean_abs_attribution': 3.8026638595972636e-05, 'std_abs_attribution': 1.1303294801203594e-05, 'mean_attribution_fraction': 0.17566402600937753}, 'MP': {'mean_abs_attribution': 4.892483218954747e-05, 'std_abs_attribution': 1.6687187975856917e-05, 'mean_attribution_fraction': 0.22367522607197116}, 'MR': {'mean_abs_attribution': 5.011298863202463e-05, 'std_abs_attribution': 1.3794223022749059e-05, 'mean_attribution_fraction': 0.23332546786147745}, 'MUV': {'mean_abs_attribution': 3.7191310079308194e-05, 'std_abs_attribution': 1.2250863081114323e-05, 'mean_attribution_fraction': 0.1708757680414909}}"
step_10_N,step_09_N,M+MB+MP+MR+MUV,"['M', 'MB', 'MP', 'MR', 'MUV']",4,42,198,fold_04/M_MB_MP_MR_MUV/seed_42/checkpoints/last.pth,23555909,0.4595959595959596,0.3565649118057751,"[[0, 3, 1, 3, 0], [4, 8, 8, 4, 0], [2, 8, 12, 21, 2], [1, 1, 10, 40, 13], [0, 0, 2, 24, 31]]","{'M': {'mean_abs_attribution': 2.801720600730576e-05, 'std_abs_attribution': 8.062672064479146e-06, 'mean_attribution_fraction': 0.19381016492843628}, 'MB': {'mean_abs_attribution': 2.521499793992273e-05, 'std_abs_attribution': 7.768039490124362e-06, 'mean_attribution_fraction': 0.173229522551551}, 'MP': {'mean_abs_attribution': 3.231235087705592e-05, 'std_abs_attribution': 1.2223305549225005e-05, 'mean_attribution_fraction': 0.21946462258847074}, 'MR': {'mean_abs_attribution': 3.5327237707282286e-05, 'std_abs_attribution': 9.986960475513929e-06, 'mean_attribution_fraction': 0.2442225418006531}, 'MUV': {'mean_abs_attribution': 2.4855135286612274e-05, 'std_abs_attribution': 8.979845404322688e-06, 'mean_attribution_fraction': 0.1692731478674845}}"
step_10_N,step_09_N,M+MB+MP+MR+MUV,"['M', 'MB', 'MP', 'MR', 'MUV']",5,42,197,fold_05/M_MB_MP_MR_MUV/seed_42/checkpoints/last.pth,23555909,0.49238578680203043,0.44400344561817107,"[[1, 4, 1, 0, 1], [1, 14, 7, 1, 1], [1, 5, 20, 14, 4], [0, 1, 14, 35, 15], [0, 2, 6, 22, 27]]","{'M': {'mean_abs_attribution': 3.858785475579121e-05, 'std_abs_attribution': 1.1045271895382885e-05, 'mean_attribution_fraction': 0.19798961622158284}, 'MB': {'mean_abs_attribution': 3.387749533947979e-05, 'std_abs_attribution': 9.605739506941011e-06, 'mean_attribution_fraction': 0.17373485515262874}, 'MP': {'mean_abs_attribution': 4.439238290878475e-05, 'std_abs_attribution': 1.609463942727819e-05, 'mean_attribution_fraction': 0.22365184264437196}, 'MR': {'mean_abs_attribution': 4.535365051335506e-05, 'std_abs_attribution': 1.2782159301796866e-05, 'mean_attribution_fraction': 0.23373134971270101}, 'MUV': {'mean_abs_attribution': 3.378051935427268e-05, 'std_abs_attribution': 1.1750646031679057e-05, 'mean_attribution_fraction': 0.17089233505846885}}"
step_10_N,step_09_N,M+MB+MP+MR+MUV,"['M', 'MB', 'MP', 'MR', 'MUV']",1,3407,202,fold_01/M_MB_MP_MR_MUV/seed_3407/checkpoints/last.pth,23555909,0.504950495049505,0.4058431532904601,"[[0, 4, 3, 0, 1], [0, 13, 8, 3, 1], [0, 5, 16, 19, 5], [0, 1, 13, 34, 18], [0, 1, 5, 13, 39]]","{'M': {'mean_abs_attribution': 3.372354529635078e-05, 'std_abs_attribution': 1.1810023197580648e-05, 'mean_attribution_fraction': 0.19108155539425292}, 'MB': {'mean_abs_attribution': 3.1551711889742275e-05, 'std_abs_attribution': 1.1696274796778952e-05, 'mean_attribution_fraction': 0.17783455934264872}, 'MP': {'mean_abs_attribution': 3.873001851658982e-05, 'std_abs_attribution': 1.5270035614348748e-05, 'mean_attribution_fraction': 0.2174557144246479}, 'MR': {'mean_abs_attribution': 4.325922978606817e-05, 'std_abs_attribution': 1.5232543712982036e-05, 'mean_attribution_fraction': 0.24490067370162152}, 'MUV': {'mean_abs_attribution': 2.9983283670529514e-05, 'std_abs_attribution': 1.1411746108773418e-05, 'mean_attribution_fraction': 0.1687274988334958}}"
