step,source_step,combination,modalities,fold,training_seed,evaluation_count,checkpoint,parameter_count,baseline_accuracy,baseline_macro_f1,baseline_confusion_matrix,deeplift
step_04_N,step_03_N,M+MR,"['M', 'MR']",1,42,202,fold_01/M_MR/seed_42/checkpoints/last.pth,23521538,0.7772277227722773,0.760757994472957,"[[52, 26], [19, 105]]","{'M': {'mean_abs_attribution': 0.00022784874331906882, 'std_abs_attribution': 0.00011462264804663137, 'mean_attribution_fraction': 0.4339419432205729}, 'MR': {'mean_abs_attribution': 0.00030051228546509797, 'std_abs_attribution': 0.00016488397936987505, 'mean_attribution_fraction': 0.5660580584023258}}"
step_04_N,step_03_N,M+MR,"['M', 'MR']",2,42,200,fold_02/M_MR/seed_42/checkpoints/last.pth,23521538,0.715,0.7024974555703437,"[[51, 26], [31, 92]]","{'M': {'mean_abs_attribution': 0.00029820357991411584, 'std_abs_attribution': 0.0001164703433437672, 'mean_attribution_fraction': 0.44524666875600816}, 'MR': {'mean_abs_attribution': 0.0003780985662160674, 'std_abs_attribution': 0.00016692610025995588, 'mean_attribution_fraction': 0.5547533316910267}}"
step_04_N,step_03_N,M+MR,"['M', 'MR']",3,42,199,fold_03/M_MR/seed_42/checkpoints/last.pth,23521538,0.7336683417085427,0.7070359156690091,"[[43, 34], [19, 103]]","{'M': {'mean_abs_attribution': 0.00024305039788765983, 'std_abs_attribution': 8.192559719846445e-05, 'mean_attribution_fraction': 0.445357355939683}, 'MR': {'mean_abs_attribution': 0.0003023817166718233, 'std_abs_attribution': 0.00010102538681439917, 'mean_attribution_fraction': 0.5546426455579211}}"
step_04_N,step_03_N,M+MR,"['M', 'MR']",4,42,198,fold_04/M_MR/seed_42/checkpoints/last.pth,23521538,0.7929292929292929,0.7756156886591669,"[[51, 25], [16, 106]]","{'M': {'mean_abs_attribution': 0.00028052395947555063, 'std_abs_attribution': 0.00012009638953530458, 'mean_attribution_fraction': 0.4359524347866424}, 'MR': {'mean_abs_attribution': 0.0003606913240292495, 'std_abs_attribution': 0.00014576324304203502, 'mean_attribution_fraction': 0.5640475716855791}}"
step_04_N,step_03_N,M+MR,"['M', 'MR']",5,42,197,fold_05/M_MR/seed_42/checkpoints/last.pth,23521538,0.766497461928934,0.7497238179407866,"[[50, 25], [21, 101]]","{'M': {'mean_abs_attribution': 0.0002326132265539476, 'std_abs_attribution': 8.83109660966994e-05, 'mean_attribution_fraction': 0.4270527455104789}, 'MR': {'mean_abs_attribution': 0.00031535921584806514, 'std_abs_attribution': 0.00013062536626357848, 'mean_attribution_fraction': 0.5729472547920827}}"
step_04_N,step_03_N,M+MR,"['M', 'MR']",1,3407,202,fold_01/M_MR/seed_3407/checkpoints/last.pth,23521538,0.7821782178217822,0.7578729432276343,"[[47, 31], [13, 111]]","{'M': {'mean_abs_attribution': 0.0003058714997804249, 'std_abs_attribution': 0.00011824178677817787, 'mean_attribution_fraction': 0.43555736143400176}, 'MR': {'mean_abs_attribution': 0.0004009108376729021, 'std_abs_attribution': 0.00016970287846037346, 'mean_attribution_fraction': 0.5644426403364332}}"
step_04_N,step_03_N,M+MR,"['M', 'MR']",2,3407,200,fold_02/M_MR/seed_3407/checkpoints/last.pth,23521538,0.735,0.6916363636363636,"[[36, 41], [12, 111]]","{'M': {'mean_abs_attribution': 0.00024890786149626363, 'std_abs_attribution': 8.505864452414468e-05, 'mean_attribution_fraction': 0.4299884437024593}, 'MR': {'mean_abs_attribution': 0.0003335331632843008, 'std_abs_attribution': 0.00012677612073017696, 'mean_attribution_fraction': 0.5700115582346916}}"
step_04_N,step_03_N,M+MR,"['M', 'MR']",3,3407,199,fold_03/M_MR/seed_3407/checkpoints/last.pth,23521538,0.7035175879396985,0.6983686576750161,"[[57, 20], [39, 83]]","{'M': {'mean_abs_attribution': 0.0001889549520405784, 'std_abs_attribution': 9.610192451309722e-05, 'mean_attribution_fraction': 0.43886424773302507}, 'MR': {'mean_abs_attribution': 0.00024051326159569178, 'std_abs_attribution': 0.00011609687266423006, 'mean_attribution_fraction': 0.561135756310506}}"
step_04_N,step_03_N,M+MR,"['M', 'MR']",4,3407,198,fold_04/M_MR/seed_3407/checkpoints/last.pth,23521538,0.797979797979798,0.7817460317460316,"[[52, 24], [16, 106]]","{'M': {'mean_abs_attribution': 0.00029095878467114286, 'std_abs_attribution': 8.794049856082552e-05, 'mean_attribution_fraction': 0.4268038986307202}, 'MR': {'mean_abs_attribution': 0.0003925606951904201, 'std_abs_attribution': 0.00012349508010714197, 'mean_attribution_fraction': 0.5731960980579106}}"
step_04_N,step_03_N,M+MR,"['M', 'MR']",5,3407,197,fold_05/M_MR/seed_3407/checkpoints/last.pth,23521538,0.7715736040609137,0.7595801806199658,"[[54, 21], [24, 98]]","{'M': {'mean_abs_attribution': 0.0002566890535919884, 'std_abs_attribution': 8.737809256730202e-05, 'mean_attribution_fraction': 0.42168441520729644}, 'MR': {'mean_abs_attribution': 0.0003584998591905247, 'std_abs_attribution': 0.00014283773368494124, 'mean_attribution_fraction': 0.5783155885747242}}"
