step,combination,modalities,modality,fold,training_seed,evaluation_count,baseline_accuracy,baseline_macro_f1,perturbed_accuracy,perturbed_macro_f1,delta_accuracy,delta_macro_f1,baseline_confusion_matrix,perturbed_confusion_matrix,replacement
step_04_N,M+MR,"['M', 'MR']",M,3,2026,199,0.7487437185929648,0.6988498789346247,0.6130653266331658,0.38006230529595014,-0.13567839195979903,-0.31878757363867455,"[[34, 43], [7, 115]]","[[0, 77], [0, 122]]",zero_normalized_baseline
step_04_N,M+MR,"['M', 'MR']",MR,3,2026,199,0.7487437185929648,0.6988498789346247,0.4020100502512563,0.31193886742017024,-0.34673366834170855,-0.38691101151445445,"[[34, 43], [7, 115]]","[[76, 1], [118, 4]]",zero_normalized_baseline
step_04_N,M+MR,"['M', 'MR']",M,4,2026,198,0.7828282828282829,0.7646701124961995,0.6111111111111112,0.3793103448275862,-0.1717171717171717,-0.38535976766861335,"[[50, 26], [17, 105]]","[[0, 76], [1, 121]]",zero_normalized_baseline
step_04_N,M+MR,"['M', 'MR']",MR,4,2026,198,0.7828282828282829,0.7646701124961995,0.398989898989899,0.30444280442804433,-0.38383838383838387,-0.4602273080681552,"[[50, 26], [17, 105]]","[[76, 0], [119, 3]]",zero_normalized_baseline
step_04_N,M+MR,"['M', 'MR']",M,5,2026,197,0.7360406091370558,0.7240896358543417,0.6751269035532995,0.5592841163310962,-0.060913705583756306,-0.16480551952324551,"[[52, 23], [29, 93]]","[[16, 59], [5, 117]]",zero_normalized_baseline
step_04_N,M+MR,"['M', 'MR']",MR,5,2026,197,0.7360406091370558,0.7240896358543417,0.38071065989847713,0.2757352941176471,-0.3553299492385787,-0.44835434173669464,"[[52, 23], [29, 93]]","[[75, 0], [122, 0]]",zero_normalized_baseline
step_04_N,M+MB+MR,"['M', 'MB', 'MR']",M,1,42,202,0.7722772277227723,0.7547508445945946,0.7079207920792079,0.6155855884914363,-0.06435643564356441,-0.13916525610315833,"[[51, 27], [19, 105]]","[[22, 56], [3, 121]]",zero_normalized_baseline
step_04_N,M+MB+MR,"['M', 'MB', 'MR']",MB,1,42,202,0.7722772277227723,0.7547508445945946,0.693069306930693,0.6900306900306901,-0.07920792079207928,-0.06472015456390456,"[[51, 27], [19, 105]]","[[60, 18], [44, 80]]",zero_normalized_baseline
step_04_N,M+MB+MR,"['M', 'MB', 'MR']",MR,1,42,202,0.7722772277227723,0.7547508445945946,0.41089108910891087,0.32239605355884426,-0.36138613861386143,-0.43235479103575036,"[[51, 27], [19, 105]]","[[78, 0], [119, 5]]",zero_normalized_baseline
step_04_N,M+MB+MR,"['M', 'MB', 'MR']",M,2,42,200,0.76,0.744,0.705,0.6040135575019295,-0.05500000000000005,-0.13998644249807046,"[[51, 26], [22, 101]]","[[20, 57], [2, 121]]",zero_normalized_baseline
step_04_N,M+MB+MR,"['M', 'MB', 'MR']",MB,2,42,200,0.76,0.744,0.73,0.694708276797829,-0.030000000000000027,-0.04929172320217101,"[[51, 26], [22, 101]]","[[39, 38], [16, 107]]",zero_normalized_baseline
step_04_N,M+MB+MR,"['M', 'MB', 'MR']",MR,2,42,200,0.76,0.744,0.445,0.3794549266247379,-0.315,-0.3645450733752621,"[[51, 26], [22, 101]]","[[77, 0], [111, 12]]",zero_normalized_baseline
step_04_N,M+MB+MR,"['M', 'MB', 'MR']",M,3,42,199,0.7336683417085427,0.685323865501089,0.7487437185929648,0.6893731268731269,0.015075376884422176,0.004049261372037871,"[[34, 43], [10, 112]]","[[31, 46], [4, 118]]",zero_normalized_baseline
step_04_N,M+MB+MR,"['M', 'MB', 'MR']",MB,3,42,199,0.7336683417085427,0.685323865501089,0.6834170854271356,0.6727059130661794,-0.05025125628140703,-0.012617952434909596,"[[34, 43], [10, 112]]","[[50, 27], [36, 86]]",zero_normalized_baseline
step_04_N,M+MB+MR,"['M', 'MB', 'MR']",MR,3,42,199,0.7336683417085427,0.685323865501089,0.3869346733668342,0.27898550724637683,-0.3467336683417085,-0.4063383582547122,"[[34, 43], [10, 112]]","[[77, 0], [122, 0]]",zero_normalized_baseline
step_04_N,M+MB+MR,"['M', 'MB', 'MR']",M,4,42,198,0.7676767676767676,0.7366107576633892,0.6414141414141414,0.4682050312086249,-0.1262626262626262,-0.26840572645476435,"[[42, 34], [12, 110]]","[[7, 69], [2, 120]]",zero_normalized_baseline
step_04_N,M+MB+MR,"['M', 'MB', 'MR']",MB,4,42,198,0.7676767676767676,0.7366107576633892,0.696969696969697,0.666329625884732,-0.07070707070707061,-0.07028113177865725,"[[42, 34], [12, 110]]","[[39, 37], [23, 99]]",zero_normalized_baseline
step_04_N,M+MB+MR,"['M', 'MB', 'MR']",MR,4,42,198,0.7676767676767676,0.7366107576633892,0.42424242424242425,0.3472527472527473,-0.34343434343434337,-0.38935801041064194,"[[42, 34], [12, 110]]","[[76, 0], [114, 8]]",zero_normalized_baseline
step_04_N,M+MB+MR,"['M', 'MB', 'MR']",M,5,42,197,0.751269035532995,0.7198212057005196,0.6548223350253807,0.5317393736017897,-0.09644670050761428,-0.18808183209872986,"[[41, 34], [15, 107]]","[[14, 61], [7, 115]]",zero_normalized_baseline
step_04_N,M+MB+MR,"['M', 'MB', 'MR']",MB,5,42,197,0.751269035532995,0.7198212057005196,0.7461928934010152,0.7031702025072324,-0.005076142131979711,-0.01665100319328716,"[[41, 34], [15, 107]]","[[36, 39], [11, 111]]",zero_normalized_baseline
step_04_N,M+MB+MR,"['M', 'MB', 'MR']",MR,5,42,197,0.751269035532995,0.7198212057005196,0.583756345177665,0.5789720600500416,-0.16751269035533,-0.1408491456504779,"[[41, 34], [15, 107]]","[[68, 7], [75, 47]]",zero_normalized_baseline
step_04_N,M+MB+MR,"['M', 'MB', 'MR']",M,1,3407,202,0.7178217821782178,0.693409665823459,0.7029702970297029,0.6208708708708708,-0.014851485148514865,-0.07253879495258819,"[[44, 34], [23, 101]]","[[24, 54], [6, 118]]",zero_normalized_baseline
step_04_N,M+MB+MR,"['M', 'MB', 'MR']",MB,1,3407,202,0.7178217821782178,0.693409665823459,0.7227722772277227,0.707609594706369,0.004950495049504955,0.014199928882909996,"[[44, 34], [23, 101]]","[[50, 28], [28, 96]]",zero_normalized_baseline
step_04_N,M+MB+MR,"['M', 'MB', 'MR']",MR,1,3407,202,0.7178217821782178,0.693409665823459,0.3910891089108911,0.2875698924731183,-0.3267326732673267,-0.40583977335034066,"[[44, 34], [23, 101]]","[[78, 0], [123, 1]]",zero_normalized_baseline
step_04_N,M+MB+MR,"['M', 'MB', 'MR']",M,2,3407,200,0.76,0.732620320855615,0.64,0.4667456673085468,-0.12,-0.26587465354706824,"[[44, 33], [15, 108]]","[[7, 70], [2, 121]]",zero_normalized_baseline
step_04_N,M+MB+MR,"['M', 'MB', 'MR']",MB,2,3407,200,0.76,0.732620320855615,0.79,0.7707173272191288,0.030000000000000027,0.03809700636351376,"[[44, 33], [15, 108]]","[[50, 27], [15, 108]]",zero_normalized_baseline
step_04_N,M+MB+MR,"['M', 'MB', 'MR']",MR,2,3407,200,0.76,0.732620320855615,0.39,0.2870500233754091,-0.37,-0.44557029748020593,"[[44, 33], [15, 108]]","[[77, 0], [122, 1]]",zero_normalized_baseline
step_04_N,M+MB+MR,"['M', 'MB', 'MR']",M,3,3407,199,0.7437185929648241,0.72493698674689,0.7085427135678392,0.6126845637583892,-0.035175879396984966,-0.1122524229885008,"[[48, 29], [22, 100]]","[[21, 56], [2, 120]]",zero_normalized_baseline
step_04_N,M+MB+MR,"['M', 'MB', 'MR']",MB,3,3407,199,0.7437185929648241,0.72493698674689,0.7135678391959799,0.6704244995205857,-0.03015075376884424,-0.05451248722630431,"[[48, 29], [22, 100]]","[[35, 42], [15, 107]]",zero_normalized_baseline
step_04_N,M+MB+MR,"['M', 'MB', 'MR']",MR,3,3407,199,0.7437185929648241,0.72493698674689,0.4120603015075377,0.32903950894786893,-0.3316582914572864,-0.39589747779902107,"[[48, 29], [22, 100]]","[[76, 1], [116, 6]]",zero_normalized_baseline
step_04_N,M+MB+MR,"['M', 'MB', 'MR']",M,4,3407,198,0.797979797979798,0.7817460317460316,0.6464646464646465,0.5317567567567568,-0.1515151515151515,-0.2499892749892748,"[[52, 24], [16, 106]]","[[15, 61], [9, 113]]",zero_normalized_baseline
step_04_N,M+MB+MR,"['M', 'MB', 'MR']",MB,4,3407,198,0.797979797979798,0.7817460317460316,0.6363636363636364,0.6360294117647058,-0.16161616161616166,-0.1457166199813258,"[[52, 24], [16, 106]]","[[66, 10], [62, 60]]",zero_normalized_baseline
step_04_N,M+MB+MR,"['M', 'MB', 'MR']",MR,4,3407,198,0.797979797979798,0.7817460317460316,0.47474747474747475,0.4358356164383561,-0.32323232323232326,-0.3459104153076755,"[[52, 24], [16, 106]]","[[73, 3], [101, 21]]",zero_normalized_baseline
step_04_N,M+MB+MR,"['M', 'MB', 'MR']",M,5,3407,197,0.7766497461928934,0.7577688352336239,0.6903553299492385,0.5939242388402662,-0.08629441624365486,-0.1638445963933577,"[[49, 26], [18, 104]]","[[20, 55], [6, 116]]",zero_normalized_baseline
step_04_N,M+MB+MR,"['M', 'MB', 'MR']",MB,5,3407,197,0.7766497461928934,0.7577688352336239,0.7563451776649747,0.7265787647467037,-0.02030456852791873,-0.03119007048692024,"[[49, 26], [18, 104]]","[[42, 33], [15, 107]]",zero_normalized_baseline
step_04_N,M+MB+MR,"['M', 'MB', 'MR']",MR,5,3407,197,0.7766497461928934,0.7577688352336239,0.48223350253807107,0.45372988255763375,-0.29441624365482233,-0.3040389526759902,"[[49, 26], [18, 104]]","[[70, 5], [97, 25]]",zero_normalized_baseline
step_04_N,M+MB+MR,"['M', 'MB', 'MR']",M,1,2026,202,0.7574257425742574,0.7409103997068294,0.7722772277227723,0.7561154855643045,0.014851485148514865,0.015205085857475154,"[[51, 27], [22, 102]]","[[52, 26], [20, 104]]",zero_normalized_baseline
