combination,modality,model_count,mean_abs_attribution,mean_attribution_fraction
M+MR,M,15,"{'mean': 0.00026297610331997855, 'std': 4.333574850876757e-05}","{'mean': 0.4336298118251463, 'std': 0.007184863247198333}"
M+MR,MR,15,"{'mean': 0.00034658428354122044, 'std': 6.0379836207792286e-05}","{'mean': 0.5663701901028341, 'std': 0.007184862822904227}"
M+MB+MR,M,15,"{'mean': 0.00015292495445148047, 'std': 2.8485303594023198e-05}","{'mean': 0.3108024490906972, 'std': 0.008100483617610349}"
M+MB+MR,MB,15,"{'mean': 0.00014114570363800747, 'std': 2.6653944015436846e-05}","{'mean': 0.2871045095184004, 'std': 0.00431564742212079}"
M+MB+MR,MR,15,"{'mean': 0.00019832912311106387, 'std': 3.627239970443751e-05}","{'mean': 0.4020930424608, 'std': 0.007366646057004592}"
M+MB+MP+MR+MUV,M,15,"{'mean': 5.965520103920216e-05, 'std': 8.733990380866056e-06}","{'mean': 0.19121710565193678, 'std': 0.004414561833983724}"
M+MB+MP+MR+MUV,MB,15,"{'mean': 5.544800710799997e-05, 'std': 8.240444546277418e-06}","{'mean': 0.17735668906902183, 'std': 0.0018739386718073009}"
M+MB+MP+MR+MUV,MP,15,"{'mean': 6.879883515216888e-05, 'std': 9.860792781122488e-06}","{'mean': 0.21875835299534216, 'std': 0.00264306997865698}"
M+MB+MP+MR+MUV,MR,15,"{'mean': 7.683889010782959e-05, 'std': 1.2686946814005548e-05}","{'mean': 0.244315695099658, 'std': 0.005843298188331474}"
M+MB+MP+MR+MUV,MUV,15,"{'mean': 5.275627113034691e-05, 'std': 7.585913972801199e-06}","{'mean': 0.1683521563585205, 'std': 0.0020145548200855143}"
