run: seed=2026 fold=1 variant=background label=Hard Label
train samples=794 eval samples=202 epochs=50
epoch 01/50 mean_loss=1.4682 lr=0.0001 elapsed=3.5s
epoch 02/50 mean_loss=1.2933 lr=0.0001 elapsed=3.5s
epoch 03/50 mean_loss=1.1620 lr=0.0001 elapsed=3.4s
epoch 04/50 mean_loss=1.0390 lr=0.0001 elapsed=3.4s
epoch 05/50 mean_loss=0.9400 lr=0.0001 elapsed=3.4s
epoch 06/50 mean_loss=0.7756 lr=0.0001 elapsed=3.4s
epoch 07/50 mean_loss=0.6573 lr=0.0001 elapsed=3.5s
epoch 08/50 mean_loss=0.5389 lr=0.0001 elapsed=3.4s
epoch 09/50 mean_loss=0.4749 lr=0.0001 elapsed=3.4s
epoch 10/50 mean_loss=0.3355 lr=0.0001 elapsed=3.4s
epoch 11/50 mean_loss=0.2715 lr=0.0001 elapsed=3.4s
epoch 12/50 mean_loss=0.2507 lr=0.0001 elapsed=3.4s
epoch 13/50 mean_loss=0.2155 lr=0.0001 elapsed=3.4s
epoch 14/50 mean_loss=0.2271 lr=0.0001 elapsed=3.4s
epoch 15/50 mean_loss=0.1799 lr=0.0001 elapsed=3.4s
epoch 16/50 mean_loss=0.1421 lr=0.0001 elapsed=3.4s
epoch 17/50 mean_loss=0.1098 lr=0.0001 elapsed=3.4s
epoch 18/50 mean_loss=0.0731 lr=0.0001 elapsed=3.5s
epoch 19/50 mean_loss=0.0692 lr=0.0001 elapsed=3.5s
epoch 20/50 mean_loss=0.0626 lr=0.0001 elapsed=3.4s
epoch 21/50 mean_loss=0.0668 lr=0.0001 elapsed=3.4s
epoch 22/50 mean_loss=0.0769 lr=0.0001 elapsed=3.4s
epoch 23/50 mean_loss=0.0654 lr=0.0001 elapsed=3.4s
epoch 24/50 mean_loss=0.0804 lr=0.0001 elapsed=3.4s
epoch 25/50 mean_loss=0.0794 lr=0.0001 elapsed=3.4s
epoch 26/50 mean_loss=0.0869 lr=0.0001 elapsed=3.5s
epoch 27/50 mean_loss=0.0613 lr=0.0001 elapsed=3.4s
epoch 28/50 mean_loss=0.0436 lr=0.0001 elapsed=3.4s
epoch 29/50 mean_loss=0.0333 lr=0.0001 elapsed=3.4s
epoch 30/50 mean_loss=0.0314 lr=0.0001 elapsed=3.5s
epoch 31/50 mean_loss=0.0295 lr=0.0001 elapsed=3.5s
epoch 32/50 mean_loss=0.0585 lr=0.0001 elapsed=3.5s
epoch 33/50 mean_loss=0.0680 lr=0.0001 elapsed=3.4s
epoch 34/50 mean_loss=0.0576 lr=0.0001 elapsed=3.4s
epoch 35/50 mean_loss=0.0421 lr=0.0001 elapsed=3.4s
epoch 36/50 mean_loss=0.0296 lr=0.0001 elapsed=3.4s
epoch 37/50 mean_loss=0.0164 lr=0.0001 elapsed=3.4s
epoch 38/50 mean_loss=0.0285 lr=0.0001 elapsed=3.4s
epoch 39/50 mean_loss=0.0292 lr=0.0001 elapsed=3.4s
epoch 40/50 mean_loss=0.0161 lr=0.0001 elapsed=3.4s
epoch 41/50 mean_loss=0.0157 lr=0.0001 elapsed=3.4s
epoch 42/50 mean_loss=0.0208 lr=0.0001 elapsed=3.4s
epoch 43/50 mean_loss=0.0249 lr=0.0001 elapsed=3.4s
epoch 44/50 mean_loss=0.0289 lr=0.0001 elapsed=3.4s
epoch 45/50 mean_loss=0.0377 lr=0.0001 elapsed=3.4s
epoch 46/50 mean_loss=0.0396 lr=0.0001 elapsed=3.4s
epoch 47/50 mean_loss=0.0483 lr=0.0001 elapsed=3.4s
epoch 48/50 mean_loss=0.0248 lr=0.0001 elapsed=3.4s
epoch 49/50 mean_loss=0.0143 lr=0.0001 elapsed=3.4s
epoch 50/50 mean_loss=0.0222 lr=0.0001 elapsed=3.4s
