step,task,label_strategy,modality,input_region,fold,training_seed,train_count,evaluation_count,train_class_counts,evaluation_class_counts,parameter_count,class_0_precision,class_0_recall,class_0_f1,class_1_precision,class_1_recall,class_1_f1,class_2_precision,class_2_recall,class_2_f1,class_3_precision,class_3_recall,class_3_f1,class_4_precision,class_4_recall,class_4_f1,accuracy,macro_f1,mae
step_17_N,five_class,Soft Label,MR,crop,1,42,794,202,"{'0': 28, '1': 98, '2': 179, '3': 260, '4': 229}","{'0': 8, '1': 25, '2': 45, '3': 66, '4': 58}",23518277,0.5,0.125,0.2,0.4375,0.56,0.4912280701754386,0.30434782608695654,0.3111111111111111,0.3076923076923077,0.47761194029850745,0.48484848484848486,0.48120300751879697,0.5636363636363636,0.5344827586206896,0.5486725663716814,0.45544554455445546,0.405759190351645,0.6633663366336634
step_17_N,five_class,Soft Label,MR,crop,2,42,796,200,"{'0': 29, '1': 98, '2': 179, '3': 261, '4': 229}","{'0': 7, '1': 25, '2': 45, '3': 65, '4': 58}",23518277,0.0,0.0,0.0,0.5142857142857142,0.72,0.6,0.37209302325581395,0.35555555555555557,0.36363636363636365,0.5454545454545454,0.36923076923076925,0.4403669724770642,0.5,0.6551724137931034,0.5671641791044776,0.48,0.3942335030435811,0.695
step_17_N,five_class,Soft Label,MR,crop,3,42,797,199,"{'0': 29, '1': 98, '2': 179, '3': 261, '4': 230}","{'0': 7, '1': 25, '2': 45, '3': 65, '4': 57}",23518277,0.0,0.0,0.0,0.5789473684210527,0.44,0.5,0.4166666666666667,0.5555555555555556,0.4761904761904762,0.4647887323943662,0.5076923076923077,0.48529411764705876,0.6326530612244898,0.543859649122807,0.5849056603773586,0.5025125628140703,0.40927805084297875,0.5728643216080402
step_17_N,five_class,Soft Label,MR,crop,4,42,798,198,"{'0': 29, '1': 99, '2': 179, '3': 261, '4': 230}","{'0': 7, '1': 24, '2': 45, '3': 65, '4': 57}",23518277,0.0,0.0,0.0,0.375,0.375,0.375,0.3409090909090909,0.3333333333333333,0.33707865168539325,0.43478260869565216,0.3076923076923077,0.36036036036036034,0.4444444444444444,0.631578947368421,0.5217391304347826,0.40404040404040403,0.31883562849610725,0.7828282828282829
step_17_N,five_class,Soft Label,MR,crop,5,42,799,197,"{'0': 29, '1': 99, '2': 180, '3': 261, '4': 230}","{'0': 7, '1': 24, '2': 44, '3': 65, '4': 57}",23518277,0.0,0.0,0.0,0.7857142857142857,0.4583333333333333,0.5789473684210527,0.36666666666666664,0.5,0.423076923076923,0.484375,0.47692307692307695,0.48062015503875966,0.625,0.6140350877192983,0.6194690265486725,0.5025380710659898,0.4204226946170816,0.5939086294416244
step_17_N,five_class,Soft Label,MR,crop,1,3407,794,202,"{'0': 28, '1': 98, '2': 179, '3': 260, '4': 229}","{'0': 8, '1': 25, '2': 45, '3': 66, '4': 58}",23518277,0.0,0.0,0.0,0.5,0.68,0.576271186440678,0.4473684210526316,0.37777777777777777,0.40963855421686746,0.48148148148148145,0.5909090909090909,0.5306122448979591,0.5918367346938775,0.5,0.5420560747663551,0.504950495049505,0.41171561206437196,0.594059405940594
step_17_N,five_class,Soft Label,MR,crop,2,3407,796,200,"{'0': 29, '1': 98, '2': 179, '3': 261, '4': 229}","{'0': 7, '1': 25, '2': 45, '3': 65, '4': 58}",23518277,0.0,0.0,0.0,0.5,0.6,0.5454545454545454,0.36585365853658536,0.3333333333333333,0.34883720930232553,0.45714285714285713,0.49230769230769234,0.4740740740740741,0.5263157894736842,0.5172413793103449,0.5217391304347826,0.46,0.3780209918531455,0.66
step_17_N,five_class,Soft Label,MR,crop,3,3407,797,199,"{'0': 29, '1': 98, '2': 179, '3': 261, '4': 230}","{'0': 7, '1': 25, '2': 45, '3': 65, '4': 57}",23518277,0.0,0.0,0.0,0.41379310344827586,0.48,0.4444444444444445,0.3333333333333333,0.26666666666666666,0.2962962962962963,0.49411764705882355,0.6461538461538462,0.56,0.5714285714285714,0.49122807017543857,0.5283018867924528,0.4723618090452261,0.3658085255066387,0.6633165829145728
step_17_N,five_class,Soft Label,MR,crop,4,3407,798,198,"{'0': 29, '1': 99, '2': 179, '3': 261, '4': 230}","{'0': 7, '1': 24, '2': 45, '3': 65, '4': 57}",23518277,0.0,0.0,0.0,0.34615384615384615,0.375,0.35999999999999993,0.3076923076923077,0.35555555555555557,0.32989690721649484,0.44594594594594594,0.5076923076923077,0.4748201438848921,0.4883720930232558,0.3684210526315789,0.41999999999999993,0.398989898989899,0.3169434102202774,0.7727272727272727
step_17_N,five_class,Soft Label,MR,crop,5,3407,799,197,"{'0': 29, '1': 99, '2': 180, '3': 261, '4': 230}","{'0': 7, '1': 24, '2': 44, '3': 65, '4': 57}",23518277,0.0,0.0,0.0,0.5769230769230769,0.625,0.6,0.47368421052631576,0.4090909090909091,0.43902439024390244,0.4576271186440678,0.4153846153846154,0.435483870967742,0.5633802816901409,0.7017543859649122,0.625,0.5076142131979695,0.4199016522423289,0.5685279187817259
