record_type,scheme,training_seed,accuracy,macro_f1,mae,auc,sensitivity,specificity,fold,train_n,eval_n,train_minutes,majority_acc,accuracy_std,macro_f1_std,mae_std,auc_std,sensitivity_std,specificity_std
fold_raw_reference,M,42,0.715,0.6836057839083012,0.285,0.7817020377995988,0.8373983739837398,0.5194805194805194,1.0,796.0,200.0,2.27,,,,,,,
fold_raw_reference,M,42,0.7688442211055276,0.7430960933991917,0.23115577889447236,0.7754417713434109,0.8852459016393442,0.5844155844155844,2.0,797.0,199.0,2.31,,,,,,,
fold_raw_reference,M,42,0.7286432160804021,0.6939507860560492,0.271356783919598,0.8032254630615285,0.8688524590163934,0.5064935064935064,3.0,797.0,199.0,2.36,,,,,,,
fold_raw_reference,M,42,0.7437185929648241,0.7317704892036895,0.2562814070351759,0.7870132648694907,0.7723577235772358,0.6973684210526315,4.0,797.0,199.0,2.35,,,,,,,
fold_raw_reference,M,42,0.7839195979899497,0.760690214503454,0.21608040201005024,0.8330658964484381,0.8861788617886179,0.618421052631579,5.0,797.0,199.0,2.36,,,,,,,
fold_raw_reference,M,3407,0.735,0.7133198106828939,0.265,0.8177594762960617,0.8211382113821138,0.5974025974025974,1.0,796.0,200.0,2.31,,,,,,,
fold_raw_reference,M,3407,0.7487437185929648,0.7352033212688951,0.25125628140703515,0.8071109218650202,0.7950819672131147,0.6753246753246753,2.0,797.0,199.0,2.31,,,,,,,
fold_raw_reference,M,3407,0.7286432160804021,0.7095675675675676,0.271356783919598,0.8179156908665106,0.8032786885245902,0.6103896103896104,3.0,797.0,199.0,2.33,,,,,,,
fold_raw_reference,M,3407,0.7638190954773869,0.74189364461738,0.23618090452261306,0.8269683354728284,0.8536585365853658,0.618421052631579,4.0,797.0,199.0,2.35,,,,,,,
fold_raw_reference,M,3407,0.7889447236180904,0.771489501312336,0.21105527638190955,0.8303380402225075,0.8617886178861789,0.6710526315789473,5.0,797.0,199.0,2.37,,,,,,,
fold_raw_reference,M,2026,0.775,0.7593518543276558,0.225,0.8090486749023335,0.8373983739837398,0.6753246753246753,1.0,796.0,200.0,2.28,,,,,,,
fold_raw_reference,M,2026,0.7286432160804021,0.7126123234916559,0.271356783919598,0.7979029167553757,0.7868852459016393,0.6363636363636364,2.0,797.0,199.0,2.34,,,,,,,
fold_raw_reference,M,2026,0.6884422110552764,0.6665405405405405,0.31155778894472363,0.7728869491164574,0.7704918032786885,0.5584415584415584,3.0,797.0,199.0,2.34,,,,,,,
fold_raw_reference,M,2026,0.7688442211055276,0.7563870555673835,0.23115577889447236,0.8119383825417201,0.8048780487804879,0.7105263157894737,4.0,797.0,199.0,2.37,,,,,,,
fold_raw_reference,M,2026,0.7537688442211056,0.7480426862354977,0.24623115577889448,0.8296961916987591,0.7317073170731707,0.7894736842105263,5.0,797.0,199.0,2.35,,,,,,,
fold_raw_reference,MB,42,0.75,0.7214795008912656,0.25,0.7688206102840249,0.8699186991869918,0.5584415584415584,1.0,796.0,200.0,2.32,,,,,,,
fold_raw_reference,MB,42,0.7437185929648241,0.7051166574657872,0.2562814070351759,0.7883223334043007,0.9016393442622951,0.4935064935064935,2.0,797.0,199.0,2.35,,,,,,,
fold_raw_reference,MB,42,0.7035175879396985,0.6759941496260728,0.2964824120603015,0.7911432829465617,0.8114754098360656,0.5324675324675324,3.0,797.0,199.0,2.38,,,,,,,
fold_raw_reference,MB,42,0.7386934673366834,0.7293366813140825,0.2613065326633166,0.8004385964912282,0.7479674796747967,0.7236842105263158,4.0,797.0,199.0,2.37,,,,,,,
fold_raw_reference,MB,42,0.8040201005025126,0.776346502982623,0.19597989949748743,0.8513585793752676,0.9349593495934959,0.5921052631578947,5.0,797.0,199.0,2.36,,,,,,,
fold_raw_reference,MB,3407,0.74,0.7103386809269162,0.26,0.7454334283602576,0.8617886178861789,0.5454545454545454,1.0,796.0,200.0,2.34,,,,,,,
fold_raw_reference,MB,3407,0.7487437185929648,0.7279636920384952,0.25125628140703515,0.7957738982329147,0.8360655737704918,0.6103896103896104,2.0,797.0,199.0,2.33,,,,,,,
fold_raw_reference,MB,3407,0.7638190954773869,0.749229160522294,0.23618090452261306,0.8195124547583564,0.819672131147541,0.6753246753246753,3.0,797.0,199.0,2.38,,,,,,,
fold_raw_reference,MB,3407,0.7688442211055276,0.7481844190140845,0.23115577889447236,0.7925224646983312,0.8536585365853658,0.631578947368421,4.0,797.0,199.0,2.36,,,,,,,
fold_raw_reference,MB,3407,0.7839195979899497,0.7446967210669213,0.21608040201005024,0.8593281985451433,0.9512195121951219,0.5131578947368421,5.0,797.0,199.0,2.36,,,,,,,
fold_raw_reference,MB,2026,0.715,0.6739037157813439,0.285,0.7507127019322142,0.8699186991869918,0.4675324675324675,1.0,796.0,200.0,2.33,,,,,,,
