record_type,scheme,training_seed,accuracy,macro_f1,mae,adjacent_error_rate,far_error_rate,fold,train_n,eval_n,train_minutes,majority_acc,accuracy_std,macro_f1_std,mae_std,adjacent_error_rate_std,far_error_rate_std
fold_raw_reference,M,42,0.425,0.3775856023264158,0.79,0.39,0.185,1.0,796.0,200.0,2.39,,,,,,
fold_raw_reference,M,42,0.44221105527638194,0.43263973392523913,0.7286432160804021,0.4221105527638191,0.135678391959799,2.0,797.0,199.0,2.41,,,,,,
fold_raw_reference,M,42,0.4824120603015075,0.42505126452494874,0.6834170854271356,0.38190954773869346,0.135678391959799,3.0,797.0,199.0,2.38,,,,,,
fold_raw_reference,M,42,0.41708542713567837,0.35872843418482364,0.7788944723618091,0.4221105527638191,0.16080402010050251,4.0,797.0,199.0,2.37,,,,,,
fold_raw_reference,M,42,0.48743718592964824,0.4116533642654341,0.6984924623115578,0.35678391959798994,0.15577889447236182,5.0,797.0,199.0,2.37,,,,,,
fold_raw_reference,M,3407,0.445,0.36124911434704904,0.755,0.405,0.15,1.0,796.0,200.0,2.4,,,,,,
fold_raw_reference,M,3407,0.4371859296482412,0.39989719378213145,0.7989949748743719,0.39195979899497485,0.1708542713567839,2.0,797.0,199.0,2.37,,,,,,
fold_raw_reference,M,3407,0.41708542713567837,0.38186552103133553,0.7587939698492462,0.44221105527638194,0.1407035175879397,3.0,797.0,199.0,2.38,,,,,,
fold_raw_reference,M,3407,0.41708542713567837,0.3783596428962644,0.7537688442211056,0.4472361809045226,0.135678391959799,4.0,797.0,199.0,2.38,,,,,,
fold_raw_reference,M,3407,0.49246231155778897,0.4194353015405647,0.6733668341708543,0.37185929648241206,0.135678391959799,5.0,797.0,199.0,2.38,,,,,,
fold_raw_reference,M,2026,0.42,0.3673143581157518,0.755,0.435,0.145,1.0,796.0,200.0,2.39,,,,,,
fold_raw_reference,M,2026,0.38190954773869346,0.33219461697722563,0.8241206030150754,0.4623115577889447,0.15577889447236182,2.0,797.0,199.0,2.36,,,,,,
fold_raw_reference,M,2026,0.4824120603015075,0.40882596289604384,0.6733668341708543,0.38190954773869346,0.135678391959799,3.0,797.0,199.0,2.37,,,,,,
fold_raw_reference,M,2026,0.4120603015075377,0.3825151113076809,0.7788944723618091,0.4371859296482412,0.1507537688442211,4.0,797.0,199.0,2.37,,,,,,
fold_raw_reference,M,2026,0.4723618090452261,0.41414071341257497,0.6984924623115578,0.3969849246231156,0.1306532663316583,5.0,797.0,199.0,2.39,,,,,,
fold_raw_reference,MB,42,0.395,0.328392037439262,0.83,0.43,0.175,1.0,796.0,200.0,2.36,,,,,,
fold_raw_reference,MB,42,0.4120603015075377,0.33932773288871787,0.7537688442211056,0.45226130653266333,0.135678391959799,2.0,797.0,199.0,2.37,,,,,,
fold_raw_reference,MB,42,0.4623115577889447,0.40689954376803783,0.7135678391959799,0.3969849246231156,0.1407035175879397,3.0,797.0,199.0,2.4,,,,,,
