run: seed=2026 fold=2 variant=crop label=Hard Label
train samples=796 eval samples=200 epochs=50
epoch 01/50 mean_loss=1.4912 lr=0.0001 elapsed=3.0s
epoch 02/50 mean_loss=1.2892 lr=0.0001 elapsed=3.0s
epoch 03/50 mean_loss=1.1617 lr=0.0001 elapsed=3.0s
epoch 04/50 mean_loss=1.0455 lr=0.0001 elapsed=3.0s
epoch 05/50 mean_loss=0.9094 lr=0.0001 elapsed=3.0s
epoch 06/50 mean_loss=0.7778 lr=0.0001 elapsed=3.0s
epoch 07/50 mean_loss=0.6635 lr=0.0001 elapsed=3.0s
epoch 08/50 mean_loss=0.5741 lr=0.0001 elapsed=3.0s
epoch 09/50 mean_loss=0.4919 lr=0.0001 elapsed=3.0s
epoch 10/50 mean_loss=0.4247 lr=0.0001 elapsed=3.0s
epoch 11/50 mean_loss=0.3421 lr=0.0001 elapsed=3.0s
epoch 12/50 mean_loss=0.2839 lr=0.0001 elapsed=3.0s
epoch 13/50 mean_loss=0.2381 lr=0.0001 elapsed=3.0s
epoch 14/50 mean_loss=0.1799 lr=0.0001 elapsed=3.0s
epoch 15/50 mean_loss=0.1779 lr=0.0001 elapsed=3.0s
epoch 16/50 mean_loss=0.1541 lr=0.0001 elapsed=3.0s
epoch 17/50 mean_loss=0.1284 lr=0.0001 elapsed=3.1s
epoch 18/50 mean_loss=0.1175 lr=0.0001 elapsed=3.1s
epoch 19/50 mean_loss=0.1395 lr=0.0001 elapsed=3.0s
epoch 20/50 mean_loss=0.0985 lr=0.0001 elapsed=3.0s
epoch 21/50 mean_loss=0.0962 lr=0.0001 elapsed=3.0s
epoch 22/50 mean_loss=0.0900 lr=0.0001 elapsed=3.0s
epoch 23/50 mean_loss=0.0674 lr=0.0001 elapsed=3.0s
epoch 24/50 mean_loss=0.0843 lr=0.0001 elapsed=3.0s
epoch 25/50 mean_loss=0.0829 lr=0.0001 elapsed=3.0s
epoch 26/50 mean_loss=0.0744 lr=0.0001 elapsed=3.0s
epoch 27/50 mean_loss=0.0692 lr=0.0001 elapsed=3.1s
epoch 28/50 mean_loss=0.0445 lr=0.0001 elapsed=3.0s
epoch 29/50 mean_loss=0.0545 lr=0.0001 elapsed=3.0s
epoch 30/50 mean_loss=0.0684 lr=0.0001 elapsed=3.0s
epoch 31/50 mean_loss=0.0905 lr=0.0001 elapsed=3.1s
epoch 32/50 mean_loss=0.0453 lr=0.0001 elapsed=3.0s
epoch 33/50 mean_loss=0.0552 lr=0.0001 elapsed=3.0s
epoch 34/50 mean_loss=0.0361 lr=0.0001 elapsed=3.0s
epoch 35/50 mean_loss=0.0253 lr=0.0001 elapsed=3.0s
epoch 36/50 mean_loss=0.0309 lr=0.0001 elapsed=3.0s
epoch 37/50 mean_loss=0.0336 lr=0.0001 elapsed=3.0s
epoch 38/50 mean_loss=0.0323 lr=0.0001 elapsed=3.0s
epoch 39/50 mean_loss=0.0305 lr=0.0001 elapsed=2.9s
epoch 40/50 mean_loss=0.0287 lr=0.0001 elapsed=3.1s
epoch 41/50 mean_loss=0.0456 lr=0.0001 elapsed=3.0s
epoch 42/50 mean_loss=0.0286 lr=0.0001 elapsed=3.0s
epoch 43/50 mean_loss=0.0311 lr=0.0001 elapsed=3.0s
epoch 44/50 mean_loss=0.0214 lr=0.0001 elapsed=3.0s
epoch 45/50 mean_loss=0.0218 lr=0.0001 elapsed=3.0s
epoch 46/50 mean_loss=0.0335 lr=0.0001 elapsed=3.0s
epoch 47/50 mean_loss=0.0381 lr=0.0001 elapsed=3.1s
epoch 48/50 mean_loss=0.0627 lr=0.0001 elapsed=3.0s
epoch 49/50 mean_loss=0.0354 lr=0.0001 elapsed=2.9s
epoch 50/50 mean_loss=0.0546 lr=0.0001 elapsed=3.0s
