run: seed=42 fold=4 variant=crop label=Soft Label
train samples=798 eval samples=198 epochs=50
epoch 01/50 mean_loss=1.4866 lr=0.0001 elapsed=3.1s
epoch 02/50 mean_loss=1.3354 lr=0.0001 elapsed=3.0s
epoch 03/50 mean_loss=1.2329 lr=0.0001 elapsed=3.0s
epoch 04/50 mean_loss=1.1485 lr=0.0001 elapsed=3.0s
epoch 05/50 mean_loss=1.0793 lr=0.0001 elapsed=3.0s
epoch 06/50 mean_loss=0.9829 lr=0.0001 elapsed=3.0s
epoch 07/50 mean_loss=0.9040 lr=0.0001 elapsed=3.1s
epoch 08/50 mean_loss=0.8624 lr=0.0001 elapsed=3.0s
epoch 09/50 mean_loss=0.8104 lr=0.0001 elapsed=3.0s
epoch 10/50 mean_loss=0.7677 lr=0.0001 elapsed=3.0s
epoch 11/50 mean_loss=0.7372 lr=0.0001 elapsed=3.0s
epoch 12/50 mean_loss=0.6988 lr=0.0001 elapsed=3.0s
epoch 13/50 mean_loss=0.6852 lr=0.0001 elapsed=3.0s
epoch 14/50 mean_loss=0.6581 lr=0.0001 elapsed=3.0s
epoch 15/50 mean_loss=0.6420 lr=0.0001 elapsed=3.0s
epoch 16/50 mean_loss=0.6295 lr=0.0001 elapsed=3.0s
epoch 17/50 mean_loss=0.6104 lr=0.0001 elapsed=3.0s
epoch 18/50 mean_loss=0.6189 lr=0.0001 elapsed=3.0s
epoch 19/50 mean_loss=0.6028 lr=0.0001 elapsed=3.0s
epoch 20/50 mean_loss=0.5946 lr=0.0001 elapsed=3.0s
epoch 21/50 mean_loss=0.5911 lr=0.0001 elapsed=3.0s
epoch 22/50 mean_loss=0.5962 lr=0.0001 elapsed=3.0s
epoch 23/50 mean_loss=0.5881 lr=0.0001 elapsed=3.0s
epoch 24/50 mean_loss=0.5850 lr=0.0001 elapsed=3.0s
epoch 25/50 mean_loss=0.5772 lr=0.0001 elapsed=3.0s
epoch 26/50 mean_loss=0.5846 lr=0.0001 elapsed=3.0s
epoch 27/50 mean_loss=0.5877 lr=0.0001 elapsed=2.9s
epoch 28/50 mean_loss=0.5768 lr=0.0001 elapsed=3.0s
epoch 29/50 mean_loss=0.5776 lr=0.0001 elapsed=3.0s
epoch 30/50 mean_loss=0.5763 lr=0.0001 elapsed=3.0s
epoch 31/50 mean_loss=0.5707 lr=0.0001 elapsed=3.0s
epoch 32/50 mean_loss=0.5682 lr=0.0001 elapsed=3.0s
epoch 33/50 mean_loss=0.5689 lr=0.0001 elapsed=3.0s
epoch 34/50 mean_loss=0.5696 lr=0.0001 elapsed=3.0s
epoch 35/50 mean_loss=0.5768 lr=0.0001 elapsed=3.1s
epoch 36/50 mean_loss=0.5726 lr=0.0001 elapsed=3.0s
epoch 37/50 mean_loss=0.5722 lr=0.0001 elapsed=3.0s
epoch 38/50 mean_loss=0.5710 lr=0.0001 elapsed=3.1s
epoch 39/50 mean_loss=0.5652 lr=0.0001 elapsed=3.1s
epoch 40/50 mean_loss=0.5601 lr=0.0001 elapsed=3.0s
epoch 41/50 mean_loss=0.5625 lr=0.0001 elapsed=3.1s
epoch 42/50 mean_loss=0.5570 lr=0.0001 elapsed=3.0s
epoch 43/50 mean_loss=0.5594 lr=0.0001 elapsed=3.0s
epoch 44/50 mean_loss=0.5574 lr=0.0001 elapsed=2.9s
epoch 45/50 mean_loss=0.5569 lr=0.0001 elapsed=2.9s
epoch 46/50 mean_loss=0.5546 lr=0.0001 elapsed=3.1s
epoch 47/50 mean_loss=0.5580 lr=0.0001 elapsed=3.0s
epoch 48/50 mean_loss=0.5496 lr=0.0001 elapsed=3.0s
epoch 49/50 mean_loss=0.5521 lr=0.0001 elapsed=3.0s
epoch 50/50 mean_loss=0.5540 lr=0.0001 elapsed=3.0s
