scheme=MB (Soft) fold=1 training_seed=2026 epochs=50 batch_size=32 optimizer=AdamW lr=0.0001 weight_decay=0.0001 loss=soft-target CE (fixed table) scheduler=None early_stopping=False task=5class
epoch=001 loss=1.4931 acc=0.2990 sec=2.7
epoch=002 loss=1.3849 acc=0.3643 sec=2.3
epoch=003 loss=1.2908 acc=0.4447 sec=2.4
epoch=004 loss=1.1984 acc=0.5201 sec=2.4
epoch=005 loss=1.1117 acc=0.5879 sec=2.3
epoch=006 loss=1.0375 acc=0.6621 sec=2.3
epoch=007 loss=0.9672 acc=0.7035 sec=2.4
epoch=008 loss=0.8963 acc=0.7538 sec=2.4
epoch=009 loss=0.8392 acc=0.7902 sec=2.5
epoch=010 loss=0.7694 acc=0.8643 sec=2.3
epoch=011 loss=0.7923 acc=0.8442 sec=2.4
epoch=012 loss=0.7677 acc=0.8593 sec=2.4
epoch=013 loss=0.7151 acc=0.9020 sec=2.3
epoch=014 loss=0.6997 acc=0.9058 sec=2.4
epoch=015 loss=0.6777 acc=0.9309 sec=2.3
epoch=016 loss=0.6691 acc=0.9497 sec=2.4
epoch=017 loss=0.6386 acc=0.9724 sec=2.3
epoch=018 loss=0.6360 acc=0.9648 sec=2.5
epoch=019 loss=0.6238 acc=0.9724 sec=2.4
epoch=020 loss=0.6123 acc=0.9786 sec=2.5
epoch=021 loss=0.6215 acc=0.9786 sec=2.5
epoch=022 loss=0.6108 acc=0.9824 sec=2.3
epoch=023 loss=0.6112 acc=0.9874 sec=2.4
epoch=024 loss=0.6051 acc=0.9962 sec=2.4
epoch=025 loss=0.5954 acc=0.9887 sec=2.3
epoch=026 loss=0.5902 acc=0.9937 sec=2.4
epoch=027 loss=0.5917 acc=0.9962 sec=2.5
epoch=028 loss=0.5918 acc=0.9925 sec=2.4
epoch=029 loss=0.5848 acc=0.9975 sec=2.2
epoch=030 loss=0.5846 acc=0.9950 sec=2.4
epoch=031 loss=0.5853 acc=0.9950 sec=2.4
epoch=032 loss=0.5766 acc=0.9987 sec=2.4
epoch=033 loss=0.5734 acc=0.9975 sec=2.3
epoch=034 loss=0.5763 acc=0.9962 sec=2.5
epoch=035 loss=0.5775 acc=0.9987 sec=2.4
epoch=036 loss=0.5727 acc=0.9975 sec=2.5
epoch=037 loss=0.5746 acc=0.9975 sec=2.4
epoch=038 loss=0.5686 acc=1.0000 sec=2.4
epoch=039 loss=0.5712 acc=0.9962 sec=2.5
epoch=040 loss=0.5698 acc=1.0000 sec=2.4
epoch=041 loss=0.5659 acc=0.9987 sec=2.5
epoch=042 loss=0.5707 acc=0.9987 sec=2.4
epoch=043 loss=0.5667 acc=1.0000 sec=2.4
epoch=044 loss=0.5654 acc=1.0000 sec=2.4
epoch=045 loss=0.5705 acc=0.9975 sec=2.3
epoch=046 loss=0.5628 acc=1.0000 sec=2.3
epoch=047 loss=0.5616 acc=1.0000 sec=2.4
epoch=048 loss=0.5629 acc=0.9987 sec=2.4
epoch=049 loss=0.5620 acc=1.0000 sec=2.5
epoch=050 loss=0.5601 acc=1.0000 sec=2.4
