run: seed=3407 fold=3 variant=context label=Hard Label
train samples=797 eval samples=199 epochs=50
epoch 01/50 mean_loss=1.4691 lr=0.0001 elapsed=3.0s
epoch 02/50 mean_loss=1.2827 lr=0.0001 elapsed=2.9s
epoch 03/50 mean_loss=1.1709 lr=0.0001 elapsed=3.0s
epoch 04/50 mean_loss=1.0704 lr=0.0001 elapsed=2.9s
epoch 05/50 mean_loss=0.9510 lr=0.0001 elapsed=3.0s
epoch 06/50 mean_loss=0.8140 lr=0.0001 elapsed=3.0s
epoch 07/50 mean_loss=0.7069 lr=0.0001 elapsed=2.9s
epoch 08/50 mean_loss=0.5836 lr=0.0001 elapsed=2.9s
epoch 09/50 mean_loss=0.4939 lr=0.0001 elapsed=2.9s
epoch 10/50 mean_loss=0.3930 lr=0.0001 elapsed=2.9s
epoch 11/50 mean_loss=0.3361 lr=0.0001 elapsed=2.9s
epoch 12/50 mean_loss=0.2840 lr=0.0001 elapsed=2.9s
epoch 13/50 mean_loss=0.2017 lr=0.0001 elapsed=3.1s
epoch 14/50 mean_loss=0.1882 lr=0.0001 elapsed=2.9s
epoch 15/50 mean_loss=0.1960 lr=0.0001 elapsed=2.9s
epoch 16/50 mean_loss=0.1896 lr=0.0001 elapsed=3.0s
epoch 17/50 mean_loss=0.1320 lr=0.0001 elapsed=2.9s
epoch 18/50 mean_loss=0.0970 lr=0.0001 elapsed=2.9s
epoch 19/50 mean_loss=0.0865 lr=0.0001 elapsed=2.9s
epoch 20/50 mean_loss=0.1101 lr=0.0001 elapsed=3.0s
epoch 21/50 mean_loss=0.0977 lr=0.0001 elapsed=2.9s
epoch 22/50 mean_loss=0.1038 lr=0.0001 elapsed=3.0s
epoch 23/50 mean_loss=0.1037 lr=0.0001 elapsed=3.0s
epoch 24/50 mean_loss=0.0731 lr=0.0001 elapsed=3.0s
epoch 25/50 mean_loss=0.0713 lr=0.0001 elapsed=2.9s
epoch 26/50 mean_loss=0.1057 lr=0.0001 elapsed=3.1s
epoch 27/50 mean_loss=0.0916 lr=0.0001 elapsed=3.0s
epoch 28/50 mean_loss=0.0851 lr=0.0001 elapsed=3.0s
epoch 29/50 mean_loss=0.0988 lr=0.0001 elapsed=3.0s
epoch 30/50 mean_loss=0.0801 lr=0.0001 elapsed=3.0s
epoch 31/50 mean_loss=0.0499 lr=0.0001 elapsed=3.0s
epoch 32/50 mean_loss=0.0320 lr=0.0001 elapsed=3.0s
epoch 33/50 mean_loss=0.0241 lr=0.0001 elapsed=3.0s
epoch 34/50 mean_loss=0.0314 lr=0.0001 elapsed=3.1s
epoch 35/50 mean_loss=0.0355 lr=0.0001 elapsed=3.1s
epoch 36/50 mean_loss=0.0374 lr=0.0001 elapsed=2.9s
epoch 37/50 mean_loss=0.0499 lr=0.0001 elapsed=2.9s
epoch 38/50 mean_loss=0.0802 lr=0.0001 elapsed=2.9s
epoch 39/50 mean_loss=0.0465 lr=0.0001 elapsed=3.0s
epoch 40/50 mean_loss=0.0356 lr=0.0001 elapsed=2.9s
epoch 41/50 mean_loss=0.0283 lr=0.0001 elapsed=2.9s
epoch 42/50 mean_loss=0.0295 lr=0.0001 elapsed=3.0s
epoch 43/50 mean_loss=0.0400 lr=0.0001 elapsed=3.0s
epoch 44/50 mean_loss=0.0331 lr=0.0001 elapsed=3.0s
epoch 45/50 mean_loss=0.0306 lr=0.0001 elapsed=3.0s
epoch 46/50 mean_loss=0.0145 lr=0.0001 elapsed=2.9s
epoch 47/50 mean_loss=0.0225 lr=0.0001 elapsed=3.0s
epoch 48/50 mean_loss=0.0239 lr=0.0001 elapsed=2.9s
epoch 49/50 mean_loss=0.0455 lr=0.0001 elapsed=3.0s
epoch 50/50 mean_loss=0.0520 lr=0.0001 elapsed=3.0s
