run: seed=3407 fold=5 variant=context label=Soft Label
train samples=799 eval samples=197 epochs=50
epoch 01/50 mean_loss=1.4635 lr=0.0001 elapsed=3.0s
epoch 02/50 mean_loss=1.3283 lr=0.0001 elapsed=3.0s
epoch 03/50 mean_loss=1.2421 lr=0.0001 elapsed=3.0s
epoch 04/50 mean_loss=1.1687 lr=0.0001 elapsed=3.0s
epoch 05/50 mean_loss=1.0912 lr=0.0001 elapsed=3.0s
epoch 06/50 mean_loss=1.0213 lr=0.0001 elapsed=3.0s
epoch 07/50 mean_loss=0.9626 lr=0.0001 elapsed=3.0s
epoch 08/50 mean_loss=0.9013 lr=0.0001 elapsed=2.9s
epoch 09/50 mean_loss=0.8299 lr=0.0001 elapsed=2.9s
epoch 10/50 mean_loss=0.7869 lr=0.0001 elapsed=3.0s
epoch 11/50 mean_loss=0.7486 lr=0.0001 elapsed=3.0s
epoch 12/50 mean_loss=0.6949 lr=0.0001 elapsed=3.0s
epoch 13/50 mean_loss=0.6856 lr=0.0001 elapsed=3.0s
epoch 14/50 mean_loss=0.6786 lr=0.0001 elapsed=2.9s
epoch 15/50 mean_loss=0.6512 lr=0.0001 elapsed=3.0s
epoch 16/50 mean_loss=0.6419 lr=0.0001 elapsed=2.9s
epoch 17/50 mean_loss=0.6358 lr=0.0001 elapsed=2.9s
epoch 18/50 mean_loss=0.6257 lr=0.0001 elapsed=3.0s
epoch 19/50 mean_loss=0.6186 lr=0.0001 elapsed=3.0s
epoch 20/50 mean_loss=0.6060 lr=0.0001 elapsed=3.0s
epoch 21/50 mean_loss=0.6072 lr=0.0001 elapsed=2.9s
epoch 22/50 mean_loss=0.5952 lr=0.0001 elapsed=2.9s
epoch 23/50 mean_loss=0.6001 lr=0.0001 elapsed=3.0s
epoch 24/50 mean_loss=0.5809 lr=0.0001 elapsed=2.9s
epoch 25/50 mean_loss=0.5786 lr=0.0001 elapsed=3.0s
epoch 26/50 mean_loss=0.5851 lr=0.0001 elapsed=3.0s
epoch 27/50 mean_loss=0.5784 lr=0.0001 elapsed=2.9s
epoch 28/50 mean_loss=0.5773 lr=0.0001 elapsed=2.9s
epoch 29/50 mean_loss=0.5794 lr=0.0001 elapsed=2.9s
epoch 30/50 mean_loss=0.5786 lr=0.0001 elapsed=3.0s
epoch 31/50 mean_loss=0.5691 lr=0.0001 elapsed=3.0s
epoch 32/50 mean_loss=0.5681 lr=0.0001 elapsed=3.0s
epoch 33/50 mean_loss=0.5687 lr=0.0001 elapsed=3.0s
epoch 34/50 mean_loss=0.5719 lr=0.0001 elapsed=2.9s
epoch 35/50 mean_loss=0.5690 lr=0.0001 elapsed=2.9s
epoch 36/50 mean_loss=0.5667 lr=0.0001 elapsed=3.0s
epoch 37/50 mean_loss=0.5692 lr=0.0001 elapsed=3.0s
epoch 38/50 mean_loss=0.5686 lr=0.0001 elapsed=2.9s
epoch 39/50 mean_loss=0.5629 lr=0.0001 elapsed=2.9s
epoch 40/50 mean_loss=0.5646 lr=0.0001 elapsed=3.0s
epoch 41/50 mean_loss=0.5640 lr=0.0001 elapsed=3.0s
epoch 42/50 mean_loss=0.5628 lr=0.0001 elapsed=3.0s
epoch 43/50 mean_loss=0.5597 lr=0.0001 elapsed=2.9s
epoch 44/50 mean_loss=0.5650 lr=0.0001 elapsed=2.9s
epoch 45/50 mean_loss=0.5605 lr=0.0001 elapsed=3.0s
epoch 46/50 mean_loss=0.5563 lr=0.0001 elapsed=3.0s
epoch 47/50 mean_loss=0.5539 lr=0.0001 elapsed=3.0s
epoch 48/50 mean_loss=0.5524 lr=0.0001 elapsed=3.1s
epoch 49/50 mean_loss=0.5536 lr=0.0001 elapsed=3.0s
epoch 50/50 mean_loss=0.5554 lr=0.0001 elapsed=3.0s
