run: seed=3407 fold=2 variant=context label=Hard Label
train samples=796 eval samples=200 epochs=50
epoch 01/50 mean_loss=1.4746 lr=0.0001 elapsed=3.0s
epoch 02/50 mean_loss=1.2908 lr=0.0001 elapsed=2.9s
epoch 03/50 mean_loss=1.1630 lr=0.0001 elapsed=3.0s
epoch 04/50 mean_loss=1.0465 lr=0.0001 elapsed=3.0s
epoch 05/50 mean_loss=0.9145 lr=0.0001 elapsed=2.9s
epoch 06/50 mean_loss=0.7675 lr=0.0001 elapsed=3.0s
epoch 07/50 mean_loss=0.6174 lr=0.0001 elapsed=3.0s
epoch 08/50 mean_loss=0.5267 lr=0.0001 elapsed=3.0s
epoch 09/50 mean_loss=0.4273 lr=0.0001 elapsed=2.9s
epoch 10/50 mean_loss=0.3813 lr=0.0001 elapsed=2.9s
epoch 11/50 mean_loss=0.4048 lr=0.0001 elapsed=3.0s
epoch 12/50 mean_loss=0.3034 lr=0.0001 elapsed=2.9s
epoch 13/50 mean_loss=0.2126 lr=0.0001 elapsed=2.9s
epoch 14/50 mean_loss=0.1869 lr=0.0001 elapsed=2.9s
epoch 15/50 mean_loss=0.1364 lr=0.0001 elapsed=2.9s
epoch 16/50 mean_loss=0.1276 lr=0.0001 elapsed=3.0s
epoch 17/50 mean_loss=0.1246 lr=0.0001 elapsed=3.0s
epoch 18/50 mean_loss=0.1009 lr=0.0001 elapsed=2.9s
epoch 19/50 mean_loss=0.1076 lr=0.0001 elapsed=3.0s
epoch 20/50 mean_loss=0.0970 lr=0.0001 elapsed=2.9s
epoch 21/50 mean_loss=0.0848 lr=0.0001 elapsed=2.9s
epoch 22/50 mean_loss=0.1066 lr=0.0001 elapsed=2.9s
epoch 23/50 mean_loss=0.0599 lr=0.0001 elapsed=2.9s
epoch 24/50 mean_loss=0.0678 lr=0.0001 elapsed=2.9s
epoch 25/50 mean_loss=0.0382 lr=0.0001 elapsed=2.9s
epoch 26/50 mean_loss=0.0346 lr=0.0001 elapsed=2.9s
epoch 27/50 mean_loss=0.0205 lr=0.0001 elapsed=2.9s
epoch 28/50 mean_loss=0.0204 lr=0.0001 elapsed=3.0s
epoch 29/50 mean_loss=0.0391 lr=0.0001 elapsed=2.9s
epoch 30/50 mean_loss=0.0381 lr=0.0001 elapsed=2.9s
epoch 31/50 mean_loss=0.0305 lr=0.0001 elapsed=3.0s
epoch 32/50 mean_loss=0.0304 lr=0.0001 elapsed=3.0s
epoch 33/50 mean_loss=0.0376 lr=0.0001 elapsed=3.0s
epoch 34/50 mean_loss=0.0638 lr=0.0001 elapsed=2.9s
epoch 35/50 mean_loss=0.0604 lr=0.0001 elapsed=2.9s
epoch 36/50 mean_loss=0.0846 lr=0.0001 elapsed=2.9s
epoch 37/50 mean_loss=0.0710 lr=0.0001 elapsed=2.9s
epoch 38/50 mean_loss=0.0572 lr=0.0001 elapsed=2.9s
epoch 39/50 mean_loss=0.0629 lr=0.0001 elapsed=2.9s
epoch 40/50 mean_loss=0.0689 lr=0.0001 elapsed=2.9s
epoch 41/50 mean_loss=0.0734 lr=0.0001 elapsed=2.9s
epoch 42/50 mean_loss=0.0594 lr=0.0001 elapsed=2.9s
epoch 43/50 mean_loss=0.0681 lr=0.0001 elapsed=2.9s
epoch 44/50 mean_loss=0.0620 lr=0.0001 elapsed=3.0s
epoch 45/50 mean_loss=0.0310 lr=0.0001 elapsed=3.0s
epoch 46/50 mean_loss=0.0318 lr=0.0001 elapsed=3.0s
epoch 47/50 mean_loss=0.0244 lr=0.0001 elapsed=3.0s
epoch 48/50 mean_loss=0.0204 lr=0.0001 elapsed=2.9s
epoch 49/50 mean_loss=0.0345 lr=0.0001 elapsed=2.9s
epoch 50/50 mean_loss=0.0349 lr=0.0001 elapsed=2.9s
