run: seed=2026 fold=1 variant=crop label=Hard Label
train samples=794 eval samples=202 epochs=50
epoch 01/50 mean_loss=1.4774 lr=0.0001 elapsed=3.0s
epoch 02/50 mean_loss=1.2789 lr=0.0001 elapsed=3.0s
epoch 03/50 mean_loss=1.1558 lr=0.0001 elapsed=2.9s
epoch 04/50 mean_loss=1.0326 lr=0.0001 elapsed=3.0s
epoch 05/50 mean_loss=0.9422 lr=0.0001 elapsed=3.1s
epoch 06/50 mean_loss=0.7755 lr=0.0001 elapsed=3.0s
epoch 07/50 mean_loss=0.6840 lr=0.0001 elapsed=3.0s
epoch 08/50 mean_loss=0.5475 lr=0.0001 elapsed=3.0s
epoch 09/50 mean_loss=0.4806 lr=0.0001 elapsed=2.9s
epoch 10/50 mean_loss=0.3649 lr=0.0001 elapsed=3.0s
epoch 11/50 mean_loss=0.3054 lr=0.0001 elapsed=3.0s
epoch 12/50 mean_loss=0.2499 lr=0.0001 elapsed=3.1s
epoch 13/50 mean_loss=0.2209 lr=0.0001 elapsed=3.1s
epoch 14/50 mean_loss=0.2122 lr=0.0001 elapsed=3.1s
epoch 15/50 mean_loss=0.1681 lr=0.0001 elapsed=3.0s
epoch 16/50 mean_loss=0.1417 lr=0.0001 elapsed=3.0s
epoch 17/50 mean_loss=0.1085 lr=0.0001 elapsed=3.0s
epoch 18/50 mean_loss=0.1563 lr=0.0001 elapsed=3.0s
epoch 19/50 mean_loss=0.1556 lr=0.0001 elapsed=2.9s
epoch 20/50 mean_loss=0.1184 lr=0.0001 elapsed=3.0s
epoch 21/50 mean_loss=0.1020 lr=0.0001 elapsed=2.9s
epoch 22/50 mean_loss=0.1074 lr=0.0001 elapsed=3.0s
epoch 23/50 mean_loss=0.0717 lr=0.0001 elapsed=2.9s
epoch 24/50 mean_loss=0.0651 lr=0.0001 elapsed=2.9s
epoch 25/50 mean_loss=0.0752 lr=0.0001 elapsed=3.0s
epoch 26/50 mean_loss=0.0784 lr=0.0001 elapsed=3.0s
epoch 27/50 mean_loss=0.0908 lr=0.0001 elapsed=3.0s
epoch 28/50 mean_loss=0.0711 lr=0.0001 elapsed=2.9s
epoch 29/50 mean_loss=0.0422 lr=0.0001 elapsed=3.0s
epoch 30/50 mean_loss=0.0634 lr=0.0001 elapsed=3.0s
epoch 31/50 mean_loss=0.0396 lr=0.0001 elapsed=3.0s
epoch 32/50 mean_loss=0.0282 lr=0.0001 elapsed=3.0s
epoch 33/50 mean_loss=0.0166 lr=0.0001 elapsed=3.0s
epoch 34/50 mean_loss=0.0188 lr=0.0001 elapsed=3.1s
epoch 35/50 mean_loss=0.0388 lr=0.0001 elapsed=3.0s
epoch 36/50 mean_loss=0.0276 lr=0.0001 elapsed=3.0s
epoch 37/50 mean_loss=0.0284 lr=0.0001 elapsed=3.0s
epoch 38/50 mean_loss=0.0371 lr=0.0001 elapsed=3.1s
epoch 39/50 mean_loss=0.0444 lr=0.0001 elapsed=3.0s
epoch 40/50 mean_loss=0.0338 lr=0.0001 elapsed=3.0s
epoch 41/50 mean_loss=0.0556 lr=0.0001 elapsed=3.0s
epoch 42/50 mean_loss=0.0500 lr=0.0001 elapsed=3.1s
epoch 43/50 mean_loss=0.0311 lr=0.0001 elapsed=3.0s
epoch 44/50 mean_loss=0.0256 lr=0.0001 elapsed=3.0s
epoch 45/50 mean_loss=0.0297 lr=0.0001 elapsed=2.9s
epoch 46/50 mean_loss=0.0330 lr=0.0001 elapsed=3.1s
epoch 47/50 mean_loss=0.0256 lr=0.0001 elapsed=3.0s
epoch 48/50 mean_loss=0.0223 lr=0.0001 elapsed=3.0s
epoch 49/50 mean_loss=0.0138 lr=0.0001 elapsed=3.0s
epoch 50/50 mean_loss=0.0196 lr=0.0001 elapsed=2.9s
