record_type,scheme,fold,training_seed,baseline_accuracy,baseline_macro_f1,baseline_auc,baseline_sensitivity,baseline_specificity,delta_accuracy_M,after_accuracy_M,delta_macro_f1_M,after_macro_f1_M,delta_auc_M,after_auc_M,delta_sensitivity_M,after_sensitivity_M,delta_specificity_M,after_specificity_M,deeplift_share_M,deeplift_center_share_M,delta_accuracy_MB,after_accuracy_MB,delta_macro_f1_MB,after_macro_f1_MB,delta_auc_MB,after_auc_MB,delta_sensitivity_MB,after_sensitivity_MB,delta_specificity_MB,after_specificity_MB,deeplift_share_MB,deeplift_center_share_MB,delta_accuracy_MR,after_accuracy_MR,delta_macro_f1_MR,after_macro_f1_MR,delta_auc_MR,after_auc_MR,delta_sensitivity_MR,after_sensitivity_MR,delta_specificity_MR,after_specificity_MR,deeplift_share_MR,deeplift_center_share_MR,delta_accuracy_MP,after_accuracy_MP,delta_macro_f1_MP,after_macro_f1_MP,delta_auc_MP,after_auc_MP,delta_sensitivity_MP,after_sensitivity_MP,delta_specificity_MP,after_specificity_MP,deeplift_share_MP,deeplift_center_share_MP,delta_accuracy_MUV,after_accuracy_MUV,delta_macro_f1_MUV,after_macro_f1_MUV,delta_auc_MUV,after_auc_MUV,delta_sensitivity_MUV,after_sensitivity_MUV,delta_specificity_MUV,after_specificity_MUV,deeplift_share_MUV,deeplift_center_share_MUV
run,M+MB+MR,1,42,0.745,0.7206933377146143,0.8111075915953965,0.8455284552845529,0.5844155844155844,-0.06999999999999995,0.675,-0.05853995535020773,0.6621533823644066,-0.06810262907823883,0.7430049625171576,-0.13821138211382122,0.7073170731707317,0.038961038961038974,0.6233766233766234,0.3036566376342576,0.5852130338850385,-0.07999999999999996,0.665,-0.05670978747513988,0.6639835502394744,-0.04170626121845622,0.7694013303769403,-0.26016260162601634,0.5853658536585366,0.20779220779220786,0.7922077922077922,0.3085356407035223,0.5049606937617651,-0.325,0.42,-0.37157427139209154,0.34911906632252276,-0.17337134410305144,0.637736247492345,-0.7723577235772359,0.07317073170731707,0.38961038961038963,0.974025974025974,0.38780772166221816,0.4643582223742735,,,,,,,,,,,,,,,,,,,,,,,,
run,M+MB+MR,1,3407,0.76,0.7395833333333333,0.7834441980783443,0.8455284552845529,0.6233766233766234,-0.06500000000000006,0.695,-0.11181826849733023,0.627765064836003,-0.09375989863794731,0.689684299440397,0.06504065040650397,0.9105691056910569,-0.2727272727272727,0.35064935064935066,0.29830812168273657,0.593916353174766,-0.255,0.505,-0.2719702011239278,0.4676131322094055,-0.018371872030408465,0.7650723260479358,-0.6504065040650406,0.1951219512195122,0.37662337662337664,1.0,0.3126931642960786,0.5012231463241567,-0.11499999999999999,0.645,-0.09501874170859292,0.6445645916247403,-0.03442086368915631,0.749023334389188,-0.29268292682926833,0.5528455284552846,0.1688311688311689,0.7922077922077922,0.3889987140211824,0.4738622878516506,,,,,,,,,,,,,,,,,,,,,,,,
run,M+MB+MR,1,2026,0.735,0.7245250656202085,0.8133248864956182,0.7560975609756098,0.7012987012987013,-0.07999999999999996,0.655,-0.08175112759116443,0.642773938029044,-0.132404181184669,0.6809207053109492,-0.07317073170731703,0.6829268292682927,-0.09090909090909094,0.6103896103896104,0.3062107095791033,0.6531192295590805,-0.22499999999999998,0.51,-0.2309326720691543,0.49359239355105416,-0.053215077605321515,0.7601098088902967,-0.4878048780487805,0.2682926829268293,0.19480519480519476,0.8961038961038961,0.30844233200677645,0.5749195637786206,-0.33999999999999997,0.395,-0.4285250656202084,0.29600000000000004,-0.17643332277478618,0.636891563720832,-0.7398373983739838,0.016260162601626018,0.2987012987012987,1.0,0.38534695841411754,0.5448852387252223,,,,,,,,,,,,,,,,,,,,,,,,
run,M+MB+MR,2,42,0.7738693467336684,0.7512569095302908,0.8159995741962954,0.8770491803278688,0.6103896103896104,-0.0653266331658292,0.7085427135678392,-0.06681902676563634,0.6844378827646544,-0.0815946348733233,0.7344049393229721,-0.07377049180327866,0.8032786885245902,-0.051948051948051965,0.5584415584415584,0.29928881646927574,0.6195303539229863,-0.2814070351758794,0.49246231155778897,-0.28245652895043505,0.46880038057985574,-0.1382265275707898,0.6777730466255056,-0.6475409836065573,0.22950819672131148,0.2987012987012987,0.9090909090909091,0.3114507541224559,0.5316501412333328,-0.2864321608040201,0.48743718592964824,-0.30295293040439386,0.4483039791258969,-0.09532680434319774,0.7206727698530977,-0.6967213114754098,0.18032786885245902,0.36363636363636365,0.974025974025974,0.3892604294082664,0.5005226928691353,,,,,,,,,,,,,,,,,,,,,,,,
run,M+MB+MR,2,3407,0.7638190954773869,0.7479043691544702,0.7785288482009793,0.8278688524590164,0.6623376623376623,-0.07035175879396982,0.6934673366834171,-0.10362598087608199,0.6442783882783882,-0.05892058760911212,0.7196082605918672,0.040983606557376984,0.8688524590163934,-0.24675324675324672,0.4155844155844156,0.30345912519553647,0.6454543923066527,-0.025125628140703515,0.7386934673366834,-0.03256546070376598,0.7153389084507042,-0.027411113476687232,0.7511177347242921,0.008196721311475419,0.8360655737704918,-0.07792207792207795,0.5844155844155844,0.3082554183869814,0.551627697719188,-0.3969849246231156,0.36683417085427134,-0.47342520248780356,0.27447916666666666,-0.1503619331488183,0.628166915052161,-0.819672131147541,0.00819672131147541,0.2727272727272727,0.935064935064935,0.3882854564174796,0.5173836743412684,,,,,,,,,,,,,,,,,,,,,,,,
run,M+MB+MR,2,2026,0.7487437185929648,0.729560774081322,0.7808175431126251,0.8278688524590164,0.6233766233766234,-0.14070351758793975,0.6080402010050251,-0.33970228351528425,0.3898584905660378,-0.08984458164786024,0.6909729614647648,0.15573770491803274,0.9836065573770492,-0.6103896103896104,0.012987012987012988,0.30613265833854875,0.6363558563622083,0.045226130653266305,0.7939698492462312,0.04380663237960958,0.7733674064609316,0.014051522248243575,0.7948690653608687,0.06557377049180324,0.8934426229508197,0.012987012987012991,0.6363636363636364,0.3113319776479602,0.557850972509392,-0.2160804020100503,0.5326633165829145,-0.19922198458760298,0.530338789493719,-0.06557377049180335,0.7152437726208217,-0.4508196721311476,0.3770491803278688,0.1558441558441559,0.7792207792207793,0.38253536401348875,0.5206265609215803,,,,,,,,,,,,,,,,,,,,,,,,
run,M+MB+MR,3,42,0.7537688442211056,0.7444505595303614,0.8485735575899511,0.7704918032786885,0.7272727272727273,-0.03015075376884424,0.7236180904522613,-0.09596162353781235,0.6484889359925491,-0.11246540344901002,0.7361081541409411,0.19672131147540983,0.9672131147540983,-0.38961038961038963,0.33766233766233766,0.3032013507675103,0.6627508387911673,-0.1507537688442212,0.6030150753768844,-0.14341008243354625,0.6010404770968152,-0.07212050244837143,0.7764530551415797,-0.3360655737704918,0.4344262295081967,0.1428571428571428,0.8701298701298701,0.3095739784776925,0.5653201306355247,-0.3668341708542714,0.3869346733668342,-0.4654650522839846,0.27898550724637683,-0.1845326804343198,0.6640408771556313,-0.7704918032786885,0.0,0.2727272727272727,1.0,0.3872246707547953,0.5363727917443807,,,,,,,,,,,,,,,,,,,,,,,,
run,M+MB+MR,3,3407,0.7386934673366834,0.7232563115104835,0.8113689589099425,0.7950819672131147,0.6493506493506493,-0.12060301507537685,0.6180904522613065,-0.3291857986899707,0.3940705128205128,-0.06403023206301894,0.7473387268469236,0.20491803278688525,1.0,-0.6363636363636364,0.012987012987012988,0.29429947409537127,0.6153178964712361,-0.2914572864321608,0.4472361809045226,-0.32542400517245534,0.3978323063380282,-0.16244411326378538,0.6489248456461572,-0.6639344262295082,0.13114754098360656,0.2987012987012987,0.948051948051948,0.3175566958641576,0.503279125146164,-0.24120603015075376,0.49748743718592964,-0.24804534104634846,0.4752109704641351,-0.13849265488609752,0.672876304023845,-0.5573770491803278,0.23770491803278687,0.2597402597402597,0.9090909090909091,0.3881438300404697,0.48069046470812204,,,,,,,,,,,,,,,,,,,,,,,,
run,M+MB+MR,3,2026,0.7738693467336684,0.7611044417767108,0.841707472855014,0.819672131147541,0.7012987012987013,-0.1306532663316583,0.6432160804020101,-0.2921700309516779,0.4689344108250329,-0.08718330849478406,0.75452416436023,0.17213114754098358,0.9918032786885246,-0.6103896103896104,0.09090909090909091,0.32152264224408406,0.7016202580575446,-0.16080402010050254,0.6130653266331658,-0.15585416483619507,0.6052502769405157,-0.18458590589738144,0.6571215669576326,-0.20491803278688525,0.6147540983606558,-0.09090909090909094,0.6103896103896104,0.31212629010160964,0.632728666020135,-0.2160804020100503,0.5577889447236181,-0.20467080449200958,0.5564336372847012,-0.16361507345113935,0.6780923994038747,-0.4098360655737705,0.4098360655737705,0.09090909090909094,0.7922077922077922,0.3663510676543044,0.5941967706634036,,,,,,,,,,,,,,,,,,,,,,,,
run,M+MB+MR,4,42,0.7688442211055276,0.7539247311827957,0.8140778776208815,0.8211382113821138,0.6842105263157895,-0.055276381909547756,0.7135678391959799,-0.1024575319202361,0.6514671992625596,0.01936243046640984,0.8334403080872913,0.09756097560975607,0.9186991869918699,-0.3026315789473684,0.3815789473684211,0.29340459633948285,0.621712116642027,-0.34673366834170855,0.4221105527638191,-0.4082118341361651,0.3457128970466306,-0.14259734702610183,0.6714805305947796,-0.7560975609756098,0.06504065040650407,0.3157894736842105,1.0,0.3184169330892412,0.5104662199675603,-0.3015075376884422,0.46733668341708545,-0.33064170406118587,0.4232830271216098,-0.06108258451005555,0.7529952931108259,-0.6666666666666667,0.15447154471544716,0.2894736842105263,0.9736842105263158,0.3881784705712741,0.48551741202866533,,,,,,,,,,,,,,,,,,,,,,,,
run,M+MB+MR,4,3407,0.7738693467336684,0.7544220485396955,0.8313008130081301,0.8536585365853658,0.6447368421052632,-0.0653266331658292,0.7085427135678392,-0.1319076581681623,0.6225143903715332,-0.03818998716302957,0.7931108258451005,0.10569105691056913,0.959349593495935,-0.34210526315789475,0.3026315789473684,0.313998646644547,0.6530825044677043,-0.36180904522613067,0.4120603015075377,-0.4253825395918266,0.32903950894786893,-0.13329054343175006,0.69801026957638,-0.8048780487804877,0.04878048780487805,0.35526315789473684,1.0,0.3125701487117255,0.5730783830441559,-0.31658291457286436,0.457286432160804,-0.35341870405809017,0.40100334448160535,-0.10847240051347895,0.7228284124946511,-0.7317073170731707,0.12195121951219512,0.35526315789473684,1.0,0.3734312046437253,0.5322587949073282,,,,,,,,,,,,,,,,,,,,,,,,
run,M+MB+MR,4,2026,0.7738693467336684,0.7611044417767108,0.8208172871202397,0.8130081300813008,0.7105263157894737,-0.09547738693467334,0.678391959798995,-0.22055610122837022,0.5405483405483406,0.013853230637569491,0.8346705177578092,0.17886178861788615,0.991869918699187,-0.5394736842105263,0.17105263157894737,0.30667579286542124,0.6750438953782799,-0.2613065326633166,0.5125628140703518,-0.27126645250694836,0.4898379892697624,-0.07231493367565267,0.748502353444587,-0.5691056910569106,0.24390243902439024,0.23684210526315785,0.9473684210526315,0.31337502421536984,0.5906530438179605,-0.2562814070351759,0.5175879396984925,-0.26490191013114117,0.4962025316455696,-0.07573812580231065,0.7450791613179291,-0.5609756097560976,0.25203252032520324,0.23684210526315785,0.9473684210526315,0.3799491829192066,0.561055427282292,,,,,,,,,,,,,,,,,,,,,,,,
run,M+MB+MR,5,42,0.7989949748743719,0.7848648648648648,0.837665810868635,0.8536585365853658,0.7105263157894737,-0.10552763819095479,0.6934673366834171,-0.101768663324596,0.6830962015402688,-0.0867030380830125,0.7509627727856225,-0.14634146341463417,0.7073170731707317,-0.03947368421052633,0.6710526315789473,0.29690676410989997,0.5711962856928423,-0.3316582914572864,0.46733668341708545,-0.36513555148458315,0.4197293133802817,-0.06413136499786043,0.7735344458707746,-0.7073170731707317,0.14634146341463414,0.2763157894736842,0.9868421052631579,0.313078152273771,0.47221702401571153,-0.24120603015075381,0.5577889447236181,-0.23306306306306301,0.5518018018018018,-0.13280915703893892,0.7048566538296961,-0.4959349593495935,0.35772357723577236,0.17105263157894735,0.881578947368421,0.39001508361632703,0.4489153011268235,,,,,,,,,,,,,,,,,,,,,,,,
run,M+MB+MR,5,3407,0.8090452261306532,0.7967204301075269,0.8625374411638853,0.8536585365853658,0.7368421052631579,-0.10552763819095468,0.7035175879396985,-0.10442281761178562,0.6922976124957413,-0.1065468549422336,0.7559905862216517,-0.13008130081300806,0.7235772357723578,-0.06578947368421051,0.6710526315789473,0.30785946641228623,0.7105360089080086,-0.34170854271356776,0.46733668341708545,-0.3700515890551242,0.4266688410524027,-0.14259734702610183,0.7199400941377835,-0.6910569105691057,0.16260162601626016,0.22368421052631582,0.9605263157894737,0.3092447005785703,0.6158757271539095,-0.20100502512562812,0.6080402010050251,-0.18948358800226373,0.6072368421052632,-0.12270004278990154,0.7398373983739838,-0.3983739837398374,0.45528455284552843,0.11842105263157898,0.8552631578947368,0.38289583300914204,0.5862314433888091,,,,,,,,,,,,,,,,,,,,,,,,
run,M+MB+MR,5,2026,0.8040201005025126,0.7929571828731492,0.8744116388532306,0.8373983739837398,0.75,-0.2814070351758794,0.5226130653266332,-0.28144585241657183,0.5115113304565774,-0.23202824133504474,0.6423833975181859,-0.5365853658536586,0.3008130081300813,0.13157894736842102,0.881578947368421,0.31140275830629427,0.6732071629756521,-0.3417085427135679,0.4623115577889447,-0.384412975767791,0.4085442071053582,-0.05551989730423612,0.8188917415489945,-0.7073170731707317,0.13008130081300814,0.25,1.0,0.31136792383313594,0.5887629941156152,-0.41206030150753775,0.39195979899497485,-0.4985689044848708,0.2943882783882784,-0.20496362858365413,0.6694480102695765,-0.8211382113821138,0.016260162601626018,0.25,1.0,0.37722931786056746,0.5617149644094035,,,,,,,,,,,,,,,,,,,,,,,,
run,M+MR,1,42,0.76,0.7425997425997426,0.8203463203463204,0.8292682926829268,0.6493506493506493,-0.08499999999999996,0.675,-0.1276822391191892,0.6149175034805534,-0.10806673001794953,0.7122795903283708,0.04065040650406504,0.8699186991869918,-0.2857142857142857,0.36363636363636365,0.44562228248910946,0.6537923167723259,,,,,,,,,,,,,-0.355,0.405,-0.42905239755633456,0.31354734504340803,-0.12358779431950162,0.6967585260268188,-0.7967479674796748,0.032520325203252036,0.35064935064935066,1.0,0.5543777175108889,0.5544692925651832,,,,,,,,,,,,,,,,,,,,,,,,
run,M+MR,1,3407,0.8,0.7854997854997855,0.8088902966951748,0.8617886178861789,0.7012987012987013,-0.13,0.67,-0.2513382948165557,0.5341614906832298,-0.15647766867279067,0.6524126280223841,0.12195121951219512,0.983739837398374,-0.5324675324675325,0.16883116883116883,0.4184952692360027,0.5549379394270171,,,,,,,,,,,,,-0.41000000000000003,0.39,-0.492254506853047,0.2932452786467385,-0.15721676697286457,0.6516735297223102,-0.8455284552845529,0.016260162601626018,0.2857142857142857,0.987012987012987,0.5815047307639959,0.4461119334865303,,,,,,,,,,,,,,,,,,,,,,,,
run,M+MR,1,2026,0.77,0.7504340277777778,0.8331749551261747,0.8536585365853658,0.6363636363636364,-0.10499999999999998,0.665,-0.11979371244383807,0.6306403153339397,-0.1522542498152255,0.6809207053109492,-0.06504065040650409,0.7886178861788617,-0.16883116883116883,0.4675324675324675,0.4249264764897892,0.5437710122789127,,,,,,,,,,,,,-0.255,0.515,-0.24585015178503034,0.5045838759927475,-0.14349065568577757,0.6896842994403971,-0.5528455284552845,0.3008130081300813,0.22077922077922074,0.8571428571428571,0.5750735235102089,0.42869272083118687,,,,,,,,,,,,,,,,,,,,,,,,
run,M+MR,2,42,0.7286432160804021,0.7043904049295775,0.7850223546944859,0.8278688524590164,0.5714285714285714,0.005025125628140614,0.7336683417085427,0.018064267315889726,0.7224546722454672,-0.021556312539919187,0.7634660421545667,-0.06557377049180335,0.7622950819672131,0.11688311688311692,0.6883116883116883,0.43840598076710247,0.6697109680360179,,,,,,,,,,,,,-0.3316582914572865,0.3969849246231156,-0.407239474861294,0.29715093006828347,-0.15557802852884817,0.6294443261656377,-0.8114754098360656,0.01639344262295082,0.4285714285714286,1.0,0.5615940192328962,0.5533189956696996,,,,,,,,,,,,,,,,,,,,,,,,
run,M+MR,2,3407,0.7587939698492462,0.7445442875481387,0.8274430487545241,0.8114754098360656,0.6753246753246753,-0.06030150753768837,0.6984924623115578,-0.08725381682483224,0.6572904707233065,-0.09729614647647411,0.73014690227805,0.040983606557376984,0.8524590163934426,-0.2207792207792208,0.45454545454545453,0.4322091044349125,0.6146332224854625,,,,,,,,,,,,,-0.08542713567839189,0.6733668341708543,-0.08640542875912272,0.658138858789016,-0.09825420481158176,0.7291888439429424,-0.0901639344262295,0.7213114754098361,-0.07792207792207795,0.5974025974025974,0.5677908955650861,0.49563890783329306,,,,,,,,,,,,,,,,,,,,,,,,
