scheme=M+MB+MR fold=5 training_seed=2026 epochs=50 batch_size=32 optimizer=AdamW lr=0.0001 weight_decay=0.0001 loss=CrossEntropyLoss scheduler=None early_stopping=False task=5class
epoch=001 loss=1.4800 acc=0.3049 sec=5.2
epoch=002 loss=1.3009 acc=0.4228 sec=4.8
epoch=003 loss=1.1908 acc=0.4994 sec=4.8
epoch=004 loss=1.0878 acc=0.5471 sec=4.9
epoch=005 loss=0.9756 acc=0.6023 sec=4.7
epoch=006 loss=0.8754 acc=0.6499 sec=4.7
epoch=007 loss=0.7742 acc=0.6888 sec=5.0
epoch=008 loss=0.6946 acc=0.7202 sec=5.1
epoch=009 loss=0.6069 acc=0.7691 sec=5.0
epoch=010 loss=0.5348 acc=0.8156 sec=5.1
epoch=011 loss=0.4720 acc=0.8256 sec=5.0
epoch=012 loss=0.3617 acc=0.8670 sec=4.7
epoch=013 loss=0.2842 acc=0.9084 sec=4.8
epoch=014 loss=0.2760 acc=0.9021 sec=4.8
epoch=015 loss=0.2881 acc=0.9072 sec=4.7
epoch=016 loss=0.1944 acc=0.9398 sec=4.7
epoch=017 loss=0.1747 acc=0.9285 sec=4.9
epoch=018 loss=0.2171 acc=0.9285 sec=4.7
epoch=019 loss=0.1741 acc=0.9435 sec=4.7
epoch=020 loss=0.1647 acc=0.9473 sec=4.9
epoch=021 loss=0.1494 acc=0.9523 sec=4.7
epoch=022 loss=0.1621 acc=0.9523 sec=4.7
epoch=023 loss=0.1343 acc=0.9661 sec=4.8
epoch=024 loss=0.1094 acc=0.9611 sec=4.7
epoch=025 loss=0.0879 acc=0.9749 sec=4.7
epoch=026 loss=0.0770 acc=0.9849 sec=4.8
epoch=027 loss=0.0692 acc=0.9799 sec=5.0
epoch=028 loss=0.0545 acc=0.9849 sec=5.0
epoch=029 loss=0.0766 acc=0.9787 sec=5.1
epoch=030 loss=0.0484 acc=0.9862 sec=5.1
epoch=031 loss=0.0474 acc=0.9900 sec=4.8
epoch=032 loss=0.0642 acc=0.9787 sec=4.7
epoch=033 loss=0.0631 acc=0.9824 sec=4.9
epoch=034 loss=0.0647 acc=0.9824 sec=4.7
epoch=035 loss=0.0913 acc=0.9686 sec=4.7
epoch=036 loss=0.0592 acc=0.9799 sec=4.9
epoch=037 loss=0.0588 acc=0.9837 sec=4.8
epoch=038 loss=0.0405 acc=0.9862 sec=4.7
epoch=039 loss=0.0528 acc=0.9812 sec=4.8
epoch=040 loss=0.0339 acc=0.9912 sec=4.7
epoch=041 loss=0.0384 acc=0.9900 sec=4.7
epoch=042 loss=0.0542 acc=0.9875 sec=4.8
epoch=043 loss=0.0253 acc=0.9925 sec=4.8
epoch=044 loss=0.0453 acc=0.9887 sec=4.7
epoch=045 loss=0.0689 acc=0.9749 sec=5.0
epoch=046 loss=0.0495 acc=0.9824 sec=5.0
epoch=047 loss=0.0485 acc=0.9837 sec=5.0
epoch=048 loss=0.0335 acc=0.9900 sec=5.0
epoch=049 loss=0.0416 acc=0.9912 sec=5.0
epoch=050 loss=0.0326 acc=0.9900 sec=4.8
