run: seed=42 fold=3 variant=mask label=Soft Label
train samples=797 eval samples=199 epochs=50
epoch 01/50 mean_loss=1.4592 lr=0.0001 elapsed=3.6s
epoch 02/50 mean_loss=1.3456 lr=0.0001 elapsed=3.6s
epoch 03/50 mean_loss=1.2869 lr=0.0001 elapsed=3.6s
epoch 04/50 mean_loss=1.2152 lr=0.0001 elapsed=3.5s
epoch 05/50 mean_loss=1.1622 lr=0.0001 elapsed=3.5s
epoch 06/50 mean_loss=1.1348 lr=0.0001 elapsed=3.5s
epoch 07/50 mean_loss=1.0773 lr=0.0001 elapsed=3.5s
epoch 08/50 mean_loss=1.0240 lr=0.0001 elapsed=3.5s
epoch 09/50 mean_loss=0.9490 lr=0.0001 elapsed=3.5s
epoch 10/50 mean_loss=0.8887 lr=0.0001 elapsed=3.5s
epoch 11/50 mean_loss=0.8402 lr=0.0001 elapsed=3.5s
epoch 12/50 mean_loss=0.8280 lr=0.0001 elapsed=3.5s
epoch 13/50 mean_loss=0.7822 lr=0.0001 elapsed=3.5s
epoch 14/50 mean_loss=0.7331 lr=0.0001 elapsed=3.5s
epoch 15/50 mean_loss=0.7223 lr=0.0001 elapsed=3.5s
epoch 16/50 mean_loss=0.6938 lr=0.0001 elapsed=3.5s
epoch 17/50 mean_loss=0.6749 lr=0.0001 elapsed=3.5s
epoch 18/50 mean_loss=0.6522 lr=0.0001 elapsed=3.6s
epoch 19/50 mean_loss=0.6429 lr=0.0001 elapsed=3.5s
epoch 20/50 mean_loss=0.6243 lr=0.0001 elapsed=3.6s
epoch 21/50 mean_loss=0.6254 lr=0.0001 elapsed=3.5s
epoch 22/50 mean_loss=0.6177 lr=0.0001 elapsed=3.5s
epoch 23/50 mean_loss=0.6030 lr=0.0001 elapsed=3.5s
epoch 24/50 mean_loss=0.6149 lr=0.0001 elapsed=3.5s
epoch 25/50 mean_loss=0.5971 lr=0.0001 elapsed=3.5s
epoch 26/50 mean_loss=0.5931 lr=0.0001 elapsed=3.5s
epoch 27/50 mean_loss=0.5894 lr=0.0001 elapsed=3.5s
epoch 28/50 mean_loss=0.5918 lr=0.0001 elapsed=3.5s
epoch 29/50 mean_loss=0.5920 lr=0.0001 elapsed=3.5s
epoch 30/50 mean_loss=0.5865 lr=0.0001 elapsed=3.5s
epoch 31/50 mean_loss=0.5797 lr=0.0001 elapsed=3.5s
epoch 32/50 mean_loss=0.5814 lr=0.0001 elapsed=3.6s
epoch 33/50 mean_loss=0.5735 lr=0.0001 elapsed=3.5s
epoch 34/50 mean_loss=0.5743 lr=0.0001 elapsed=3.7s
epoch 35/50 mean_loss=0.5747 lr=0.0001 elapsed=3.7s
epoch 36/50 mean_loss=0.5684 lr=0.0001 elapsed=3.5s
epoch 37/50 mean_loss=0.5709 lr=0.0001 elapsed=3.6s
epoch 38/50 mean_loss=0.5689 lr=0.0001 elapsed=3.5s
epoch 39/50 mean_loss=0.5678 lr=0.0001 elapsed=3.5s
epoch 40/50 mean_loss=0.5631 lr=0.0001 elapsed=3.5s
epoch 41/50 mean_loss=0.5652 lr=0.0001 elapsed=3.5s
epoch 42/50 mean_loss=0.5629 lr=0.0001 elapsed=3.6s
epoch 43/50 mean_loss=0.5632 lr=0.0001 elapsed=3.5s
epoch 44/50 mean_loss=0.5630 lr=0.0001 elapsed=3.5s
epoch 45/50 mean_loss=0.5687 lr=0.0001 elapsed=3.5s
epoch 46/50 mean_loss=0.5624 lr=0.0001 elapsed=3.5s
epoch 47/50 mean_loss=0.5590 lr=0.0001 elapsed=3.5s
epoch 48/50 mean_loss=0.5565 lr=0.0001 elapsed=3.5s
epoch 49/50 mean_loss=0.5774 lr=0.0001 elapsed=3.5s
epoch 50/50 mean_loss=0.5739 lr=0.0001 elapsed=3.5s
