run: seed=3407 fold=3 variant=mask label=Hard Label
train samples=797 eval samples=199 epochs=50
epoch 01/50 mean_loss=1.4398 lr=0.0001 elapsed=3.5s
epoch 02/50 mean_loss=1.2467 lr=0.0001 elapsed=3.5s
epoch 03/50 mean_loss=1.1873 lr=0.0001 elapsed=3.5s
epoch 04/50 mean_loss=1.1274 lr=0.0001 elapsed=3.5s
epoch 05/50 mean_loss=1.0430 lr=0.0001 elapsed=3.5s
epoch 06/50 mean_loss=0.9403 lr=0.0001 elapsed=3.5s
epoch 07/50 mean_loss=0.8720 lr=0.0001 elapsed=3.4s
epoch 08/50 mean_loss=0.7508 lr=0.0001 elapsed=3.5s
epoch 09/50 mean_loss=0.6275 lr=0.0001 elapsed=3.5s
epoch 10/50 mean_loss=0.5622 lr=0.0001 elapsed=3.5s
epoch 11/50 mean_loss=0.4698 lr=0.0001 elapsed=3.5s
epoch 12/50 mean_loss=0.4038 lr=0.0001 elapsed=3.5s
epoch 13/50 mean_loss=0.3222 lr=0.0001 elapsed=3.5s
epoch 14/50 mean_loss=0.3161 lr=0.0001 elapsed=3.5s
epoch 15/50 mean_loss=0.2955 lr=0.0001 elapsed=3.5s
epoch 16/50 mean_loss=0.2495 lr=0.0001 elapsed=3.5s
epoch 17/50 mean_loss=0.2096 lr=0.0001 elapsed=3.5s
epoch 18/50 mean_loss=0.1649 lr=0.0001 elapsed=3.5s
epoch 19/50 mean_loss=0.1236 lr=0.0001 elapsed=3.6s
epoch 20/50 mean_loss=0.1186 lr=0.0001 elapsed=3.5s
epoch 21/50 mean_loss=0.1253 lr=0.0001 elapsed=3.4s
epoch 22/50 mean_loss=0.0899 lr=0.0001 elapsed=3.5s
epoch 23/50 mean_loss=0.0686 lr=0.0001 elapsed=3.5s
epoch 24/50 mean_loss=0.0769 lr=0.0001 elapsed=3.5s
epoch 25/50 mean_loss=0.0729 lr=0.0001 elapsed=3.5s
epoch 26/50 mean_loss=0.0759 lr=0.0001 elapsed=3.5s
epoch 27/50 mean_loss=0.0680 lr=0.0001 elapsed=3.5s
epoch 28/50 mean_loss=0.0897 lr=0.0001 elapsed=3.5s
epoch 29/50 mean_loss=0.0961 lr=0.0001 elapsed=3.5s
epoch 30/50 mean_loss=0.0738 lr=0.0001 elapsed=3.5s
epoch 31/50 mean_loss=0.0593 lr=0.0001 elapsed=3.5s
epoch 32/50 mean_loss=0.0282 lr=0.0001 elapsed=3.6s
epoch 33/50 mean_loss=0.0344 lr=0.0001 elapsed=3.5s
epoch 34/50 mean_loss=0.0394 lr=0.0001 elapsed=3.5s
epoch 35/50 mean_loss=0.0456 lr=0.0001 elapsed=3.5s
epoch 36/50 mean_loss=0.0619 lr=0.0001 elapsed=3.6s
epoch 37/50 mean_loss=0.0565 lr=0.0001 elapsed=3.6s
epoch 38/50 mean_loss=0.0642 lr=0.0001 elapsed=3.5s
epoch 39/50 mean_loss=0.0614 lr=0.0001 elapsed=3.5s
epoch 40/50 mean_loss=0.0580 lr=0.0001 elapsed=3.5s
epoch 41/50 mean_loss=0.0624 lr=0.0001 elapsed=3.5s
epoch 42/50 mean_loss=0.0433 lr=0.0001 elapsed=3.5s
epoch 43/50 mean_loss=0.0614 lr=0.0001 elapsed=3.5s
epoch 44/50 mean_loss=0.0712 lr=0.0001 elapsed=3.5s
epoch 45/50 mean_loss=0.0731 lr=0.0001 elapsed=3.5s
epoch 46/50 mean_loss=0.0361 lr=0.0001 elapsed=3.7s
epoch 47/50 mean_loss=0.0198 lr=0.0001 elapsed=3.6s
epoch 48/50 mean_loss=0.0114 lr=0.0001 elapsed=3.5s
epoch 49/50 mean_loss=0.0300 lr=0.0001 elapsed=3.5s
epoch 50/50 mean_loss=0.0321 lr=0.0001 elapsed=3.6s
