record_type,channel,training_seed,accuracy,macro_f1,mae,adjacent_error_rate,far_error_rate,fold,train_n,eval_n,majority_acc,train_minutes,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,precision_2,recall_2,f1_2,precision_3,recall_3,f1_3,precision_4,recall_4,f1_4,accuracy_std,macro_f1_std,mae_std,adjacent_error_rate_std,far_error_rate_std
fold_raw,M,42,0.425,0.3775856023264158,0.79,0.39,0.185,1.0,796.0,200.0,0.325,2.39,0.125,0.125,0.125,0.5882352941176471,0.4166666666666667,0.4878048780487805,0.32653061224489793,0.35555555555555557,0.3404255319148936,0.4305555555555556,0.47692307692307695,0.45255474452554745,0.5,0.46551724137931033,0.48214285714285715,,,,,
fold_raw,M,42,0.44221105527638194,0.43263973392523913,0.7286432160804021,0.4221105527638191,0.135678391959799,2.0,797.0,199.0,0.32663316582914576,2.41,0.5,0.2857142857142857,0.36363636363636365,0.5,0.52,0.5098039215686274,0.3673469387755102,0.4,0.3829787234042553,0.4528301886792453,0.36923076923076925,0.4067796610169492,0.4626865671641791,0.543859649122807,0.5,,,,,
fold_raw,M,42,0.4824120603015075,0.42505126452494874,0.6834170854271356,0.38190954773869346,0.135678391959799,3.0,797.0,199.0,0.32663316582914576,2.38,1.0,0.14285714285714285,0.25,0.47368421052631576,0.36,0.4090909090909091,0.4358974358974359,0.37777777777777777,0.40476190476190477,0.4457831325301205,0.5692307692307692,0.5,0.5614035087719298,0.5614035087719298,0.5614035087719298,,,,,
fold_raw,M,42,0.41708542713567837,0.35872843418482364,0.7788944723618091,0.4221105527638191,0.16080402010050251,4.0,797.0,199.0,0.3316582914572864,2.37,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.5,0.52,0.5098039215686274,0.26666666666666666,0.18181818181818182,0.21621621621621623,0.44,0.3333333333333333,0.3793103448275862,0.45348837209302323,0.6842105263157895,0.5454545454545454,,,,,
fold_raw,M,42,0.48743718592964824,0.4116533642654341,0.6984924623115578,0.35678391959798994,0.15577889447236182,5.0,797.0,199.0,0.32663316582914576,2.37,0.2,0.14285714285714285,0.16666666666666666,0.44,0.4583333333333333,0.4489795918367347,0.3783783783783784,0.3111111111111111,0.34146341463414637,0.5714285714285714,0.4307692307692308,0.49122807017543857,0.5180722891566265,0.7413793103448276,0.6099290780141844,,,,,
fold_raw,M,3407,0.445,0.36124911434704904,0.755,0.405,0.15,1.0,796.0,200.0,0.325,2.4,0.0,0.0,0.0,0.5238095238095238,0.4583333333333333,0.4888888888888889,0.3870967741935484,0.26666666666666666,0.3157894736842105,0.43010752688172044,0.6153846153846154,0.5063291139240507,0.5531914893617021,0.4482758620689655,0.49523809523809526,,,,,
fold_raw,M,3407,0.4371859296482412,0.39989719378213145,0.7989949748743719,0.39195979899497485,0.1708542713567839,2.0,797.0,199.0,0.32663316582914576,2.37,0.2,0.2857142857142857,0.23529411764705882,0.5454545454545454,0.48,0.5106382978723404,0.39285714285714285,0.24444444444444444,0.3013698630136986,0.42857142857142855,0.5076923076923077,0.4647887323943662,0.46774193548387094,0.5087719298245614,0.48739495798319327,,,,,
fold_raw,M,3407,0.41708542713567837,0.38186552103133553,0.7587939698492462,0.44221105527638194,0.1407035175879397,3.0,797.0,199.0,0.32663316582914576,2.38,0.25,0.2857142857142857,0.26666666666666666,0.4375,0.28,0.34146341463414637,0.3333333333333333,0.5111111111111111,0.40350877192982454,0.4528301886792453,0.36923076923076925,0.4067796610169492,0.5094339622641509,0.47368421052631576,0.4909090909090909,,,,,
fold_raw,M,3407,0.41708542713567837,0.3783596428962644,0.7537688442211056,0.4472361809045226,0.135678391959799,4.0,797.0,199.0,0.3316582914572864,2.38,0.25,0.14285714285714285,0.18181818181818182,0.5238095238095238,0.44,0.4782608695652174,0.30612244897959184,0.3409090909090909,0.3225806451612903,0.4117647058823529,0.42424242424242425,0.417910447761194,0.49122807017543857,0.49122807017543857,0.49122807017543857,,,,,
fold_raw,M,3407,0.49246231155778897,0.4194353015405647,0.6733668341708543,0.37185929648241206,0.135678391959799,5.0,797.0,199.0,0.32663316582914576,2.38,0.125,0.14285714285714285,0.13333333333333333,0.5714285714285714,0.3333333333333333,0.42105263157894735,0.4307692307692308,0.6222222222222222,0.509090909090909,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5531914893617021,0.4482758620689655,0.49523809523809526,,,,,
fold_raw,M,2026,0.42,0.3673143581157518,0.755,0.435,0.145,1.0,796.0,200.0,0.325,2.39,0.16666666666666666,0.125,0.14285714285714285,0.3870967741935484,0.5,0.43636363636363634,0.3018867924528302,0.35555555555555557,0.32653061224489793,0.4222222222222222,0.2923076923076923,0.34545454545454546,0.5538461538461539,0.6206896551724138,0.5853658536585366,,,,,
fold_raw,M,2026,0.38190954773869346,0.33219461697722563,0.8241206030150754,0.4623115577889447,0.15577889447236182,2.0,797.0,199.0,0.32663316582914576,2.36,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.4666666666666667,0.28,0.35,0.3137254901960784,0.35555555555555557,0.3333333333333333,0.410958904109589,0.46153846153846156,0.43478260869565216,0.41509433962264153,0.38596491228070173,0.4,,,,,
fold_raw,M,2026,0.4824120603015075,0.40882596289604384,0.6733668341708543,0.38190954773869346,0.135678391959799,3.0,797.0,199.0,0.32663316582914576,2.37,0.16666666666666666,0.14285714285714285,0.15384615384615385,0.35714285714285715,0.4,0.37735849056603776,0.45714285714285713,0.35555555555555557,0.4,0.45121951219512196,0.5692307692307692,0.5034013605442177,0.6666666666666666,0.5614035087719298,0.6095238095238096,,,,,
fold_raw,M,2026,0.4120603015075377,0.3825151113076809,0.7788944723618091,0.4371859296482412,0.1507537688442211,4.0,797.0,199.0,0.3316582914572864,2.37,0.4,0.2857142857142857,0.3333333333333333,0.4230769230769231,0.44,0.43137254901960786,0.25,0.18181818181818182,0.21052631578947367,0.4,0.36363636363636365,0.38095238095238093,0.4868421052631579,0.6491228070175439,0.556390977443609,,,,,
fold_raw,M,2026,0.4723618090452261,0.41414071341257497,0.6984924623115578,0.3969849246231156,0.1306532663316583,5.0,797.0,199.0,0.32663316582914576,2.39,0.25,0.2857142857142857,0.26666666666666666,0.34782608695652173,0.3333333333333333,0.3404255319148936,0.45,0.4,0.4235294117647059,0.5306122448979592,0.4,0.45614035087719296,0.5063291139240507,0.6896551724137931,0.583941605839416,,,,,
seed_summary,M,42,0.4508291457286432,0.40113167984537224,0.7358894472361809,0.3945829145728643,0.15458793969849247,,,,,,,,,,,,,,,,,,,,,0.032471848949787614,0.03173351089643312,0.04738611402008183,0.02795497756550001,0.020494471400746353
seed_summary,M,3407,0.4417638190954774,0.388161354719469,0.7479849246231155,0.41165326633165833,0.14658291457286432,,,,,,,,,,,,,,,,,,,,,0.0309023184244804,0.022224813984767854,0.045742171779817854,0.03246375255447893,0.01477463847859491
seed_summary,M,2026,0.43374874371859296,0.38099815254185543,0.7459748743718593,0.422678391959799,0.14357286432160804,,,,,,,,,,,,,,,,,,,,,0.04244350926228906,0.03333222482665683,0.0608243674165581,0.032616450722850236,0.010390235610199297
final,M,all,0.4421139028475712,0.39009706236889885,0.7432830820770518,0.4096381909547739,0.14824790619765496,,,,,,,,,,,,,,,,,,,,,0.008545580856872285,0.010205388454067304,0.006481469943095469,0.014155718243198896,0.005693164253960936
fold_raw,MB,42,0.395,0.328392037439262,0.83,0.43,0.175,1.0,796.0,200.0,0.325,2.36,0.0,0.0,0.0,0.5,0.5,0.5,0.275,0.24444444444444444,0.25882352941176473,0.4155844155844156,0.49230769230769234,0.4507042253521127,0.4528301886792453,0.41379310344827586,0.43243243243243246,,,,,
fold_raw,MB,42,0.4120603015075377,0.33932773288871787,0.7537688442211056,0.45226130653266333,0.135678391959799,2.0,797.0,199.0,0.32663316582914576,2.37,0.0,0.0,0.0,0.6,0.36,0.45,0.35294117647058826,0.5333333333333333,0.4247787610619469,0.3924050632911392,0.47692307692307695,0.4305555555555556,0.5142857142857142,0.3157894736842105,0.391304347826087,,,,,
fold_raw,MB,42,0.4623115577889447,0.40689954376803783,0.7135678391959799,0.3969849246231156,0.1407035175879397,3.0,797.0,199.0,0.32663316582914576,2.4,0.16666666666666666,0.14285714285714285,0.15384615384615385,0.6470588235294118,0.44,0.5238095238095238,0.3541666666666667,0.37777777777777777,0.3655913978494624,0.43137254901960786,0.3384615384615385,0.3793103448275862,0.5324675324675324,0.7192982456140351,0.6119402985074627,,,,,
fold_raw,MB,42,0.4472361809045226,0.3724740466646109,0.6984924623115578,0.41708542713567837,0.135678391959799,4.0,797.0,199.0,0.3316582914572864,2.4,0.0,0.0,0.0,0.5909090909090909,0.52,0.5531914893617021,0.34782608695652173,0.36363636363636365,0.35555555555555557,0.4305555555555556,0.4696969696969697,0.4492753623188406,0.5,0.5087719298245614,0.5043478260869565,,,,,
fold_raw,MB,42,0.46733668341708545,0.43992667117828405,0.7437185929648241,0.36180904522613067,0.1708542713567839,5.0,797.0,199.0,0.32663316582914576,2.37,0.15789473684210525,0.42857142857142855,0.23076923076923078,0.65,0.5416666666666666,0.5909090909090909,0.3541666666666667,0.37777777777777777,0.3655913978494624,0.5333333333333333,0.36923076923076925,0.43636363636363634,0.5373134328358209,0.6206896551724138,0.576,,,,,
fold_raw,MB,3407,0.47,0.39353319187967595,0.725,0.385,0.145,1.0,796.0,200.0,0.325,2.38,0.14285714285714285,0.125,0.13333333333333333,0.5,0.375,0.42857142857142855,0.37142857142857144,0.28888888888888886,0.325,0.5,0.5692307692307692,0.5323741007194245,0.5151515151515151,0.5862068965517241,0.5483870967741935,,,,,
fold_raw,MB,3407,0.45226130653266333,0.44355161212280364,0.7336683417085427,0.4020100502512563,0.1457286432160804,2.0,797.0,199.0,0.32663316582914576,2.39,0.3333333333333333,0.42857142857142855,0.375,0.6,0.48,0.5333333333333333,0.32608695652173914,0.3333333333333333,0.32967032967032966,0.45454545454545453,0.46153846153846156,0.4580152671755725,0.5172413793103449,0.5263157894736842,0.5217391304347826,,,,,
fold_raw,MB,3407,0.47738693467336685,0.3877486338797814,0.7035175879396985,0.37185929648241206,0.1507537688442211,3.0,797.0,199.0,0.32663316582914576,2.39,0.0,0.0,0.0,0.48,0.48,0.48,0.38,0.4222222222222222,0.4,0.5087719298245614,0.4461538461538462,0.47540983606557374,0.5555555555555556,0.6140350877192983,0.5833333333333334,,,,,
fold_raw,MB,3407,0.457286432160804,0.3630273951400712,0.6934673366834171,0.41708542713567837,0.12562814070351758,4.0,797.0,199.0,0.3316582914572864,2.39,0.0,0.0,0.0,0.5294117647058824,0.36,0.42857142857142855,0.3695652173913043,0.38636363636363635,0.37777777777777777,0.4473684210526316,0.5151515151515151,0.4788732394366197,0.5166666666666667,0.543859649122807,0.5299145299145299,,,,,
fold_raw,MB,3407,0.45226130653266333,0.356713220625396,0.7185929648241206,0.40703517587939697,0.1407035175879397,5.0,797.0,199.0,0.32663316582914576,2.38,0.0,0.0,0.0,0.3469387755102041,0.7083333333333334,0.4657534246575342,0.3,0.2,0.24,0.49295774647887325,0.5384615384615384,0.5147058823529411,0.6444444444444445,0.5,0.5631067961165048,,,,,
fold_raw,MB,2026,0.435,0.3637977439851503,0.755,0.405,0.16,1.0,796.0,200.0,0.325,2.36,0.125,0.125,0.125,0.5,0.3333333333333333,0.4,0.28205128205128205,0.24444444444444444,0.2619047619047619,0.4625,0.5692307692307692,0.5103448275862069,0.5263157894736842,0.5172413793103449,0.5217391304347826,,,,,
fold_raw,MB,2026,0.5326633165829145,0.47583276215907977,0.6080402010050251,0.36180904522613067,0.10552763819095477,2.0,797.0,199.0,0.32663316582914576,2.39,0.25,0.14285714285714285,0.18181818181818182,0.6296296296296297,0.68,0.6538461538461539,0.4594594594594595,0.37777777777777777,0.4146341463414634,0.5,0.5692307692307692,0.5323741007194245,0.5964912280701754,0.5964912280701754,0.5964912280701754,,,,,
