record_type,scheme,fold,training_seed,baseline_accuracy,baseline_macro_f1,baseline_mae,delta_accuracy_M,after_accuracy_M,delta_macro_f1_M,after_macro_f1_M,delta_mae_M,after_mae_M,deeplift_share_M,deeplift_center_share_M,delta_accuracy_MB,after_accuracy_MB,delta_macro_f1_MB,after_macro_f1_MB,delta_mae_MB,after_mae_MB,deeplift_share_MB,deeplift_center_share_MB,delta_accuracy_MR,after_accuracy_MR,delta_macro_f1_MR,after_macro_f1_MR,delta_mae_MR,after_mae_MR,deeplift_share_MR,deeplift_center_share_MR,delta_accuracy_MP,after_accuracy_MP,delta_macro_f1_MP,after_macro_f1_MP,delta_mae_MP,after_mae_MP,deeplift_share_MP,deeplift_center_share_MP,delta_accuracy_MUV,after_accuracy_MUV,delta_macro_f1_MUV,after_macro_f1_MUV,delta_mae_MUV,after_mae_MUV,deeplift_share_MUV,deeplift_center_share_MUV
run,M+MB+MR,1,42,0.47,0.4004411470060325,0.69,-0.11499999999999999,0.355,-0.18792489613361724,0.21251625087241527,0.345,1.035,0.3094300629047016,0.6633189794534741,-0.19499999999999995,0.275,-0.1774019780469179,0.2230391689591146,0.45999999999999996,1.15,0.3073652441430996,0.5896908727584449,-0.175,0.295,-0.24188574014873887,0.15855540685729363,0.3900000000000001,1.08,0.3832046929521968,0.565552487055958,,,,,,,,,,,,,,,,
run,M+MB+MR,1,3407,0.455,0.3714141414141414,0.705,-0.07,0.385,-0.06616682958618442,0.305247311827957,0.3350000000000001,1.04,0.3221984502727815,0.6765131621718897,-0.27,0.185,-0.23768778474138025,0.13372635667276117,0.715,1.42,0.3025871728465153,0.6219798729572845,-0.08500000000000002,0.37,-0.0953576864535769,0.2760564549605645,0.20500000000000007,0.91,0.37521437688070125,0.5951506878451921,,,,,,,,,,,,,,,,
run,M+MB+MR,1,2026,0.51,0.4363986928104575,0.65,-0.12,0.39,-0.10246775883585768,0.33393093397459983,0.28,0.93,0.3023750222931063,0.583254665945741,-0.28,0.23,-0.22964443983669236,0.20675425297376515,0.6349999999999999,1.285,0.3096545006252519,0.49719920845930293,-0.30500000000000005,0.205,-0.27973217983655285,0.15666651297390466,0.9700000000000001,1.62,0.3879704770816394,0.4764697198888835,,,,,,,,,,,,,,,,
run,M+MB+MR,2,42,0.4623115577889447,0.3884581186114938,0.7085427135678392,-0.10050251256281406,0.36180904522613067,-0.12810661258227463,0.2603515060292192,0.2562814070351759,0.964824120603015,0.3173724145243299,0.7203991500753771,-0.21608040201005024,0.24623115577889448,-0.1742071807872461,0.21425093782424773,0.6683417085427136,1.3768844221105527,0.3076869697699951,0.6647525237311903,-0.1658291457286432,0.2964824120603015,-0.15161890149058654,0.23683921712090727,0.33668341708542726,1.0452261306532664,0.3749406157056731,0.6443545411332572,,,,,,,,,,,,,,,,
run,M+MB+MR,2,3407,0.4723618090452261,0.40451224387145623,0.6984924623115578,-0.3065326633165829,0.1658291457286432,-0.3044613845188759,0.10005085935258033,0.914572864321608,1.6130653266331658,0.31560576680047514,0.7334467141901069,-0.3316582914572864,0.1407035175879397,-0.34176262789603384,0.06274961597542242,1.0251256281407035,1.7236180904522613,0.30480550891481806,0.6670795010275892,-0.3417085427135678,0.1306532663316583,-0.3360630460104937,0.06844919786096255,1.2613065326633166,1.9597989949748744,0.3795887242847049,0.6420444704790329,,,,,,,,,,,,,,,,
run,M+MB+MR,2,2026,0.45226130653266333,0.40383294056035607,0.6633165829145728,-0.06030150753768848,0.39195979899497485,-0.10830850290843336,0.2955244376519227,0.11557788944723624,0.7788944723618091,0.3205095241661335,0.705147033989774,-0.23115577889447236,0.22110552763819097,-0.23485846675829603,0.16897447380206004,0.7336683417085428,1.3969849246231156,0.3082570037640058,0.6346671379415733,-0.20603015075376885,0.24623115577889448,-0.26020609326971567,0.1436268472906404,0.5025125628140703,1.1658291457286432,0.3712334720698588,0.6153540131772629,,,,,,,,,,,,,,,,
run,M+MB+MR,3,42,0.4221105527638191,0.37995614801071625,0.7286432160804021,-0.045226130653266305,0.3768844221105528,-0.14111756948627388,0.23883857852444237,0.2613065326633165,0.9899497487437185,0.31812519004216083,0.7427422046142899,-0.10050251256281406,0.32160804020100503,-0.123930248834694,0.25602589917602225,0.4321608040201005,1.1608040201005025,0.30430995638064895,0.6720530572581378,-0.2864321608040201,0.135678391959799,-0.3228169827438859,0.05713916526683034,0.9849246231155778,1.7135678391959799,0.37756485357718816,0.6482339424172022,,,,,,,,,,,,,,,,
run,M+MB+MR,3,3407,0.4824120603015075,0.38422557951793335,0.6532663316582915,-0.09547738693467334,0.3869346733668342,-0.14467188834277767,0.23955369117515568,0.23618090452261298,0.8894472361809045,0.3079131795752774,0.6739510781790764,-0.25125628140703515,0.23115577889447236,-0.22416561343079328,0.16005996608714007,0.7135678391959798,1.3668341708542713,0.3085604202642742,0.5928373376400715,-0.3015075376884422,0.18090452261306533,-0.24142326417013713,0.14280231534779622,0.9396984924623114,1.592964824120603,0.38352640016044665,0.5672388407911872,,,,,,,,,,,,,,,,
run,M+MB+MR,3,2026,0.5025125628140703,0.46421985544909133,0.6482412060301508,-0.08040201005025122,0.4221105527638191,-0.13690381663879964,0.3273160388102917,0.12060301507537685,0.7688442211055276,0.30790814579317133,0.6854335713760991,-0.26130653266331655,0.24120603015075376,-0.27994981207873104,0.1842700433703603,0.7236180904522613,1.3718592964824121,0.3087266641229292,0.5951508308421027,-0.15577889447236176,0.34673366834170855,-0.2780112462208477,0.18620860922824362,0.20100502512562812,0.8492462311557789,0.38336519008389713,0.5672264944049007,,,,,,,,,,,,,,,,
run,M+MB+MR,4,42,0.47738693467336685,0.45304989866437834,0.6532663316582915,-0.10552763819095479,0.37185929648241206,-0.18046206548683186,0.2725878331775465,0.3015075376884422,0.9547738693467337,0.3231673976440683,0.7383796705694137,-0.3869346733668342,0.09045226130653267,-0.370740316354796,0.08230958230958232,1.658291457286432,2.3115577889447234,0.30637381601540015,0.6771021349845688,-0.35678391959798994,0.12060301507537688,-0.3692672675225409,0.08378263114183745,1.3467336683417086,2.0,0.37045878634052964,0.6538773030269294,,,,,,,,,,,,,,,,
