run: seed=2026 fold=4 variant=context label=Soft Label
train samples=798 eval samples=198 epochs=50
epoch 01/50 mean_loss=1.4718 lr=0.0001 elapsed=3.0s
epoch 02/50 mean_loss=1.3139 lr=0.0001 elapsed=3.0s
epoch 03/50 mean_loss=1.2240 lr=0.0001 elapsed=3.0s
epoch 04/50 mean_loss=1.1456 lr=0.0001 elapsed=3.0s
epoch 05/50 mean_loss=1.0857 lr=0.0001 elapsed=3.1s
epoch 06/50 mean_loss=1.0112 lr=0.0001 elapsed=2.9s
epoch 07/50 mean_loss=0.9231 lr=0.0001 elapsed=3.0s
epoch 08/50 mean_loss=0.8584 lr=0.0001 elapsed=3.0s
epoch 09/50 mean_loss=0.8081 lr=0.0001 elapsed=2.9s
epoch 10/50 mean_loss=0.7804 lr=0.0001 elapsed=2.9s
epoch 11/50 mean_loss=0.7315 lr=0.0001 elapsed=3.0s
epoch 12/50 mean_loss=0.7224 lr=0.0001 elapsed=2.9s
epoch 13/50 mean_loss=0.6902 lr=0.0001 elapsed=2.9s
epoch 14/50 mean_loss=0.6697 lr=0.0001 elapsed=2.9s
epoch 15/50 mean_loss=0.6477 lr=0.0001 elapsed=2.9s
epoch 16/50 mean_loss=0.6276 lr=0.0001 elapsed=2.9s
epoch 17/50 mean_loss=0.6280 lr=0.0001 elapsed=2.9s
epoch 18/50 mean_loss=0.6180 lr=0.0001 elapsed=3.0s
epoch 19/50 mean_loss=0.6106 lr=0.0001 elapsed=3.0s
epoch 20/50 mean_loss=0.6054 lr=0.0001 elapsed=2.9s
epoch 21/50 mean_loss=0.6062 lr=0.0001 elapsed=2.9s
epoch 22/50 mean_loss=0.5923 lr=0.0001 elapsed=2.9s
epoch 23/50 mean_loss=0.5909 lr=0.0001 elapsed=2.9s
epoch 24/50 mean_loss=0.5944 lr=0.0001 elapsed=2.9s
epoch 25/50 mean_loss=0.5871 lr=0.0001 elapsed=2.9s
epoch 26/50 mean_loss=0.5913 lr=0.0001 elapsed=2.9s
epoch 27/50 mean_loss=0.5929 lr=0.0001 elapsed=2.9s
epoch 28/50 mean_loss=0.5861 lr=0.0001 elapsed=3.0s
epoch 29/50 mean_loss=0.5777 lr=0.0001 elapsed=2.9s
epoch 30/50 mean_loss=0.5740 lr=0.0001 elapsed=2.9s
epoch 31/50 mean_loss=0.5664 lr=0.0001 elapsed=3.0s
epoch 32/50 mean_loss=0.5701 lr=0.0001 elapsed=3.0s
epoch 33/50 mean_loss=0.5672 lr=0.0001 elapsed=2.9s
epoch 34/50 mean_loss=0.5644 lr=0.0001 elapsed=2.9s
epoch 35/50 mean_loss=0.5671 lr=0.0001 elapsed=3.0s
epoch 36/50 mean_loss=0.5677 lr=0.0001 elapsed=3.0s
epoch 37/50 mean_loss=0.5658 lr=0.0001 elapsed=2.9s
epoch 38/50 mean_loss=0.5694 lr=0.0001 elapsed=3.0s
epoch 39/50 mean_loss=0.5663 lr=0.0001 elapsed=2.9s
epoch 40/50 mean_loss=0.5696 lr=0.0001 elapsed=2.9s
epoch 41/50 mean_loss=0.5649 lr=0.0001 elapsed=3.0s
epoch 42/50 mean_loss=0.5657 lr=0.0001 elapsed=2.9s
epoch 43/50 mean_loss=0.5606 lr=0.0001 elapsed=2.9s
epoch 44/50 mean_loss=0.5600 lr=0.0001 elapsed=3.0s
epoch 45/50 mean_loss=0.5607 lr=0.0001 elapsed=2.9s
epoch 46/50 mean_loss=0.5582 lr=0.0001 elapsed=3.0s
epoch 47/50 mean_loss=0.5588 lr=0.0001 elapsed=2.9s
epoch 48/50 mean_loss=0.5556 lr=0.0001 elapsed=3.0s
epoch 49/50 mean_loss=0.5554 lr=0.0001 elapsed=3.0s
epoch 50/50 mean_loss=0.5543 lr=0.0001 elapsed=3.0s
