run: seed=3407 fold=4 variant=context label=Soft Label
train samples=798 eval samples=198 epochs=50
epoch 01/50 mean_loss=1.4601 lr=0.0001 elapsed=3.0s
epoch 02/50 mean_loss=1.2945 lr=0.0001 elapsed=3.0s
epoch 03/50 mean_loss=1.2205 lr=0.0001 elapsed=3.0s
epoch 04/50 mean_loss=1.1391 lr=0.0001 elapsed=3.0s
epoch 05/50 mean_loss=1.0551 lr=0.0001 elapsed=2.9s
epoch 06/50 mean_loss=0.9887 lr=0.0001 elapsed=2.9s
epoch 07/50 mean_loss=0.9209 lr=0.0001 elapsed=2.9s
epoch 08/50 mean_loss=0.8436 lr=0.0001 elapsed=2.9s
epoch 09/50 mean_loss=0.8138 lr=0.0001 elapsed=2.9s
epoch 10/50 mean_loss=0.7540 lr=0.0001 elapsed=2.9s
epoch 11/50 mean_loss=0.7078 lr=0.0001 elapsed=2.9s
epoch 12/50 mean_loss=0.6926 lr=0.0001 elapsed=2.9s
epoch 13/50 mean_loss=0.6875 lr=0.0001 elapsed=2.9s
epoch 14/50 mean_loss=0.6675 lr=0.0001 elapsed=2.9s
epoch 15/50 mean_loss=0.6368 lr=0.0001 elapsed=2.9s
epoch 16/50 mean_loss=0.6380 lr=0.0001 elapsed=3.0s
epoch 17/50 mean_loss=0.6236 lr=0.0001 elapsed=2.9s
epoch 18/50 mean_loss=0.6153 lr=0.0001 elapsed=2.9s
epoch 19/50 mean_loss=0.6023 lr=0.0001 elapsed=2.9s
epoch 20/50 mean_loss=0.6034 lr=0.0001 elapsed=3.0s
epoch 21/50 mean_loss=0.5991 lr=0.0001 elapsed=3.0s
epoch 22/50 mean_loss=0.5890 lr=0.0001 elapsed=3.0s
epoch 23/50 mean_loss=0.5908 lr=0.0001 elapsed=3.0s
epoch 24/50 mean_loss=0.5846 lr=0.0001 elapsed=3.0s
epoch 25/50 mean_loss=0.5898 lr=0.0001 elapsed=3.0s
epoch 26/50 mean_loss=0.5811 lr=0.0001 elapsed=2.9s
epoch 27/50 mean_loss=0.5780 lr=0.0001 elapsed=2.9s
epoch 28/50 mean_loss=0.5780 lr=0.0001 elapsed=2.9s
epoch 29/50 mean_loss=0.5732 lr=0.0001 elapsed=3.0s
epoch 30/50 mean_loss=0.5757 lr=0.0001 elapsed=3.0s
epoch 31/50 mean_loss=0.5760 lr=0.0001 elapsed=3.0s
epoch 32/50 mean_loss=0.5748 lr=0.0001 elapsed=2.9s
epoch 33/50 mean_loss=0.5680 lr=0.0001 elapsed=3.0s
epoch 34/50 mean_loss=0.5665 lr=0.0001 elapsed=3.0s
epoch 35/50 mean_loss=0.5688 lr=0.0001 elapsed=2.9s
epoch 36/50 mean_loss=0.5719 lr=0.0001 elapsed=2.9s
epoch 37/50 mean_loss=0.5690 lr=0.0001 elapsed=3.0s
epoch 38/50 mean_loss=0.5676 lr=0.0001 elapsed=2.9s
epoch 39/50 mean_loss=0.5681 lr=0.0001 elapsed=2.9s
epoch 40/50 mean_loss=0.5683 lr=0.0001 elapsed=3.0s
epoch 41/50 mean_loss=0.5744 lr=0.0001 elapsed=3.0s
epoch 42/50 mean_loss=0.5635 lr=0.0001 elapsed=2.9s
epoch 43/50 mean_loss=0.5597 lr=0.0001 elapsed=2.9s
epoch 44/50 mean_loss=0.5697 lr=0.0001 elapsed=2.9s
epoch 45/50 mean_loss=0.5696 lr=0.0001 elapsed=2.9s
epoch 46/50 mean_loss=0.5560 lr=0.0001 elapsed=2.9s
epoch 47/50 mean_loss=0.5607 lr=0.0001 elapsed=2.9s
epoch 48/50 mean_loss=0.5607 lr=0.0001 elapsed=2.9s
epoch 49/50 mean_loss=0.5559 lr=0.0001 elapsed=3.0s
epoch 50/50 mean_loss=0.5548 lr=0.0001 elapsed=2.9s
