step,combination,modalities,modality,fold,training_seed,evaluation_count,baseline_accuracy,baseline_macro_f1,perturbed_accuracy,perturbed_macro_f1,delta_accuracy,delta_macro_f1,baseline_confusion_matrix,perturbed_confusion_matrix,replacement
step_07_N,M+MR,"['M', 'MR']",M,1,42,202,0.39603960396039606,0.3591221324071092,0.3415841584158416,0.18213854114906017,-0.05445544554455445,-0.17698359125804905,"[[1, 2, 3, 1, 1], [2, 8, 8, 6, 1], [0, 4, 18, 21, 2], [0, 0, 25, 19, 22], [0, 0, 15, 9, 34]]","[[0, 1, 2, 0, 5], [0, 0, 8, 5, 12], [0, 0, 15, 2, 28], [0, 0, 8, 2, 56], [0, 0, 4, 2, 52]]",zero_normalized_baseline
step_07_N,M+MR,"['M', 'MR']",MR,1,42,202,0.39603960396039606,0.3591221324071092,0.12871287128712872,0.07518259518259518,-0.26732673267326734,-0.28393953722451404,"[[1, 2, 3, 1, 1], [2, 8, 8, 6, 1], [0, 4, 18, 21, 2], [0, 0, 25, 19, 22], [0, 0, 15, 9, 34]]","[[1, 6, 1, 0, 0], [1, 23, 1, 0, 0], [5, 38, 2, 0, 0], [7, 58, 1, 0, 0], [8, 48, 2, 0, 0]]",zero_normalized_baseline
step_07_N,M+MR,"['M', 'MR']",M,2,42,200,0.44,0.36742752105728516,0.33,0.17402882205513787,-0.10999999999999999,-0.1933986990021473,"[[0, 5, 1, 1, 0], [2, 14, 7, 1, 1], [0, 6, 25, 9, 5], [0, 5, 25, 22, 13], [1, 1, 11, 18, 27]]","[[0, 0, 1, 5, 1], [0, 0, 6, 7, 12], [0, 0, 3, 14, 28], [0, 0, 1, 17, 47], [0, 0, 1, 11, 46]]",zero_normalized_baseline
step_07_N,M+MR,"['M', 'MR']",MR,2,42,200,0.44,0.36742752105728516,0.11,0.06780587833219412,-0.33,-0.29962164272509106,"[[0, 5, 1, 1, 0], [2, 14, 7, 1, 1], [0, 6, 25, 9, 5], [0, 5, 25, 22, 13], [1, 1, 11, 18, 27]]","[[4, 3, 0, 0, 0], [7, 18, 0, 0, 0], [10, 35, 0, 0, 0], [20, 45, 0, 0, 0], [28, 28, 2, 0, 0]]",zero_normalized_baseline
step_07_N,M+MR,"['M', 'MR']",M,3,42,199,0.45226130653266333,0.36050739957716704,0.2864321608040201,0.0912,-0.1658291457286432,-0.26930739957716704,"[[0, 3, 1, 1, 2], [0, 8, 10, 3, 4], [1, 2, 22, 14, 6], [0, 2, 16, 33, 14], [1, 0, 16, 13, 27]]","[[0, 0, 0, 1, 6], [0, 0, 1, 2, 22], [0, 0, 0, 2, 43], [0, 0, 0, 0, 65], [0, 0, 0, 0, 57]]",zero_normalized_baseline
step_07_N,M+MR,"['M', 'MR']",MR,3,42,199,0.45226130653266333,0.36050739957716704,0.035175879396984924,0.01435897435897436,-0.4170854271356784,-0.34614842521819267,"[[0, 3, 1, 1, 2], [0, 8, 10, 3, 4], [1, 2, 22, 14, 6], [0, 2, 16, 33, 14], [1, 0, 16, 13, 27]]","[[7, 0, 0, 0, 0], [25, 0, 0, 0, 0], [41, 4, 0, 0, 0], [62, 3, 0, 0, 0], [53, 4, 0, 0, 0]]",zero_normalized_baseline
step_07_N,M+MR,"['M', 'MR']",M,4,42,198,0.4797979797979798,0.41961063103920243,0.3434343434343434,0.1683333333333333,-0.13636363636363635,-0.25127729770586915,"[[2, 2, 1, 2, 0], [2, 10, 6, 4, 2], [3, 10, 11, 17, 4], [1, 3, 8, 40, 13], [0, 0, 3, 22, 32]]","[[0, 0, 1, 0, 6], [0, 0, 4, 3, 17], [0, 0, 5, 5, 35], [0, 0, 1, 7, 57], [0, 0, 1, 0, 56]]",zero_normalized_baseline
step_07_N,M+MR,"['M', 'MR']",MR,4,42,198,0.4797979797979798,0.41961063103920243,0.08080808080808081,0.05429753332311935,-0.39898989898989895,-0.36531309771608306,"[[2, 2, 1, 2, 0], [2, 10, 6, 4, 2], [3, 10, 11, 17, 4], [1, 3, 8, 40, 13], [0, 0, 3, 22, 32]]","[[4, 3, 0, 0, 0], [12, 12, 0, 0, 0], [26, 19, 0, 0, 0], [29, 36, 0, 0, 0], [29, 28, 0, 0, 0]]",zero_normalized_baseline
step_07_N,M+MR,"['M', 'MR']",M,5,42,197,0.49238578680203043,0.4833943336899601,0.3248730964467005,0.19409154531105752,-0.16751269035532995,-0.28930278837890255,"[[2, 1, 3, 1, 0], [2, 15, 6, 0, 1], [0, 5, 23, 11, 5], [0, 3, 20, 28, 14], [0, 1, 8, 19, 29]]","[[0, 0, 4, 0, 3], [0, 1, 12, 0, 11], [0, 0, 10, 2, 32], [0, 1, 15, 8, 41], [0, 0, 5, 7, 45]]",zero_normalized_baseline
step_07_N,M+MR,"['M', 'MR']",MR,5,42,197,0.49238578680203043,0.4833943336899601,0.1116751269035533,0.061997133301481135,-0.38071065989847713,-0.42139720038847894,"[[2, 1, 3, 1, 0], [2, 15, 6, 0, 1], [0, 5, 23, 11, 5], [0, 3, 20, 28, 14], [0, 1, 8, 19, 29]]","[[2, 5, 0, 0, 0], [3, 20, 1, 0, 0], [12, 32, 0, 0, 0], [16, 48, 1, 0, 0], [25, 32, 0, 0, 0]]",zero_normalized_baseline
step_07_N,M+MR,"['M', 'MR']",M,1,3407,202,0.4900990099009901,0.4442482834042069,0.37623762376237624,0.21509186535176142,-0.11386138613861385,-0.2291564180524455,"[[1, 4, 3, 0, 0], [0, 16, 6, 2, 1], [0, 6, 17, 16, 6], [0, 2, 17, 23, 24], [0, 0, 9, 7, 42]]","[[0, 2, 2, 3, 1], [0, 0, 3, 15, 7], [0, 0, 4, 27, 14], [0, 1, 4, 35, 26], [0, 0, 3, 18, 37]]",zero_normalized_baseline
step_07_N,M+MR,"['M', 'MR']",MR,1,3407,202,0.4900990099009901,0.4442482834042069,0.12376237623762376,0.04424778761061947,-0.36633663366336633,-0.40000049579358743,"[[1, 4, 3, 0, 0], [0, 16, 6, 2, 1], [0, 6, 17, 16, 6], [0, 2, 17, 23, 24], [0, 0, 9, 7, 42]]","[[0, 8, 0, 0, 0], [0, 25, 0, 0, 0], [0, 45, 0, 0, 0], [0, 66, 0, 0, 0], [1, 57, 0, 0, 0]]",zero_normalized_baseline
step_07_N,M+MR,"['M', 'MR']",M,2,3407,200,0.5,0.45190784445972654,0.325,0.1701480342429598,-0.175,-0.28175981021676677,"[[2, 3, 0, 1, 1], [1, 19, 1, 4, 0], [3, 13, 11, 14, 4], [0, 9, 14, 30, 12], [1, 2, 3, 14, 38]]","[[1, 0, 0, 0, 6], [3, 0, 1, 6, 15], [0, 0, 0, 4, 41], [0, 0, 0, 8, 57], [0, 0, 0, 2, 56]]",zero_normalized_baseline
step_07_N,M+MR,"['M', 'MR']",MR,2,3407,200,0.5,0.45190784445972654,0.12,0.04444444444444444,-0.38,-0.4074634000152821,"[[2, 3, 0, 1, 1], [1, 19, 1, 4, 0], [3, 13, 11, 14, 4], [0, 9, 14, 30, 12], [1, 2, 3, 14, 38]]","[[0, 7, 0, 0, 0], [1, 24, 0, 0, 0], [2, 43, 0, 0, 0], [2, 63, 0, 0, 0], [4, 54, 0, 0, 0]]",zero_normalized_baseline
step_07_N,M+MR,"['M', 'MR']",M,3,3407,199,0.46733668341708545,0.3657147434247038,0.38190954773869346,0.21898706075038438,-0.085427135678392,-0.1467276826743194,"[[0, 4, 1, 0, 2], [0, 8, 8, 6, 3], [0, 3, 19, 13, 10], [1, 0, 14, 36, 14], [0, 1, 11, 15, 30]]","[[0, 0, 2, 3, 2], [0, 0, 6, 13, 6], [0, 0, 5, 21, 19], [0, 0, 3, 32, 30], [0, 0, 1, 17, 39]]",zero_normalized_baseline
step_07_N,M+MR,"['M', 'MR']",MR,3,3407,199,0.46733668341708545,0.3657147434247038,0.1306532663316583,0.10199888174447862,-0.33668341708542715,-0.26371586168022515,"[[0, 4, 1, 0, 2], [0, 8, 8, 6, 3], [0, 3, 19, 13, 10], [1, 0, 14, 36, 14], [0, 1, 11, 15, 30]]","[[1, 6, 0, 0, 0], [0, 24, 1, 0, 0], [0, 44, 1, 0, 0], [0, 65, 0, 0, 0], [0, 55, 2, 0, 0]]",zero_normalized_baseline
