step,source_step,combination,modalities,fold,training_seed,evaluation_count,checkpoint,parameter_count,baseline_accuracy,baseline_macro_f1,baseline_confusion_matrix,deeplift
step_07_N,step_06_N,M+MR,"['M', 'MR']",1,42,202,/root/autodl-tmp/skin_comparison_runs/non_isolated/step_06_N/fold_01/M_MR/seed_42/checkpoints/last.pth,23527685,0.39603960396039606,0.3591221324071092,"[[1, 2, 3, 1, 1], [2, 8, 8, 6, 1], [0, 4, 18, 21, 2], [0, 0, 25, 19, 22], [0, 0, 15, 9, 34]]","{'M': {'mean_abs_attribution': 0.00018490381449683441, 'std_abs_attribution': 5.977808403350591e-05, 'mean_attribution_fraction': 0.458412367813658}, 'MR': {'mean_abs_attribution': 0.00021889920548580835, 'std_abs_attribution': 7.12501213934217e-05, 'mean_attribution_fraction': 0.541587636907502}}"
step_07_N,step_06_N,M+MR,"['M', 'MR']",2,42,200,/root/autodl-tmp/skin_comparison_runs/non_isolated/step_06_N/fold_02/M_MR/seed_42/checkpoints/last.pth,23527685,0.44,0.36742752105728516,"[[0, 5, 1, 1, 0], [2, 14, 7, 1, 1], [0, 6, 25, 9, 5], [0, 5, 25, 22, 13], [1, 1, 11, 18, 27]]","{'M': {'mean_abs_attribution': 0.0002663609981755144, 'std_abs_attribution': 0.00010033108201626155, 'mean_attribution_fraction': 0.45294387251138685}, 'MR': {'mean_abs_attribution': 0.00032443570209579777, 'std_abs_attribution': 0.0001315435661901514, 'mean_attribution_fraction': 0.5470561292767525}}"
step_07_N,step_06_N,M+MR,"['M', 'MR']",3,42,199,/root/autodl-tmp/skin_comparison_runs/non_isolated/step_06_N/fold_03/M_MR/seed_42/checkpoints/last.pth,23527685,0.45226130653266333,0.36050739957716704,"[[0, 3, 1, 1, 2], [0, 8, 10, 3, 4], [1, 2, 22, 14, 6], [0, 2, 16, 33, 14], [1, 0, 16, 13, 27]]","{'M': {'mean_abs_attribution': 0.00018259436195940319, 'std_abs_attribution': 7.765666143096209e-05, 'mean_attribution_fraction': 0.4540260667776942}, 'MR': {'mean_abs_attribution': 0.0002214599274032768, 'std_abs_attribution': 9.737788026845485e-05, 'mean_attribution_fraction': 0.5459739332223058}}"
step_07_N,step_06_N,M+MR,"['M', 'MR']",4,42,198,/root/autodl-tmp/skin_comparison_runs/non_isolated/step_06_N/fold_04/M_MR/seed_42/checkpoints/last.pth,23527685,0.4797979797979798,0.41961063103920243,"[[2, 2, 1, 2, 0], [2, 10, 6, 4, 2], [3, 10, 11, 17, 4], [1, 3, 8, 40, 13], [0, 0, 3, 22, 32]]","{'M': {'mean_abs_attribution': 0.0002180703815262097, 'std_abs_attribution': 9.165204547613525e-05, 'mean_attribution_fraction': 0.46098697034999575}, 'MR': {'mean_abs_attribution': 0.0002549081223748149, 'std_abs_attribution': 0.00011086919700759497, 'mean_attribution_fraction': 0.5390130288974203}}"
step_07_N,step_06_N,M+MR,"['M', 'MR']",5,42,197,/root/autodl-tmp/skin_comparison_runs/non_isolated/step_06_N/fold_05/M_MR/seed_42/checkpoints/last.pth,23527685,0.49238578680203043,0.4833943336899601,"[[2, 1, 3, 1, 0], [2, 15, 6, 0, 1], [0, 5, 23, 11, 5], [0, 3, 20, 28, 14], [0, 1, 8, 19, 29]]","{'M': {'mean_abs_attribution': 0.00021882124849699136, 'std_abs_attribution': 9.402609776993414e-05, 'mean_attribution_fraction': 0.44747772011054954}, 'MR': {'mean_abs_attribution': 0.0002759329705847177, 'std_abs_attribution': 0.0001385381842623839, 'mean_attribution_fraction': 0.5525222833689094}}"
step_07_N,step_06_N,M+MR,"['M', 'MR']",1,3407,202,/root/autodl-tmp/skin_comparison_runs/non_isolated/step_06_N/fold_01/M_MR/seed_3407/checkpoints/last.pth,23527685,0.4900990099009901,0.4442482834042069,"[[1, 4, 3, 0, 0], [0, 16, 6, 2, 1], [0, 6, 17, 16, 6], [0, 2, 17, 23, 24], [0, 0, 9, 7, 42]]","{'M': {'mean_abs_attribution': 0.00027000631350104114, 'std_abs_attribution': 0.0001260781693190503, 'mean_attribution_fraction': 0.4442250544186866}, 'MR': {'mean_abs_attribution': 0.0003432130663238447, 'std_abs_attribution': 0.00016856226024557284, 'mean_attribution_fraction': 0.5557749439584146}}"
step_07_N,step_06_N,M+MR,"['M', 'MR']",2,3407,200,/root/autodl-tmp/skin_comparison_runs/non_isolated/step_06_N/fold_02/M_MR/seed_3407/checkpoints/last.pth,23527685,0.5,0.45190784445972654,"[[2, 3, 0, 1, 1], [1, 19, 1, 4, 0], [3, 13, 11, 14, 4], [0, 9, 14, 30, 12], [1, 2, 3, 14, 38]]","{'M': {'mean_abs_attribution': 0.0002473341494987835, 'std_abs_attribution': 0.00010616861933598699, 'mean_attribution_fraction': 0.4425437414646149}, 'MR': {'mean_abs_attribution': 0.0003102431043953402, 'std_abs_attribution': 0.00012666698605315124, 'mean_attribution_fraction': 0.5574562580883503}}"
step_07_N,step_06_N,M+MR,"['M', 'MR']",3,3407,199,/root/autodl-tmp/skin_comparison_runs/non_isolated/step_06_N/fold_03/M_MR/seed_3407/checkpoints/last.pth,23527685,0.46733668341708545,0.3657147434247038,"[[0, 4, 1, 0, 2], [0, 8, 8, 6, 3], [0, 3, 19, 13, 10], [1, 0, 14, 36, 14], [0, 1, 11, 15, 30]]","{'M': {'mean_abs_attribution': 0.00028299903044454877, 'std_abs_attribution': 9.475696531562523e-05, 'mean_attribution_fraction': 0.43787049423510105}, 'MR': {'mean_abs_attribution': 0.00037041535808987933, 'std_abs_attribution': 0.00014552317665209605, 'mean_attribution_fraction': 0.5621295059146594}}"
step_07_N,step_06_N,M+MR,"['M', 'MR']",4,3407,198,/root/autodl-tmp/skin_comparison_runs/non_isolated/step_06_N/fold_04/M_MR/seed_3407/checkpoints/last.pth,23527685,0.4292929292929293,0.3365104082184375,"[[0, 5, 1, 1, 0], [1, 16, 3, 2, 2], [3, 13, 9, 14, 6], [1, 5, 13, 17, 29], [0, 1, 4, 9, 43]]","{'M': {'mean_abs_attribution': 0.00023063442671572733, 'std_abs_attribution': 9.701223825054836e-05, 'mean_attribution_fraction': 0.4471162572653607}, 'MR': {'mean_abs_attribution': 0.0002829325078184613, 'std_abs_attribution': 0.00011342742696077617, 'mean_attribution_fraction': 0.5528837407779212}}"
step_07_N,step_06_N,M+MR,"['M', 'MR']",5,3407,197,/root/autodl-tmp/skin_comparison_runs/non_isolated/step_06_N/fold_05/M_MR/seed_3407/checkpoints/last.pth,23527685,0.467005076142132,0.4514129821791112,"[[2, 2, 3, 0, 0], [1, 14, 7, 1, 1], [1, 7, 15, 15, 6], [0, 2, 18, 30, 15], [0, 3, 6, 17, 31]]","{'M': {'mean_abs_attribution': 0.0002797921260196578, 'std_abs_attribution': 9.768102600330468e-05, 'mean_attribution_fraction': 0.4354656011925131}, 'MR': {'mean_abs_attribution': 0.00036643911348827193, 'std_abs_attribution': 0.00013911133079725653, 'mean_attribution_fraction': 0.5645343942690622}}"
