run: seed=2026 fold=4 variant=background label=Hard Label
train samples=798 eval samples=198 epochs=50
epoch 01/50 mean_loss=1.4702 lr=0.0001 elapsed=3.5s
epoch 02/50 mean_loss=1.3038 lr=0.0001 elapsed=3.5s
epoch 03/50 mean_loss=1.1719 lr=0.0001 elapsed=3.5s
epoch 04/50 mean_loss=1.0370 lr=0.0001 elapsed=3.5s
epoch 05/50 mean_loss=0.9122 lr=0.0001 elapsed=3.5s
epoch 06/50 mean_loss=0.7627 lr=0.0001 elapsed=3.5s
epoch 07/50 mean_loss=0.6807 lr=0.0001 elapsed=3.5s
epoch 08/50 mean_loss=0.5376 lr=0.0001 elapsed=3.5s
epoch 09/50 mean_loss=0.4846 lr=0.0001 elapsed=3.5s
epoch 10/50 mean_loss=0.3904 lr=0.0001 elapsed=3.5s
epoch 11/50 mean_loss=0.3336 lr=0.0001 elapsed=3.5s
epoch 12/50 mean_loss=0.2895 lr=0.0001 elapsed=3.5s
epoch 13/50 mean_loss=0.2368 lr=0.0001 elapsed=3.5s
epoch 14/50 mean_loss=0.2064 lr=0.0001 elapsed=3.6s
epoch 15/50 mean_loss=0.1578 lr=0.0001 elapsed=3.5s
epoch 16/50 mean_loss=0.1068 lr=0.0001 elapsed=3.5s
epoch 17/50 mean_loss=0.1163 lr=0.0001 elapsed=3.5s
epoch 18/50 mean_loss=0.0797 lr=0.0001 elapsed=3.4s
epoch 19/50 mean_loss=0.0716 lr=0.0001 elapsed=3.4s
epoch 20/50 mean_loss=0.0739 lr=0.0001 elapsed=3.6s
epoch 21/50 mean_loss=0.0820 lr=0.0001 elapsed=3.6s
epoch 22/50 mean_loss=0.0652 lr=0.0001 elapsed=3.5s
epoch 23/50 mean_loss=0.0746 lr=0.0001 elapsed=3.6s
epoch 24/50 mean_loss=0.1022 lr=0.0001 elapsed=3.6s
epoch 25/50 mean_loss=0.0646 lr=0.0001 elapsed=3.5s
epoch 26/50 mean_loss=0.0720 lr=0.0001 elapsed=3.5s
epoch 27/50 mean_loss=0.0666 lr=0.0001 elapsed=3.5s
epoch 28/50 mean_loss=0.0590 lr=0.0001 elapsed=3.5s
epoch 29/50 mean_loss=0.0549 lr=0.0001 elapsed=3.6s
epoch 30/50 mean_loss=0.0433 lr=0.0001 elapsed=3.6s
epoch 31/50 mean_loss=0.0194 lr=0.0001 elapsed=3.5s
epoch 32/50 mean_loss=0.0171 lr=0.0001 elapsed=3.5s
epoch 33/50 mean_loss=0.0252 lr=0.0001 elapsed=3.5s
epoch 34/50 mean_loss=0.0209 lr=0.0001 elapsed=3.5s
epoch 35/50 mean_loss=0.0143 lr=0.0001 elapsed=3.5s
epoch 36/50 mean_loss=0.0233 lr=0.0001 elapsed=3.8s
epoch 37/50 mean_loss=0.0546 lr=0.0001 elapsed=3.6s
epoch 38/50 mean_loss=0.0428 lr=0.0001 elapsed=3.5s
epoch 39/50 mean_loss=0.0303 lr=0.0001 elapsed=3.6s
epoch 40/50 mean_loss=0.0566 lr=0.0001 elapsed=3.5s
epoch 41/50 mean_loss=0.0288 lr=0.0001 elapsed=3.6s
epoch 42/50 mean_loss=0.0717 lr=0.0001 elapsed=3.5s
epoch 43/50 mean_loss=0.0424 lr=0.0001 elapsed=3.6s
epoch 44/50 mean_loss=0.0527 lr=0.0001 elapsed=3.6s
epoch 45/50 mean_loss=0.0496 lr=0.0001 elapsed=3.6s
epoch 46/50 mean_loss=0.0869 lr=0.0001 elapsed=3.5s
epoch 47/50 mean_loss=0.0796 lr=0.0001 elapsed=3.6s
epoch 48/50 mean_loss=0.0802 lr=0.0001 elapsed=3.6s
epoch 49/50 mean_loss=0.0538 lr=0.0001 elapsed=3.5s
epoch 50/50 mean_loss=0.0708 lr=0.0001 elapsed=3.5s
