run: seed=2026 fold=2 variant=background label=Hard Label
train samples=796 eval samples=200 epochs=50
epoch 01/50 mean_loss=1.4734 lr=0.0001 elapsed=3.5s
epoch 02/50 mean_loss=1.3049 lr=0.0001 elapsed=3.5s
epoch 03/50 mean_loss=1.1709 lr=0.0001 elapsed=3.5s
epoch 04/50 mean_loss=1.0614 lr=0.0001 elapsed=3.5s
epoch 05/50 mean_loss=0.9037 lr=0.0001 elapsed=3.5s
epoch 06/50 mean_loss=0.7791 lr=0.0001 elapsed=3.5s
epoch 07/50 mean_loss=0.6715 lr=0.0001 elapsed=3.6s
epoch 08/50 mean_loss=0.5531 lr=0.0001 elapsed=3.4s
epoch 09/50 mean_loss=0.4706 lr=0.0001 elapsed=3.6s
epoch 10/50 mean_loss=0.3710 lr=0.0001 elapsed=3.6s
epoch 11/50 mean_loss=0.3221 lr=0.0001 elapsed=3.6s
epoch 12/50 mean_loss=0.3048 lr=0.0001 elapsed=3.6s
epoch 13/50 mean_loss=0.2578 lr=0.0001 elapsed=3.6s
epoch 14/50 mean_loss=0.1881 lr=0.0001 elapsed=3.6s
epoch 15/50 mean_loss=0.1642 lr=0.0001 elapsed=3.6s
epoch 16/50 mean_loss=0.1523 lr=0.0001 elapsed=3.7s
epoch 17/50 mean_loss=0.1054 lr=0.0001 elapsed=3.5s
epoch 18/50 mean_loss=0.1053 lr=0.0001 elapsed=3.5s
epoch 19/50 mean_loss=0.1137 lr=0.0001 elapsed=3.5s
epoch 20/50 mean_loss=0.0999 lr=0.0001 elapsed=3.4s
epoch 21/50 mean_loss=0.0837 lr=0.0001 elapsed=3.5s
epoch 22/50 mean_loss=0.0867 lr=0.0001 elapsed=3.5s
epoch 23/50 mean_loss=0.0598 lr=0.0001 elapsed=3.5s
epoch 24/50 mean_loss=0.0731 lr=0.0001 elapsed=3.5s
epoch 25/50 mean_loss=0.0862 lr=0.0001 elapsed=3.5s
epoch 26/50 mean_loss=0.0573 lr=0.0001 elapsed=3.5s
epoch 27/50 mean_loss=0.0434 lr=0.0001 elapsed=3.4s
epoch 28/50 mean_loss=0.0273 lr=0.0001 elapsed=3.5s
epoch 29/50 mean_loss=0.0489 lr=0.0001 elapsed=3.5s
epoch 30/50 mean_loss=0.0374 lr=0.0001 elapsed=3.5s
epoch 31/50 mean_loss=0.0408 lr=0.0001 elapsed=3.5s
epoch 32/50 mean_loss=0.0485 lr=0.0001 elapsed=3.4s
epoch 33/50 mean_loss=0.0383 lr=0.0001 elapsed=3.5s
epoch 34/50 mean_loss=0.0601 lr=0.0001 elapsed=3.4s
epoch 35/50 mean_loss=0.0566 lr=0.0001 elapsed=3.5s
epoch 36/50 mean_loss=0.0649 lr=0.0001 elapsed=3.5s
epoch 37/50 mean_loss=0.0547 lr=0.0001 elapsed=3.4s
epoch 38/50 mean_loss=0.0708 lr=0.0001 elapsed=3.5s
epoch 39/50 mean_loss=0.0505 lr=0.0001 elapsed=3.5s
epoch 40/50 mean_loss=0.0357 lr=0.0001 elapsed=3.5s
epoch 41/50 mean_loss=0.0689 lr=0.0001 elapsed=3.4s
epoch 42/50 mean_loss=0.0395 lr=0.0001 elapsed=3.5s
epoch 43/50 mean_loss=0.0618 lr=0.0001 elapsed=3.4s
epoch 44/50 mean_loss=0.0375 lr=0.0001 elapsed=3.5s
epoch 45/50 mean_loss=0.0244 lr=0.0001 elapsed=3.5s
epoch 46/50 mean_loss=0.0179 lr=0.0001 elapsed=3.5s
epoch 47/50 mean_loss=0.0238 lr=0.0001 elapsed=3.4s
epoch 48/50 mean_loss=0.0496 lr=0.0001 elapsed=3.5s
epoch 49/50 mean_loss=0.0324 lr=0.0001 elapsed=3.5s
epoch 50/50 mean_loss=0.0400 lr=0.0001 elapsed=3.5s
