run: seed=3407 fold=1 variant=mask label=Hard Label
train samples=794 eval samples=202 epochs=50
epoch 01/50 mean_loss=1.4201 lr=0.0001 elapsed=3.5s
epoch 02/50 mean_loss=1.2676 lr=0.0001 elapsed=3.4s
epoch 03/50 mean_loss=1.1818 lr=0.0001 elapsed=3.5s
epoch 04/50 mean_loss=1.1298 lr=0.0001 elapsed=3.5s
epoch 05/50 mean_loss=1.0504 lr=0.0001 elapsed=3.5s
epoch 06/50 mean_loss=0.9424 lr=0.0001 elapsed=3.5s
epoch 07/50 mean_loss=0.8960 lr=0.0001 elapsed=3.5s
epoch 08/50 mean_loss=0.8441 lr=0.0001 elapsed=3.4s
epoch 09/50 mean_loss=0.7374 lr=0.0001 elapsed=3.5s
epoch 10/50 mean_loss=0.5821 lr=0.0001 elapsed=3.4s
epoch 11/50 mean_loss=0.4979 lr=0.0001 elapsed=3.5s
epoch 12/50 mean_loss=0.4603 lr=0.0001 elapsed=3.5s
epoch 13/50 mean_loss=0.4295 lr=0.0001 elapsed=3.4s
epoch 14/50 mean_loss=0.3412 lr=0.0001 elapsed=3.5s
epoch 15/50 mean_loss=0.2995 lr=0.0001 elapsed=3.5s
epoch 16/50 mean_loss=0.2913 lr=0.0001 elapsed=3.4s
epoch 17/50 mean_loss=0.2531 lr=0.0001 elapsed=3.5s
epoch 18/50 mean_loss=0.2396 lr=0.0001 elapsed=3.5s
epoch 19/50 mean_loss=0.1711 lr=0.0001 elapsed=3.4s
epoch 20/50 mean_loss=0.1695 lr=0.0001 elapsed=3.5s
epoch 21/50 mean_loss=0.1525 lr=0.0001 elapsed=3.5s
epoch 22/50 mean_loss=0.1637 lr=0.0001 elapsed=3.4s
epoch 23/50 mean_loss=0.1286 lr=0.0001 elapsed=3.5s
epoch 24/50 mean_loss=0.1260 lr=0.0001 elapsed=3.4s
epoch 25/50 mean_loss=0.1050 lr=0.0001 elapsed=3.5s
epoch 26/50 mean_loss=0.1061 lr=0.0001 elapsed=3.5s
epoch 27/50 mean_loss=0.1128 lr=0.0001 elapsed=3.5s
epoch 28/50 mean_loss=0.0928 lr=0.0001 elapsed=3.4s
epoch 29/50 mean_loss=0.0865 lr=0.0001 elapsed=3.5s
epoch 30/50 mean_loss=0.0668 lr=0.0001 elapsed=3.4s
epoch 31/50 mean_loss=0.0540 lr=0.0001 elapsed=3.6s
epoch 32/50 mean_loss=0.0491 lr=0.0001 elapsed=3.5s
epoch 33/50 mean_loss=0.0507 lr=0.0001 elapsed=3.4s
epoch 34/50 mean_loss=0.0310 lr=0.0001 elapsed=3.5s
epoch 35/50 mean_loss=0.0343 lr=0.0001 elapsed=3.5s
epoch 36/50 mean_loss=0.0466 lr=0.0001 elapsed=3.5s
epoch 37/50 mean_loss=0.0427 lr=0.0001 elapsed=3.5s
epoch 38/50 mean_loss=0.0526 lr=0.0001 elapsed=3.5s
epoch 39/50 mean_loss=0.0405 lr=0.0001 elapsed=3.4s
epoch 40/50 mean_loss=0.0448 lr=0.0001 elapsed=3.5s
epoch 41/50 mean_loss=0.0694 lr=0.0001 elapsed=3.5s
epoch 42/50 mean_loss=0.0804 lr=0.0001 elapsed=3.4s
epoch 43/50 mean_loss=0.0853 lr=0.0001 elapsed=3.4s
epoch 44/50 mean_loss=0.0609 lr=0.0001 elapsed=3.4s
epoch 45/50 mean_loss=0.0484 lr=0.0001 elapsed=3.4s
epoch 46/50 mean_loss=0.0343 lr=0.0001 elapsed=3.4s
epoch 47/50 mean_loss=0.0313 lr=0.0001 elapsed=3.4s
epoch 48/50 mean_loss=0.0382 lr=0.0001 elapsed=3.4s
epoch 49/50 mean_loss=0.0537 lr=0.0001 elapsed=3.4s
epoch 50/50 mean_loss=0.0495 lr=0.0001 elapsed=3.4s
