run: seed=2026 fold=5 variant=context label=Hard Label
train samples=799 eval samples=197 epochs=50
epoch 01/50 mean_loss=1.4740 lr=0.0001 elapsed=3.0s
epoch 02/50 mean_loss=1.2888 lr=0.0001 elapsed=3.0s
epoch 03/50 mean_loss=1.1745 lr=0.0001 elapsed=2.9s
epoch 04/50 mean_loss=1.0667 lr=0.0001 elapsed=2.9s
epoch 05/50 mean_loss=0.9374 lr=0.0001 elapsed=3.0s
epoch 06/50 mean_loss=0.8200 lr=0.0001 elapsed=3.0s
epoch 07/50 mean_loss=0.7112 lr=0.0001 elapsed=3.0s
epoch 08/50 mean_loss=0.6021 lr=0.0001 elapsed=3.0s
epoch 09/50 mean_loss=0.4822 lr=0.0001 elapsed=3.0s
epoch 10/50 mean_loss=0.4031 lr=0.0001 elapsed=3.0s
epoch 11/50 mean_loss=0.3222 lr=0.0001 elapsed=3.0s
epoch 12/50 mean_loss=0.2492 lr=0.0001 elapsed=3.0s
epoch 13/50 mean_loss=0.2885 lr=0.0001 elapsed=2.9s
epoch 14/50 mean_loss=0.2078 lr=0.0001 elapsed=3.0s
epoch 15/50 mean_loss=0.1838 lr=0.0001 elapsed=3.0s
epoch 16/50 mean_loss=0.1867 lr=0.0001 elapsed=3.0s
epoch 17/50 mean_loss=0.1270 lr=0.0001 elapsed=3.0s
epoch 18/50 mean_loss=0.1025 lr=0.0001 elapsed=3.0s
epoch 19/50 mean_loss=0.1031 lr=0.0001 elapsed=2.9s
epoch 20/50 mean_loss=0.1348 lr=0.0001 elapsed=3.0s
epoch 21/50 mean_loss=0.0845 lr=0.0001 elapsed=3.0s
epoch 22/50 mean_loss=0.0683 lr=0.0001 elapsed=3.0s
epoch 23/50 mean_loss=0.0604 lr=0.0001 elapsed=3.0s
epoch 24/50 mean_loss=0.0711 lr=0.0001 elapsed=3.0s
epoch 25/50 mean_loss=0.0697 lr=0.0001 elapsed=3.0s
epoch 26/50 mean_loss=0.0470 lr=0.0001 elapsed=3.0s
epoch 27/50 mean_loss=0.0769 lr=0.0001 elapsed=3.0s
epoch 28/50 mean_loss=0.0922 lr=0.0001 elapsed=3.0s
epoch 29/50 mean_loss=0.0711 lr=0.0001 elapsed=3.0s
epoch 30/50 mean_loss=0.0688 lr=0.0001 elapsed=3.0s
epoch 31/50 mean_loss=0.0565 lr=0.0001 elapsed=3.0s
epoch 32/50 mean_loss=0.0493 lr=0.0001 elapsed=3.1s
epoch 33/50 mean_loss=0.0379 lr=0.0001 elapsed=3.0s
epoch 34/50 mean_loss=0.0481 lr=0.0001 elapsed=3.0s
epoch 35/50 mean_loss=0.0344 lr=0.0001 elapsed=3.0s
epoch 36/50 mean_loss=0.0456 lr=0.0001 elapsed=3.0s
epoch 37/50 mean_loss=0.0382 lr=0.0001 elapsed=3.0s
epoch 38/50 mean_loss=0.0442 lr=0.0001 elapsed=3.0s
epoch 39/50 mean_loss=0.0514 lr=0.0001 elapsed=3.0s
epoch 40/50 mean_loss=0.0394 lr=0.0001 elapsed=3.0s
epoch 41/50 mean_loss=0.0269 lr=0.0001 elapsed=3.0s
epoch 42/50 mean_loss=0.0348 lr=0.0001 elapsed=3.1s
epoch 43/50 mean_loss=0.0347 lr=0.0001 elapsed=3.0s
epoch 44/50 mean_loss=0.0358 lr=0.0001 elapsed=2.9s
epoch 45/50 mean_loss=0.0417 lr=0.0001 elapsed=3.0s
epoch 46/50 mean_loss=0.0409 lr=0.0001 elapsed=2.9s
epoch 47/50 mean_loss=0.0424 lr=0.0001 elapsed=3.0s
epoch 48/50 mean_loss=0.0353 lr=0.0001 elapsed=3.0s
epoch 49/50 mean_loss=0.0284 lr=0.0001 elapsed=3.0s
epoch 50/50 mean_loss=0.0729 lr=0.0001 elapsed=2.9s
