step,task,label_strategy,modality,input_region,fold,training_seed,train_count,evaluation_count,train_class_counts,evaluation_class_counts,parameter_count,class_0_precision,class_0_recall,class_0_f1,class_1_precision,class_1_recall,class_1_f1,class_2_precision,class_2_recall,class_2_f1,class_3_precision,class_3_recall,class_3_f1,class_4_precision,class_4_recall,class_4_f1,accuracy,macro_f1,mae
step_12_N,five_class,Hard Label,MR,mask,1,42,794,202,"{'0': 28, '1': 98, '2': 179, '3': 260, '4': 229}","{'0': 8, '1': 25, '2': 45, '3': 66, '4': 58}",23518277,0.6666666666666666,0.25,0.36363636363636365,0.4375,0.28,0.34146341463414637,0.3111111111111111,0.3111111111111111,0.3111111111111111,0.4305555555555556,0.4696969696969697,0.44927536231884063,0.48484848484848486,0.5517241379310345,0.5161290322580646,0.42574257425742573,0.3963230567917052,0.7178217821782178
step_12_N,five_class,Hard Label,MR,mask,2,42,796,200,"{'0': 29, '1': 98, '2': 179, '3': 261, '4': 229}","{'0': 7, '1': 25, '2': 45, '3': 65, '4': 58}",23518277,0.0,0.0,0.0,0.5333333333333333,0.32,0.4,0.3157894736842105,0.5333333333333333,0.39669421487603307,0.3787878787878788,0.38461538461538464,0.38167938931297707,0.5405405405405406,0.3448275862068966,0.4210526315789474,0.385,0.31988524715359146,0.785
step_12_N,five_class,Hard Label,MR,mask,3,42,797,199,"{'0': 29, '1': 98, '2': 179, '3': 261, '4': 230}","{'0': 7, '1': 25, '2': 45, '3': 65, '4': 57}",23518277,0.25,0.14285714285714285,0.18181818181818182,0.6666666666666666,0.48,0.5581395348837209,0.35294117647058826,0.26666666666666666,0.3037974683544304,0.4098360655737705,0.7692307692307693,0.53475935828877,0.5238095238095238,0.19298245614035087,0.282051282051282,0.4321608040201005,0.372113165079277,0.7035175879396985
step_12_N,five_class,Hard Label,MR,mask,4,42,798,198,"{'0': 29, '1': 99, '2': 179, '3': 261, '4': 230}","{'0': 7, '1': 24, '2': 45, '3': 65, '4': 57}",23518277,0.0,0.0,0.0,0.4166666666666667,0.20833333333333334,0.2777777777777778,0.26865671641791045,0.4,0.3214285714285714,0.5,0.27692307692307694,0.3564356435643565,0.46835443037974683,0.6491228070175439,0.5441176470588235,0.3939393939393939,0.2999519279659058,0.8535353535353535
step_12_N,five_class,Hard Label,MR,mask,5,42,799,197,"{'0': 29, '1': 99, '2': 180, '3': 261, '4': 230}","{'0': 7, '1': 24, '2': 44, '3': 65, '4': 57}",23518277,0.0,0.0,0.0,0.631578947368421,0.5,0.5581395348837209,0.32142857142857145,0.4090909090909091,0.36000000000000004,0.44,0.3384615384615385,0.3826086956521739,0.5285714285714286,0.6491228070175439,0.5826771653543307,0.4517766497461929,0.37668507917804506,0.6700507614213198
step_12_N,five_class,Hard Label,MR,mask,1,3407,794,202,"{'0': 28, '1': 98, '2': 179, '3': 260, '4': 229}","{'0': 8, '1': 25, '2': 45, '3': 66, '4': 58}",23518277,0.3333333333333333,0.25,0.28571428571428575,0.4166666666666667,0.4,0.4081632653061225,0.34375,0.24444444444444444,0.2857142857142857,0.40336134453781514,0.7272727272727273,0.518918918918919,0.47619047619047616,0.1724137931034483,0.25316455696202533,0.400990099009901,0.3503350625231277,0.7524752475247525
step_12_N,five_class,Hard Label,MR,mask,2,3407,796,200,"{'0': 29, '1': 98, '2': 179, '3': 261, '4': 229}","{'0': 7, '1': 25, '2': 45, '3': 65, '4': 58}",23518277,0.0,0.0,0.0,0.34285714285714286,0.48,0.39999999999999997,0.36363636363636365,0.26666666666666666,0.30769230769230765,0.42105263157894735,0.36923076923076925,0.39344262295081966,0.5652173913043478,0.6724137931034483,0.6141732283464567,0.435,0.3430616317979168,0.78
step_12_N,five_class,Hard Label,MR,mask,3,3407,797,199,"{'0': 29, '1': 98, '2': 179, '3': 261, '4': 230}","{'0': 7, '1': 25, '2': 45, '3': 65, '4': 57}",23518277,0.3333333333333333,0.14285714285714285,0.2,0.7647058823529411,0.52,0.6190476190476191,0.52,0.5777777777777777,0.5473684210526315,0.46875,0.46153846153846156,0.46511627906976744,0.5076923076923077,0.5789473684210527,0.540983606557377,0.5175879396984925,0.474503185145479,0.628140703517588
step_12_N,five_class,Hard Label,MR,mask,4,3407,798,198,"{'0': 29, '1': 99, '2': 179, '3': 261, '4': 230}","{'0': 7, '1': 24, '2': 45, '3': 65, '4': 57}",23518277,0.0,0.0,0.0,0.5882352941176471,0.4166666666666667,0.48780487804878053,0.42857142857142855,0.26666666666666666,0.3287671232876712,0.47368421052631576,0.5538461538461539,0.5106382978723405,0.463768115942029,0.5614035087719298,0.5079365079365079,0.45454545454545453,0.36702936142906,0.7575757575757576
step_12_N,five_class,Hard Label,MR,mask,5,3407,799,197,"{'0': 29, '1': 99, '2': 180, '3': 261, '4': 230}","{'0': 7, '1': 24, '2': 44, '3': 65, '4': 57}",23518277,0.4,0.2857142857142857,0.3333333333333333,0.625,0.4166666666666667,0.5,0.34285714285714286,0.2727272727272727,0.30379746835443033,0.44086021505376344,0.6307692307692307,0.5189873417721519,0.6041666666666666,0.5087719298245614,0.5523809523809524,0.47715736040609136,0.4416998191681737,0.6294416243654822
step_12_N,five_class,Hard Label,MR,mask,1,2026,794,202,"{'0': 28, '1': 98, '2': 179, '3': 260, '4': 229}","{'0': 8, '1': 25, '2': 45, '3': 66, '4': 58}",23518277,0.3333333333333333,0.125,0.18181818181818182,0.42857142857142855,0.48,0.4528301886792452,0.3055555555555556,0.24444444444444444,0.2716049382716049,0.42168674698795183,0.5303030303030303,0.4697986577181208,0.46153846153846156,0.41379310344827586,0.43636363636363634,0.41089108910891087,0.36248312057015786,0.7623762376237624
step_12_N,five_class,Hard Label,MR,mask,2,2026,796,200,"{'0': 29, '1': 98, '2': 179, '3': 261, '4': 229}","{'0': 7, '1': 25, '2': 45, '3': 65, '4': 58}",23518277,0.0,0.0,0.0,0.5333333333333333,0.32,0.4,0.3698630136986301,0.6,0.45762711864406774,0.4098360655737705,0.38461538461538464,0.39682539682539686,0.6,0.46551724137931033,0.5242718446601942,0.435,0.35574487202593175,0.78
step_12_N,five_class,Hard Label,MR,mask,3,2026,797,199,"{'0': 29, '1': 98, '2': 179, '3': 261, '4': 230}","{'0': 7, '1': 25, '2': 45, '3': 65, '4': 57}",23518277,0.0,0.0,0.0,0.7692307692307693,0.4,0.5263157894736842,0.32142857142857145,0.4,0.3564356435643564,0.37662337662337664,0.4461538461538462,0.4084507042253521,0.47058823529411764,0.42105263157894735,0.4444444444444444,0.40703517587939697,0.34712931634156746,0.7336683417085427
step_12_N,five_class,Hard Label,MR,mask,4,2026,798,198,"{'0': 29, '1': 99, '2': 179, '3': 261, '4': 230}","{'0': 7, '1': 24, '2': 45, '3': 65, '4': 57}",23518277,0.0,0.0,0.0,0.3333333333333333,0.5,0.4,0.39285714285714285,0.24444444444444444,0.3013698630136986,0.5,0.49230769230769234,0.49612403100775193,0.4925373134328358,0.5789473684210527,0.532258064516129,0.4444444444444444,0.3459503917075159,0.8333333333333334
step_12_N,five_class,Hard Label,MR,mask,5,2026,799,197,"{'0': 29, '1': 99, '2': 180, '3': 261, '4': 230}","{'0': 7, '1': 24, '2': 44, '3': 65, '4': 57}",23518277,0.4,0.2857142857142857,0.3333333333333333,0.6111111111111112,0.4583333333333333,0.5238095238095238,0.35714285714285715,0.3409090909090909,0.3488372093023256,0.43119266055045874,0.7230769230769231,0.5402298850574713,0.6956521739130435,0.2807017543859649,0.39999999999999997,0.4619289340101523,0.4292419903005308,0.6192893401015228
