run: seed=2026 fold=1 variant=background label=Soft Label
train samples=794 eval samples=202 epochs=50
epoch 01/50 mean_loss=1.4693 lr=0.0001 elapsed=3.4s
epoch 02/50 mean_loss=1.3365 lr=0.0001 elapsed=3.4s
epoch 03/50 mean_loss=1.2302 lr=0.0001 elapsed=3.4s
epoch 04/50 mean_loss=1.1486 lr=0.0001 elapsed=3.5s
epoch 05/50 mean_loss=1.0791 lr=0.0001 elapsed=3.5s
epoch 06/50 mean_loss=0.9757 lr=0.0001 elapsed=3.4s
epoch 07/50 mean_loss=0.9200 lr=0.0001 elapsed=3.4s
epoch 08/50 mean_loss=0.8491 lr=0.0001 elapsed=3.4s
epoch 09/50 mean_loss=0.8051 lr=0.0001 elapsed=3.4s
epoch 10/50 mean_loss=0.7501 lr=0.0001 elapsed=3.4s
epoch 11/50 mean_loss=0.7034 lr=0.0001 elapsed=3.4s
epoch 12/50 mean_loss=0.6913 lr=0.0001 elapsed=3.4s
epoch 13/50 mean_loss=0.6657 lr=0.0001 elapsed=3.4s
epoch 14/50 mean_loss=0.6619 lr=0.0001 elapsed=3.4s
epoch 15/50 mean_loss=0.6409 lr=0.0001 elapsed=3.4s
epoch 16/50 mean_loss=0.6298 lr=0.0001 elapsed=3.5s
epoch 17/50 mean_loss=0.6153 lr=0.0001 elapsed=3.4s
epoch 18/50 mean_loss=0.6195 lr=0.0001 elapsed=3.4s
epoch 19/50 mean_loss=0.6004 lr=0.0001 elapsed=3.4s
epoch 20/50 mean_loss=0.5978 lr=0.0001 elapsed=3.4s
epoch 21/50 mean_loss=0.5901 lr=0.0001 elapsed=3.4s
epoch 22/50 mean_loss=0.6032 lr=0.0001 elapsed=3.4s
epoch 23/50 mean_loss=0.5953 lr=0.0001 elapsed=3.5s
epoch 24/50 mean_loss=0.5959 lr=0.0001 elapsed=3.4s
epoch 25/50 mean_loss=0.5956 lr=0.0001 elapsed=3.5s
epoch 26/50 mean_loss=0.5945 lr=0.0001 elapsed=3.4s
epoch 27/50 mean_loss=0.5871 lr=0.0001 elapsed=3.5s
epoch 28/50 mean_loss=0.5802 lr=0.0001 elapsed=3.4s
epoch 29/50 mean_loss=0.5777 lr=0.0001 elapsed=3.4s
epoch 30/50 mean_loss=0.5763 lr=0.0001 elapsed=3.4s
epoch 31/50 mean_loss=0.5748 lr=0.0001 elapsed=3.4s
epoch 32/50 mean_loss=0.5821 lr=0.0001 elapsed=3.5s
epoch 33/50 mean_loss=0.5656 lr=0.0001 elapsed=3.4s
epoch 34/50 mean_loss=0.5680 lr=0.0001 elapsed=3.4s
epoch 35/50 mean_loss=0.5670 lr=0.0001 elapsed=3.4s
epoch 36/50 mean_loss=0.5638 lr=0.0001 elapsed=3.4s
epoch 37/50 mean_loss=0.5605 lr=0.0001 elapsed=3.5s
epoch 38/50 mean_loss=0.5665 lr=0.0001 elapsed=3.4s
epoch 39/50 mean_loss=0.5650 lr=0.0001 elapsed=3.4s
epoch 40/50 mean_loss=0.5643 lr=0.0001 elapsed=3.5s
epoch 41/50 mean_loss=0.5608 lr=0.0001 elapsed=3.5s
epoch 42/50 mean_loss=0.5615 lr=0.0001 elapsed=3.5s
epoch 43/50 mean_loss=0.5610 lr=0.0001 elapsed=3.5s
epoch 44/50 mean_loss=0.5562 lr=0.0001 elapsed=3.4s
epoch 45/50 mean_loss=0.5567 lr=0.0001 elapsed=3.5s
epoch 46/50 mean_loss=0.5579 lr=0.0001 elapsed=3.4s
epoch 47/50 mean_loss=0.5544 lr=0.0001 elapsed=3.4s
epoch 48/50 mean_loss=0.5543 lr=0.0001 elapsed=3.5s
epoch 49/50 mean_loss=0.5537 lr=0.0001 elapsed=3.4s
epoch 50/50 mean_loss=0.5543 lr=0.0001 elapsed=3.5s
