step,task,label_strategy,modality,fold,training_seed,train_count,evaluation_count,train_class_counts,evaluation_class_counts,parameter_count,accuracy,macro_f1,mae,class_0_precision,class_0_recall,class_0_f1,class_1_precision,class_1_recall,class_1_f1,class_2_precision,class_2_recall,class_2_f1,class_3_precision,class_3_recall,class_3_f1,class_4_precision,class_4_recall,class_4_f1,confusion_matrix
step_05_N,five_class,Hard Label,M,1,42,794,202,"{""0"": 28, ""1"": 98, ""2"": 179, ""3"": 260, ""4"": 229}","{""0"": 8, ""1"": 25, ""2"": 45, ""3"": 66, ""4"": 58}",23518277,0.4801980198019802,0.42187219073675986,0.7079207920792079,0.25,0.25,0.25,0.5,0.36,0.41860465116279066,0.4,0.35555555555555557,0.3764705882352941,0.5,0.4090909090909091,0.45,0.524390243902439,0.7413793103448276,0.6142857142857143,"[[2, 3, 2, 1, 0], [3, 9, 6, 4, 3], [2, 3, 16, 16, 8], [1, 2, 8, 27, 28], [0, 1, 8, 6, 43]]"
step_05_N,five_class,Hard Label,M,2,42,796,200,"{""0"": 29, ""1"": 98, ""2"": 179, ""3"": 261, ""4"": 229}","{""0"": 7, ""1"": 25, ""2"": 45, ""3"": 65, ""4"": 58}",23518277,0.46,0.3643922140996766,0.715,0.0,0.0,0.0,0.5,0.44,0.46808510638297873,0.3409090909090909,0.3333333333333333,0.33707865168539325,0.4897959183673469,0.36923076923076925,0.4210526315789474,0.5060240963855421,0.7241379310344828,0.5957446808510638,"[[0, 4, 1, 1, 1], [2, 11, 7, 2, 3], [0, 5, 15, 11, 14], [0, 2, 16, 24, 23], [0, 0, 5, 11, 42]]"
step_05_N,five_class,Hard Label,M,3,42,797,199,"{""0"": 29, ""1"": 98, ""2"": 179, ""3"": 261, ""4"": 230}","{""0"": 7, ""1"": 25, ""2"": 45, ""3"": 65, ""4"": 57}",23518277,0.41708542713567837,0.32483479361870093,0.7939698492462312,0.0,0.0,0.0,0.4117647058823529,0.56,0.4745762711864407,0.47058823529411764,0.17777777777777778,0.25806451612903225,0.42,0.3230769230769231,0.3652173913043478,0.42105263157894735,0.7017543859649122,0.5263157894736842,"[[0, 5, 1, 0, 1], [0, 14, 4, 2, 5], [2, 9, 8, 14, 12], [1, 3, 3, 21, 37], [0, 3, 1, 13, 40]]"
step_05_N,five_class,Hard Label,M,4,42,798,198,"{""0"": 29, ""1"": 99, ""2"": 179, ""3"": 261, ""4"": 230}","{""0"": 7, ""1"": 24, ""2"": 45, ""3"": 65, ""4"": 57}",23518277,0.4595959595959596,0.39011705971756705,0.7121212121212122,0.18181818181818182,0.2857142857142857,0.2222222222222222,0.3333333333333333,0.25,0.28571428571428575,0.39473684210526316,0.3333333333333333,0.36144578313253006,0.47058823529411764,0.49230769230769234,0.481203007518797,0.5714285714285714,0.631578947368421,0.6,"[[2, 2, 2, 1, 0], [5, 6, 6, 7, 0], [2, 7, 15, 11, 10], [1, 3, 12, 32, 17], [1, 0, 3, 17, 36]]"
step_05_N,five_class,Hard Label,M,5,42,799,197,"{""0"": 29, ""1"": 99, ""2"": 180, ""3"": 261, ""4"": 230}","{""0"": 7, ""1"": 24, ""2"": 44, ""3"": 65, ""4"": 57}",23518277,0.41624365482233505,0.3298117001300015,0.7563451776649747,0.0,0.0,0.0,0.4090909090909091,0.375,0.3913043478260869,0.30952380952380953,0.29545454545454547,0.3023255813953489,0.4,0.36923076923076925,0.384,0.5217391304347826,0.631578947368421,0.5714285714285715,"[[0, 4, 2, 1, 0], [3, 9, 6, 4, 2], [0, 5, 13, 17, 9], [1, 3, 15, 24, 22], [0, 1, 6, 14, 36]]"
step_05_N,five_class,Hard Label,M,1,3407,794,202,"{""0"": 28, ""1"": 98, ""2"": 179, ""3"": 260, ""4"": 229}","{""0"": 8, ""1"": 25, ""2"": 45, ""3"": 66, ""4"": 58}",23518277,0.42574257425742573,0.3763655683970268,0.806930693069307,0.18181818181818182,0.25,0.2105263157894737,0.4444444444444444,0.32,0.37209302325581395,0.37209302325581395,0.35555555555555557,0.36363636363636365,0.42592592592592593,0.3484848484848485,0.38333333333333336,0.4868421052631579,0.6379310344827587,0.5522388059701493,"[[2, 2, 2, 1, 1], [2, 8, 8, 3, 4], [4, 4, 16, 15, 6], [1, 2, 12, 23, 28], [2, 2, 5, 12, 37]]"
step_05_N,five_class,Hard Label,M,2,3407,796,200,"{""0"": 29, ""1"": 98, ""2"": 179, ""3"": 261, ""4"": 229}","{""0"": 7, ""1"": 25, ""2"": 45, ""3"": 65, ""4"": 58}",23518277,0.465,0.369192419731866,0.75,0.0,0.0,0.0,0.36363636363636365,0.8,0.5000000000000001,0.4117647058823529,0.3111111111111111,0.35443037974683544,0.4878048780487805,0.3076923076923077,0.37735849056603776,0.5652173913043478,0.6724137931034483,0.6141732283464567,"[[0, 6, 0, 1, 0], [0, 20, 3, 1, 1], [1, 11, 14, 8, 11], [0, 16, 11, 20, 18], [0, 2, 6, 11, 39]]"
step_05_N,five_class,Hard Label,M,3,3407,797,199,"{""0"": 29, ""1"": 98, ""2"": 179, ""3"": 261, ""4"": 230}","{""0"": 7, ""1"": 25, ""2"": 45, ""3"": 65, ""4"": 57}",23518277,0.4221105527638191,0.37451821469214513,0.8140703517587939,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.4782608695652174,0.44,0.4583333333333333,0.3695652173913043,0.37777777777777777,0.37362637362637363,0.45614035087719296,0.4,0.42622950819672134,0.4393939393939394,0.5087719298245614,0.47154471544715443,"[[1, 3, 1, 0, 2], [3, 11, 5, 3, 3], [3, 3, 17, 12, 10], [0, 2, 15, 26, 22], [0, 4, 8, 16, 29]]"
step_05_N,five_class,Hard Label,M,4,3407,798,198,"{""0"": 29, ""1"": 99, ""2"": 179, ""3"": 261, ""4"": 230}","{""0"": 7, ""1"": 24, ""2"": 45, ""3"": 65, ""4"": 57}",23518277,0.5050505050505051,0.42012578330760153,0.6717171717171717,0.16666666666666666,0.14285714285714285,0.15384615384615383,0.5,0.375,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.375,0.5714285714285714,0.49230769230769234,0.5289256198347108,0.5180722891566265,0.7543859649122807,0.6142857142857143,"[[1, 3, 1, 1, 1], [3, 9, 6, 2, 4], [2, 5, 15, 11, 12], [0, 1, 9, 32, 23], [0, 0, 4, 10, 43]]"
step_05_N,five_class,Hard Label,M,5,3407,799,197,"{""0"": 29, ""1"": 99, ""2"": 180, ""3"": 261, ""4"": 230}","{""0"": 7, ""1"": 24, ""2"": 44, ""3"": 65, ""4"": 57}",23518277,0.4619289340101523,0.427375141592009,0.6802030456852792,0.3333333333333333,0.2857142857142857,0.30769230769230765,0.5,0.5416666666666666,0.52,0.41935483870967744,0.29545454545454547,0.3466666666666667,0.42574257425742573,0.6615384615384615,0.5180722891566265,0.6060606060606061,0.3508771929824561,0.4444444444444444,"[[2, 3, 2, 0, 0], [2, 13, 2, 6, 1], [1, 5, 13, 22, 3], [1, 2, 10, 43, 9], [0, 3, 4, 30, 20]]"
step_05_N,five_class,Hard Label,M,1,2026,794,202,"{""0"": 28, ""1"": 98, ""2"": 179, ""3"": 260, ""4"": 229}","{""0"": 8, ""1"": 25, ""2"": 45, ""3"": 66, ""4"": 58}",23518277,0.45544554455445546,0.399516587512602,0.7524752475247525,0.14285714285714285,0.125,0.13333333333333333,0.7692307692307693,0.4,0.5263157894736842,0.42105263157894735,0.35555555555555557,0.38554216867469876,0.4107142857142857,0.3484848484848485,0.3770491803278689,0.4772727272727273,0.7241379310344828,0.5753424657534246,"[[1, 0, 3, 1, 3], [3, 10, 6, 5, 1], [0, 3, 16, 17, 9], [1, 0, 9, 23, 33], [2, 0, 4, 10, 42]]"
