scheme=M (Soft) fold=3 training_seed=42 epochs=50 batch_size=32 optimizer=AdamW lr=0.0001 weight_decay=0.0001 loss=soft-target CE (fixed table) scheduler=None early_stopping=False task=5class
epoch=001 loss=1.4782 acc=0.3225 sec=2.7
epoch=002 loss=1.3701 acc=0.3902 sec=2.5
epoch=003 loss=1.2734 acc=0.4768 sec=2.4
epoch=004 loss=1.2166 acc=0.5358 sec=2.4
epoch=005 loss=1.1506 acc=0.5872 sec=2.4
epoch=006 loss=1.0457 acc=0.6750 sec=2.4
epoch=007 loss=0.9633 acc=0.7026 sec=2.5
epoch=008 loss=0.9012 acc=0.7704 sec=2.4
epoch=009 loss=0.8399 acc=0.8193 sec=2.3
epoch=010 loss=0.7987 acc=0.8344 sec=2.3
epoch=011 loss=0.7550 acc=0.8745 sec=2.4
epoch=012 loss=0.7187 acc=0.9097 sec=2.4
epoch=013 loss=0.7332 acc=0.8959 sec=2.4
epoch=014 loss=0.7030 acc=0.9172 sec=2.4
epoch=015 loss=0.6733 acc=0.9398 sec=2.4
epoch=016 loss=0.6436 acc=0.9649 sec=2.5
epoch=017 loss=0.6338 acc=0.9699 sec=2.4
epoch=018 loss=0.6296 acc=0.9749 sec=2.5
epoch=019 loss=0.6180 acc=0.9824 sec=2.4
epoch=020 loss=0.6071 acc=0.9849 sec=2.4
epoch=021 loss=0.6057 acc=0.9925 sec=2.5
epoch=022 loss=0.6051 acc=0.9887 sec=2.4
epoch=023 loss=0.5910 acc=0.9925 sec=2.3
epoch=024 loss=0.5900 acc=0.9962 sec=2.4
epoch=025 loss=0.5888 acc=0.9962 sec=2.2
epoch=026 loss=0.5981 acc=0.9912 sec=2.2
epoch=027 loss=0.5845 acc=0.9987 sec=2.2
epoch=028 loss=0.5793 acc=0.9975 sec=2.4
epoch=029 loss=0.5848 acc=0.9950 sec=2.3
epoch=030 loss=0.5802 acc=0.9987 sec=2.3
epoch=031 loss=0.5748 acc=1.0000 sec=2.3
epoch=032 loss=0.5817 acc=1.0000 sec=2.3
epoch=033 loss=0.5717 acc=1.0000 sec=2.3
epoch=034 loss=0.5734 acc=1.0000 sec=2.4
epoch=035 loss=0.5750 acc=0.9975 sec=2.4
epoch=036 loss=0.5824 acc=0.9950 sec=2.4
epoch=037 loss=0.5728 acc=0.9987 sec=2.4
epoch=038 loss=0.5796 acc=0.9962 sec=2.3
epoch=039 loss=0.5751 acc=0.9975 sec=2.4
epoch=040 loss=0.5702 acc=1.0000 sec=2.4
epoch=041 loss=0.5692 acc=0.9975 sec=2.4
epoch=042 loss=0.5715 acc=0.9987 sec=2.4
epoch=043 loss=0.5665 acc=0.9987 sec=2.4
epoch=044 loss=0.5705 acc=0.9975 sec=2.5
epoch=045 loss=0.5650 acc=1.0000 sec=2.4
epoch=046 loss=0.5677 acc=0.9975 sec=2.4
epoch=047 loss=0.5626 acc=1.0000 sec=2.4
epoch=048 loss=0.5707 acc=0.9975 sec=2.3
epoch=049 loss=0.5692 acc=1.0000 sec=2.3
epoch=050 loss=0.5624 acc=1.0000 sec=2.4
