step,combination,modalities,input_channels,fold,training_seed,train_count,evaluation_count,train_class_counts,evaluation_class_counts,parameter_count,accuracy,macro_f1,mae,sensitivity,specificity,class_0_precision,class_0_recall,class_0_f1,class_1_precision,class_1_recall,class_1_f1,class_2_precision,class_2_recall,class_2_f1,class_3_precision,class_3_recall,class_3_f1,class_4_precision,class_4_recall,class_4_f1,confusion_matrix
step_06_N,M+MR,M+MR,6,1,2026,794,202,"{'0': 28, '1': 98, '2': 179, '3': 260, '4': 229}","{'0': 8, '1': 25, '2': 45, '3': 66, '4': 58}",23527685,0.4603960396039604,0.3947357187696171,0.698019801980198,0.68,0.125,0.14285714285714285,0.125,0.13333333333333333,0.5,0.68,0.576271186440678,0.3,0.2,0.24,0.46296296296296297,0.3787878787878788,0.4166666666666667,0.5324675324675324,0.7068965517241379,0.6074074074074074,"[[1, 4, 1, 0, 2], [2, 17, 4, 1, 1], [3, 9, 9, 19, 5], [0, 3, 10, 25, 28], [1, 1, 6, 9, 41]]"
step_06_N,M+MR,M+MR,6,2,2026,796,200,"{'0': 29, '1': 98, '2': 179, '3': 261, '4': 229}","{'0': 7, '1': 25, '2': 45, '3': 65, '4': 58}",23527685,0.545,0.43869265062095303,0.59,0.52,0.0,0.0,0.0,0.0,0.5,0.52,0.5098039215686274,0.4642857142857143,0.5777777777777777,0.5148514851485149,0.532258064516129,0.5076923076923077,0.5196850393700787,0.6607142857142857,0.6379310344827587,0.6491228070175439,"[[0, 4, 2, 0, 1], [0, 13, 6, 5, 1], [0, 5, 26, 10, 4], [0, 3, 16, 33, 13], [0, 1, 6, 14, 37]]"
step_06_N,M+MR,M+MR,6,3,2026,797,199,"{'0': 29, '1': 98, '2': 179, '3': 261, '4': 230}","{'0': 7, '1': 25, '2': 45, '3': 65, '4': 57}",23527685,0.457286432160804,0.37506550551254986,0.7587939698492462,0.48,0.0,0.0,0.0,0.0,0.5,0.48,0.4897959183673469,0.4523809523809524,0.4222222222222222,0.4367816091954023,0.47619047619047616,0.46153846153846156,0.46875,0.4411764705882353,0.5263157894736842,0.48,"[[0, 4, 0, 1, 2], [1, 12, 4, 1, 7], [0, 6, 19, 13, 7], [1, 2, 10, 30, 22], [0, 0, 9, 18, 30]]"
step_06_N,M+MR,M+MR,6,4,2026,798,198,"{'0': 29, '1': 99, '2': 179, '3': 261, '4': 230}","{'0': 7, '1': 24, '2': 45, '3': 65, '4': 57}",23527685,0.45454545454545453,0.39621300548043326,0.6767676767676768,0.4166666666666667,0.14285714285714285,0.3333333333333333,0.14285714285714285,0.2,0.35714285714285715,0.4166666666666667,0.3846153846153846,0.3541666666666667,0.37777777777777777,0.3655913978494624,0.47368421052631576,0.4153846153846154,0.4426229508196722,0.5645161290322581,0.6140350877192983,0.5882352941176471,"[[1, 4, 1, 1, 0], [1, 10, 9, 3, 1], [1, 10, 17, 13, 4], [0, 2, 14, 27, 22], [0, 2, 7, 13, 35]]"
step_06_N,M+MR,M+MR,6,5,2026,799,197,"{'0': 29, '1': 99, '2': 180, '3': 261, '4': 230}","{'0': 7, '1': 24, '2': 44, '3': 65, '4': 57}",23527685,0.41116751269035534,0.4127328608102442,0.7309644670050761,0.4583333333333333,0.42857142857142855,0.375,0.42857142857142855,0.39999999999999997,0.5,0.4583333333333333,0.4782608695652174,0.27692307692307694,0.4090909090909091,0.33027522935779824,0.38461538461538464,0.23076923076923078,0.2884615384615385,0.5396825396825397,0.5964912280701754,0.5666666666666667,"[[3, 1, 2, 1, 0], [3, 11, 7, 3, 0], [2, 9, 18, 9, 6], [0, 1, 26, 15, 23], [0, 0, 12, 11, 34]]"
step_06_N,M+MB,M+MB,6,1,42,794,202,"{'0': 28, '1': 98, '2': 179, '3': 260, '4': 229}","{'0': 8, '1': 25, '2': 45, '3': 66, '4': 58}",23527685,0.4603960396039604,0.36636295694341514,0.7128712871287128,0.16,0.125,0.1111111111111111,0.125,0.11764705882352941,0.5,0.16,0.24242424242424243,0.38461538461538464,0.4444444444444444,0.4123711340206186,0.5076923076923077,0.5,0.5038167938931297,0.5147058823529411,0.603448275862069,0.5555555555555555,"[[1, 1, 3, 0, 3], [5, 4, 13, 2, 1], [1, 3, 20, 15, 6], [1, 0, 9, 33, 23], [1, 0, 7, 15, 35]]"
step_06_N,M+MB,M+MB,6,2,42,796,200,"{'0': 29, '1': 98, '2': 179, '3': 261, '4': 229}","{'0': 7, '1': 25, '2': 45, '3': 65, '4': 58}",23527685,0.5,0.4594234924650567,0.66,0.68,0.14285714285714285,1.0,0.14285714285714285,0.25,0.4722222222222222,0.68,0.5573770491803278,0.4230769230769231,0.4888888888888889,0.4536082474226804,0.46774193548387094,0.4461538461538462,0.4566929133858268,0.6326530612244898,0.5344827586206896,0.5794392523364486,"[[1, 3, 1, 1, 1], [0, 17, 3, 3, 2], [0, 9, 22, 7, 7], [0, 7, 21, 29, 8], [0, 0, 5, 22, 31]]"
step_06_N,M+MB,M+MB,6,3,42,797,199,"{'0': 29, '1': 98, '2': 179, '3': 261, '4': 230}","{'0': 7, '1': 25, '2': 45, '3': 65, '4': 57}",23527685,0.457286432160804,0.398134335759197,0.7638190954773869,0.4,0.14285714285714285,0.16666666666666666,0.14285714285714285,0.15384615384615383,0.5263157894736842,0.4,0.45454545454545453,0.3148148148148148,0.37777777777777777,0.34343434343434337,0.5070422535211268,0.5538461538461539,0.5294117647058824,0.5510204081632653,0.47368421052631576,0.5094339622641509,"[[1, 4, 2, 0, 0], [0, 10, 8, 3, 4], [2, 3, 17, 13, 10], [3, 0, 18, 36, 8], [0, 2, 9, 19, 27]]"
step_06_N,M+MB,M+MB,6,4,42,798,198,"{'0': 29, '1': 99, '2': 179, '3': 261, '4': 230}","{'0': 7, '1': 24, '2': 45, '3': 65, '4': 57}",23527685,0.45454545454545453,0.3528156090022216,0.6919191919191919,0.4166666666666667,0.0,0.0,0.0,0.0,0.37037037037037035,0.4166666666666667,0.39215686274509803,0.34375,0.24444444444444444,0.2857142857142857,0.4666666666666667,0.5384615384615384,0.5,0.576271186440678,0.5964912280701754,0.5862068965517242,"[[0, 4, 1, 0, 2], [2, 10, 8, 3, 1], [2, 9, 11, 19, 4], [1, 4, 7, 35, 18], [0, 0, 5, 18, 34]]"
step_06_N,M+MB,M+MB,6,5,42,799,197,"{'0': 29, '1': 99, '2': 180, '3': 261, '4': 230}","{'0': 7, '1': 24, '2': 44, '3': 65, '4': 57}",23527685,0.4619289340101523,0.42646443261837297,0.6903553299492385,0.4583333333333333,0.2857142857142857,0.3333333333333333,0.2857142857142857,0.30769230769230765,0.4782608695652174,0.4583333333333333,0.4680851063829787,0.3125,0.45454545454545453,0.3703703703703703,0.53125,0.26153846153846155,0.3505154639175258,0.5694444444444444,0.7192982456140351,0.6356589147286822,"[[2, 2, 3, 0, 0], [2, 11, 9, 1, 1], [2, 6, 20, 9, 7], [0, 2, 23, 17, 23], [0, 2, 9, 5, 41]]"
