scheme=MR (Soft) fold=3 training_seed=42 epochs=50 batch_size=32 optimizer=AdamW lr=0.0001 weight_decay=0.0001 loss=soft-target CE (fixed table) scheduler=None early_stopping=False task=5class
epoch=001 loss=1.4733 acc=0.3174 sec=2.6
epoch=002 loss=1.3181 acc=0.4228 sec=2.4
epoch=003 loss=1.2305 acc=0.5194 sec=2.4
epoch=004 loss=1.1775 acc=0.5433 sec=2.4
epoch=005 loss=1.1223 acc=0.6110 sec=2.3
epoch=006 loss=1.0379 acc=0.6437 sec=2.4
epoch=007 loss=0.9714 acc=0.6989 sec=2.4
epoch=008 loss=0.9230 acc=0.7265 sec=2.5
epoch=009 loss=0.8628 acc=0.7691 sec=2.4
epoch=010 loss=0.8237 acc=0.8118 sec=2.4
epoch=011 loss=0.7712 acc=0.8632 sec=2.3
epoch=012 loss=0.7179 acc=0.8946 sec=2.4
epoch=013 loss=0.7275 acc=0.8883 sec=2.3
epoch=014 loss=0.6805 acc=0.9285 sec=2.5
epoch=015 loss=0.6689 acc=0.9435 sec=2.3
epoch=016 loss=0.6489 acc=0.9548 sec=2.4
epoch=017 loss=0.6355 acc=0.9649 sec=2.4
epoch=018 loss=0.6226 acc=0.9737 sec=2.4
epoch=019 loss=0.6133 acc=0.9799 sec=2.4
epoch=020 loss=0.6061 acc=0.9862 sec=2.4
epoch=021 loss=0.6046 acc=0.9875 sec=2.4
epoch=022 loss=0.6054 acc=0.9837 sec=2.4
epoch=023 loss=0.5880 acc=0.9975 sec=2.4
epoch=024 loss=0.5911 acc=0.9925 sec=2.4
epoch=025 loss=0.5892 acc=0.9925 sec=2.4
epoch=026 loss=0.5867 acc=0.9912 sec=2.3
epoch=027 loss=0.5777 acc=0.9987 sec=2.4
epoch=028 loss=0.5732 acc=0.9987 sec=2.3
epoch=029 loss=0.5814 acc=0.9887 sec=2.3
epoch=030 loss=0.5752 acc=0.9962 sec=2.3
epoch=031 loss=0.5729 acc=0.9937 sec=2.3
epoch=032 loss=0.5730 acc=0.9950 sec=2.4
epoch=033 loss=0.5683 acc=0.9975 sec=2.4
epoch=034 loss=0.5695 acc=0.9950 sec=2.3
epoch=035 loss=0.5667 acc=0.9987 sec=2.4
epoch=036 loss=0.5723 acc=0.9925 sec=2.4
epoch=037 loss=0.5677 acc=0.9962 sec=2.4
epoch=038 loss=0.5656 acc=0.9950 sec=2.3
epoch=039 loss=0.5658 acc=0.9962 sec=2.4
epoch=040 loss=0.5625 acc=0.9975 sec=2.5
epoch=041 loss=0.5570 acc=1.0000 sec=2.4
epoch=042 loss=0.5639 acc=0.9962 sec=2.4
epoch=043 loss=0.5634 acc=0.9937 sec=2.4
epoch=044 loss=0.5622 acc=0.9975 sec=2.4
epoch=045 loss=0.5633 acc=0.9950 sec=2.4
epoch=046 loss=0.5664 acc=0.9950 sec=2.3
epoch=047 loss=0.5572 acc=1.0000 sec=2.4
epoch=048 loss=0.5658 acc=0.9900 sec=2.4
epoch=049 loss=0.5646 acc=0.9937 sec=2.4
epoch=050 loss=0.5692 acc=0.9912 sec=2.4
