run: seed=42 fold=3 variant=mask label=Hard Label
train samples=797 eval samples=199 epochs=50
epoch 01/50 mean_loss=1.4508 lr=0.0001 elapsed=3.6s
epoch 02/50 mean_loss=1.3125 lr=0.0001 elapsed=3.6s
epoch 03/50 mean_loss=1.2132 lr=0.0001 elapsed=3.5s
epoch 04/50 mean_loss=1.1260 lr=0.0001 elapsed=3.5s
epoch 05/50 mean_loss=1.0532 lr=0.0001 elapsed=3.5s
epoch 06/50 mean_loss=1.0136 lr=0.0001 elapsed=3.5s
epoch 07/50 mean_loss=0.9358 lr=0.0001 elapsed=3.5s
epoch 08/50 mean_loss=0.8468 lr=0.0001 elapsed=3.5s
epoch 09/50 mean_loss=0.7654 lr=0.0001 elapsed=3.5s
epoch 10/50 mean_loss=0.6897 lr=0.0001 elapsed=3.5s
epoch 11/50 mean_loss=0.6001 lr=0.0001 elapsed=3.5s
epoch 12/50 mean_loss=0.5544 lr=0.0001 elapsed=3.5s
epoch 13/50 mean_loss=0.4874 lr=0.0001 elapsed=3.5s
epoch 14/50 mean_loss=0.3885 lr=0.0001 elapsed=3.5s
epoch 15/50 mean_loss=0.3412 lr=0.0001 elapsed=3.4s
epoch 16/50 mean_loss=0.2926 lr=0.0001 elapsed=3.5s
epoch 17/50 mean_loss=0.2516 lr=0.0001 elapsed=3.5s
epoch 18/50 mean_loss=0.2450 lr=0.0001 elapsed=3.4s
epoch 19/50 mean_loss=0.1827 lr=0.0001 elapsed=3.5s
epoch 20/50 mean_loss=0.1640 lr=0.0001 elapsed=3.4s
epoch 21/50 mean_loss=0.1571 lr=0.0001 elapsed=3.5s
epoch 22/50 mean_loss=0.1345 lr=0.0001 elapsed=3.5s
epoch 23/50 mean_loss=0.1027 lr=0.0001 elapsed=3.5s
epoch 24/50 mean_loss=0.1269 lr=0.0001 elapsed=3.5s
epoch 25/50 mean_loss=0.0942 lr=0.0001 elapsed=3.5s
epoch 26/50 mean_loss=0.1237 lr=0.0001 elapsed=3.5s
epoch 27/50 mean_loss=0.1197 lr=0.0001 elapsed=3.5s
epoch 28/50 mean_loss=0.1104 lr=0.0001 elapsed=3.4s
epoch 29/50 mean_loss=0.0898 lr=0.0001 elapsed=3.5s
epoch 30/50 mean_loss=0.0723 lr=0.0001 elapsed=3.4s
epoch 31/50 mean_loss=0.0756 lr=0.0001 elapsed=3.6s
epoch 32/50 mean_loss=0.0705 lr=0.0001 elapsed=3.5s
epoch 33/50 mean_loss=0.0499 lr=0.0001 elapsed=3.5s
epoch 34/50 mean_loss=0.0568 lr=0.0001 elapsed=3.5s
epoch 35/50 mean_loss=0.0591 lr=0.0001 elapsed=3.5s
epoch 36/50 mean_loss=0.0696 lr=0.0001 elapsed=3.5s
epoch 37/50 mean_loss=0.0820 lr=0.0001 elapsed=3.5s
epoch 38/50 mean_loss=0.0537 lr=0.0001 elapsed=3.5s
epoch 39/50 mean_loss=0.0454 lr=0.0001 elapsed=3.5s
epoch 40/50 mean_loss=0.0393 lr=0.0001 elapsed=3.5s
epoch 41/50 mean_loss=0.0606 lr=0.0001 elapsed=3.5s
epoch 42/50 mean_loss=0.0360 lr=0.0001 elapsed=3.5s
epoch 43/50 mean_loss=0.0415 lr=0.0001 elapsed=3.5s
epoch 44/50 mean_loss=0.0418 lr=0.0001 elapsed=3.5s
epoch 45/50 mean_loss=0.0387 lr=0.0001 elapsed=3.6s
epoch 46/50 mean_loss=0.0405 lr=0.0001 elapsed=3.5s
epoch 47/50 mean_loss=0.0294 lr=0.0001 elapsed=3.5s
epoch 48/50 mean_loss=0.0248 lr=0.0001 elapsed=3.5s
epoch 49/50 mean_loss=0.0138 lr=0.0001 elapsed=3.5s
epoch 50/50 mean_loss=0.0326 lr=0.0001 elapsed=3.5s
