record_type,scheme,fold,training_seed,baseline_accuracy,baseline_macro_f1,baseline_mae,delta_accuracy_M,after_accuracy_M,delta_macro_f1_M,after_macro_f1_M,delta_mae_M,after_mae_M,deeplift_share_M,deeplift_center_share_M,delta_accuracy_MB,after_accuracy_MB,delta_macro_f1_MB,after_macro_f1_MB,delta_mae_MB,after_mae_MB,deeplift_share_MB,deeplift_center_share_MB,delta_accuracy_MR,after_accuracy_MR,delta_macro_f1_MR,after_macro_f1_MR,delta_mae_MR,after_mae_MR,deeplift_share_MR,deeplift_center_share_MR,delta_accuracy_MP,after_accuracy_MP,delta_macro_f1_MP,after_macro_f1_MP,delta_mae_MP,after_mae_MP,deeplift_share_MP,deeplift_center_share_MP,delta_accuracy_MUV,after_accuracy_MUV,delta_macro_f1_MUV,after_macro_f1_MUV,delta_mae_MUV,after_mae_MUV,deeplift_share_MUV,deeplift_center_share_MUV
run,M+MB+MR,1,42,0.51,0.41125153005033466,0.615,-0.16000000000000003,0.35,-0.1729573828779432,0.23829414717239145,0.36,0.975,0.30959609426683465,0.7137473461052715,-0.15500000000000003,0.355,-0.14882827792331355,0.2624232521270211,0.37,0.985,0.3095431548642723,0.6292233193802808,-0.30500000000000005,0.205,-0.25340133447368723,0.15785019557664742,0.815,1.43,0.3808607508688893,0.6065620146830528,,,,,,,,,,,,,,,,
run,M+MB+MR,1,3407,0.46,0.35896000178624543,0.69,-0.11000000000000004,0.35,-0.0992136880618868,0.25974631372435864,0.29500000000000004,0.985,0.31773799636460087,0.6712342514650439,-0.17500000000000004,0.285,-0.15837420719416245,0.20058579459208298,0.43500000000000005,1.125,0.3042872483985513,0.6119695469266634,-0.275,0.185,-0.22767735969715172,0.1312826420890937,0.8700000000000001,1.56,0.37797475523684476,0.5921691847627838,,,,,,,,,,,,,,,,
run,M+MB+MR,1,2026,0.505,0.42931927060870223,0.635,-0.15500000000000003,0.35,-0.21364111417866608,0.21567815643003616,0.42500000000000004,1.06,0.29093475588325424,0.5958161139460267,-0.14,0.365,-0.1646762870780094,0.2646429835306928,0.16500000000000004,0.8,0.31267543728963,0.48501710679784443,-0.32,0.185,-0.29376864237514716,0.13555062823355507,0.6299999999999999,1.265,0.39638980682711217,0.458422813166778,,,,,,,,,,,,,,,,
run,M+MB+MR,2,42,0.5125628140703518,0.43651283518474704,0.6482412060301508,-0.1507537688442211,0.36180904522613067,-0.24479807564909198,0.19171475953565506,0.2663316582914572,0.914572864321608,0.3171321225884334,0.7537807154596193,-0.11055276381909546,0.4020100502512563,-0.12799710634114936,0.3085157288435977,0.2211055276381909,0.8693467336683417,0.3099249499203696,0.6749974529601469,-0.32160804020100503,0.19095477386934673,-0.2517264547789262,0.18478638040582088,1.2914572864321607,1.9396984924623115,0.372942927491193,0.6542004774654778,,,,,,,,,,,,,,,,
run,M+MB+MR,2,3407,0.49246231155778897,0.4006713594528721,0.6080402010050251,-0.18592964824120606,0.3065326633165829,-0.2112725229952121,0.18939883645765998,0.457286432160804,1.065326633165829,0.3144357617013101,0.6923093973333327,-0.30150753768844224,0.19095477386934673,-0.2638090460607548,0.1368623133921173,0.9497487437185931,1.5577889447236182,0.3082884582535622,0.6268881644343282,-0.3065326633165829,0.18592964824120603,-0.279663237140402,0.12100812231247013,0.9648241206030151,1.5728643216080402,0.37727578004512413,0.6056775293462985,,,,,,,,,,,,,,,,
run,M+MB+MR,2,2026,0.457286432160804,0.3777173913043478,0.7035175879396985,-0.1407035175879397,0.3165829145728643,-0.1981883496073613,0.17952904169698647,0.16080402010050243,0.864321608040201,0.31491232001019,0.7199720629348528,-0.1507537688442211,0.3065326633165829,-0.07557047817157025,0.30214691313277753,0.3467336683417085,1.050251256281407,0.3072450796951374,0.6390325364083738,-0.3015075376884422,0.15577889447236182,-0.2809123650400569,0.09680502626429086,0.9095477386934673,1.6130653266331658,0.37784260029466904,0.6192215394651985,,,,,,,,,,,,,,,,
run,M+MB+MR,3,42,0.4472361809045226,0.3523918712468365,0.7336683417085427,-0.1608040201005025,0.2864321608040201,-0.25515866966580886,0.09723320158102766,0.5527638190954774,1.2864321608040201,0.3115536900330831,0.7265752566153085,-0.010050251256281395,0.4371859296482412,-0.02468786446221599,0.3277040067846205,0.09045226130653272,0.8241206030150754,0.3096956774432821,0.632671004551908,-0.21608040201005024,0.23115577889447236,-0.18624293376019527,0.16614893748664125,0.4120603015075378,1.1457286432160805,0.3787506325236321,0.5980604944232475,,,,,,,,,,,,,,,,
run,M+MB+MR,3,3407,0.49246231155778897,0.4424666435586011,0.6231155778894473,-0.19095477386934678,0.3015075376884422,-0.3093263688887753,0.1331402746698258,0.5427135678391959,1.1658291457286432,0.3042008672209737,0.6876747408341146,-0.29145728643216084,0.20100502512562815,-0.285953273268469,0.1565133702901321,0.7889447236180904,1.4120603015075377,0.31471368922079124,0.5809485311456428,-0.35175879396984927,0.1407035175879397,-0.3641808999530699,0.07828574360553117,1.0402010050251256,1.6633165829145728,0.38108544355823215,0.5499813429299912,,,,,,,,,,,,,,,,
run,M+MB+MR,3,2026,0.4623115577889447,0.3676409818121842,0.6532663316582915,0.0,0.4623115577889447,-0.0016533469229287334,0.36598763488925545,0.0,0.6532663316582915,0.3041184774370708,0.6776838412705359,-0.3065326633165829,0.15577889447236182,-0.27549812466932705,0.09214285714285715,0.9597989949748743,1.6130653266331658,0.31312571923646576,0.5738411623754185,-0.3065326633165829,0.15577889447236182,-0.27689610479865046,0.09074487701353373,1.0301507537688441,1.6834170854271358,0.38275580332645925,0.5506613754860833,,,,,,,,,,,,,,,,
run,M+MB+MR,4,42,0.48743718592964824,0.4415082804281587,0.6683417085427136,-0.1507537688442211,0.33668341708542715,-0.27026772816293854,0.1712405522652202,0.3266331658291457,0.9949748743718593,0.3197131415354887,0.7497671048507273,-0.3065326633165829,0.18090452261306533,-0.3215763435625834,0.11993193686557531,0.9346733668341708,1.6030150753768844,0.3090673205687698,0.6740811018679418,-0.23115577889447236,0.2562814070351759,-0.29442912769683205,0.14707915273132666,0.6834170854271356,1.3517587939698492,0.3712195378957381,0.6525456321252604,,,,,,,,,,,,,,,,
run,M+MB+MR,4,3407,0.4723618090452261,0.440212239794805,0.6582914572864321,-0.12060301507537685,0.35175879396984927,-0.19175227160484645,0.24845996818995855,0.3015075376884423,0.9597989949748744,0.31287799283705553,0.7126318729614926,-0.37688442211055273,0.09547738693467336,-0.3622420905410737,0.07797014925373133,1.1608040201005028,1.8190954773869348,0.3088021249082715,0.6358385230433407,-0.2864321608040201,0.18592964824120603,-0.32009589647062436,0.12011634332418064,0.8793969849246231,1.5376884422110553,0.37831988225467,0.61102467517027,,,,,,,,,,,,,,,,
run,M+MB+MR,4,2026,0.507537688442211,0.4183720205093625,0.6080402010050251,-0.2211055276381909,0.2864321608040201,-0.303650433934229,0.1147215865751335,0.5728643216080401,1.1809045226130652,0.31153057815305163,0.7252419690711753,-0.1507537688442211,0.35678391959798994,-0.12734715441800704,0.29102486609135547,0.2763819095477388,0.8844221105527639,0.31392793066433367,0.6324089067635865,-0.2562814070351759,0.25125628140703515,-0.23608222541057863,0.18228979509878387,0.7085427135678392,1.3165829145728642,0.37454149118261104,0.6115581281930995,,,,,,,,,,,,,,,,
run,M+MB+MR,5,42,0.5226130653266332,0.41901457321304647,0.5879396984924623,-0.2261306532663317,0.2964824120603015,-0.31933852888227066,0.09967604433077579,0.6783919597989949,1.2663316582914572,0.3032682133744895,0.6489328443926131,-0.15577889447236187,0.36683417085427134,-0.12745752610562078,0.2915570471074257,0.2864321608040201,0.8743718592964824,0.31404592615973176,0.5515301365522013,-0.19597989949748745,0.32663316582914576,-0.239776391272784,0.17923818194026248,0.36180904522613067,0.949748743718593,0.38268586046577546,0.5198173135210442,,,,,,,,,,,,,,,,
run,M+MB+MR,5,3407,0.5477386934673367,0.505112756782233,0.542713567839196,-0.12562814070351763,0.4221105527638191,-0.1435274972194453,0.3615852595627877,0.2864321608040201,0.8291457286432161,0.3033558905638634,0.6810074551854686,-0.36180904522613067,0.18592964824120603,-0.3784433369328872,0.12666941984934582,0.9798994974874372,1.5226130653266332,0.31197569708205597,0.5862095736514058,-0.37688442211055284,0.1708542713567839,-0.40048598880363373,0.10462676797859927,1.0452261306532664,1.5879396984924623,0.38466841235407667,0.5615359662994451,,,,,,,,,,,,,,,,
run,M+MB+MR,5,2026,0.49748743718592964,0.4310628019323671,0.6080402010050251,-0.11055276381909546,0.3869346733668342,-0.22201927705249738,0.20904352487986974,0.33668341708542715,0.9447236180904522,0.30731370168136224,0.695518749662306,-0.2663316582914573,0.23115577889447236,-0.27001746980805835,0.16104533212430877,0.5527638190954774,1.1608040201005025,0.3112297060711721,0.5989410249206667,-0.2613065326633166,0.23618090452261306,-0.2865518677877169,0.14451093414465022,0.6884422110552765,1.2964824120603016,0.3814565922474614,0.578299699119616,,,,,,,,,,,,,,,,
run,M+MR,1,42,0.465,0.3737421837421837,0.715,-0.10000000000000003,0.365,-0.13484100715277805,0.23890117658940566,0.33999999999999997,1.055,0.4364892237065487,0.6879870898134338,,,,,,,,,-0.35500000000000004,0.11,-0.33163692058428895,0.042105263157894736,1.13,1.845,0.5635107762934478,0.5585450193631247,,,,,,,,,,,,,,,,
run,M+MR,1,3407,0.515,0.43737927635331103,0.6,-0.21500000000000002,0.3,-0.3075669083291783,0.12981236802413273,0.6450000000000001,1.245,0.44269669405322204,0.6789456186546498,,,,,,,,,-0.335,0.18,-0.31939264218620766,0.11798663416710334,0.955,1.555,0.5573033059467748,0.5622461661220449,,,,,,,,,,,,,,,,
run,M+MR,1,2026,0.445,0.3651937831988983,0.705,-0.29000000000000004,0.155,-0.2799280827158065,0.08526570048309179,0.985,1.69,0.4562784749326108,0.677358190529429,,,,,,,,,-0.325,0.12,-0.3223366403417554,0.04285714285714286,1.08,1.785,0.5437215250673858,0.5794072035096068,,,,,,,,,,,,,,,,
run,M+MR,2,42,0.4824120603015075,0.43204929788072804,0.6683417085427136,-0.1658291457286432,0.3165829145728643,-0.21238691542010424,0.2196623824606238,0.4522613065326634,1.120603015075377,0.45753808019507003,0.7490634714344834,,,,,,,,,-0.3316582914572864,0.1507537688442211,-0.3206228612371438,0.11142643664358429,1.0351758793969847,1.7035175879396984,0.5424619198049271,0.6518785091415417,,,,,,,,,,,,,,,,
run,M+MR,2,3407,0.48743718592964824,0.43163108200665673,0.6532663316582915,-0.19597989949748745,0.2914572864321608,-0.325711487198173,0.1059195948084837,0.5979899497487436,1.2512562814070352,0.44598881190248935,0.7092508713253773,,,,,,,,,-0.37688442211055273,0.11055276381909548,-0.38191356788236297,0.04971751412429379,1.3567839195979898,2.0100502512562812,0.554011188097507,0.5975953836757099,,,,,,,,,,,,,,,,
run,M+MR,2,2026,0.47738693467336685,0.4297620237559765,0.6633165829145728,-0.19597989949748745,0.2814070351758794,-0.30368042086327,0.12608160289270648,0.5075376884422111,1.170854271356784,0.4454815394573791,0.6405267748237014,,,,,,,,,-0.3668341708542714,0.11055276381909548,-0.3642270001203942,0.0655350236355823,1.306532663316583,1.9698492462311559,0.5545184605426182,0.5398617504070279,,,,,,,,,,,,,,,,
run,M+MR,3,42,0.46733668341708545,0.37117515608081647,0.6582914572864321,-0.10050251256281412,0.36683417085427134,-0.15745625561501575,0.21371890046580072,0.16582914572864327,0.8241206030150754,0.45644634449691035,0.7482541973975834,,,,,,,,,-0.3417085427135679,0.12562814070351758,-0.28620185493240013,0.08497330114841636,1.3718592964824121,2.030150753768844,0.5435536555030869,0.6387723769260555,,,,,,,,,,,,,,,,
