step,task,label_strategy,modality,input_region,fold,training_seed,train_count,evaluation_count,train_class_counts,evaluation_class_counts,parameter_count,class_0_precision,class_0_recall,class_0_f1,class_1_precision,class_1_recall,class_1_f1,class_2_precision,class_2_recall,class_2_f1,class_3_precision,class_3_recall,class_3_f1,class_4_precision,class_4_recall,class_4_f1,accuracy,macro_f1,mae
step_15_N,five_class,Hard Label,MR,background,1,42,794,202,"{'0': 28, '1': 98, '2': 179, '3': 260, '4': 229}","{'0': 8, '1': 25, '2': 45, '3': 66, '4': 58}",23518277,0.0,0.0,0.0,0.4583333333333333,0.44,0.4489795918367347,0.39285714285714285,0.24444444444444444,0.3013698630136986,0.4482758620689655,0.7878787878787878,0.5714285714285714,0.6875,0.3793103448275862,0.4888888888888889,0.4752475247524752,0.3621333830335787,0.6485148514851485
step_15_N,five_class,Hard Label,MR,background,2,42,796,200,"{'0': 29, '1': 98, '2': 179, '3': 261, '4': 229}","{'0': 7, '1': 25, '2': 45, '3': 65, '4': 58}",23518277,0.0,0.0,0.0,0.6153846153846154,0.64,0.6274509803921569,0.39473684210526316,0.3333333333333333,0.36144578313253006,0.46511627906976744,0.6153846153846154,0.5298013245033113,0.64,0.5517241379310345,0.5925925925925927,0.515,0.42225813612411817,0.6
step_15_N,five_class,Hard Label,MR,background,3,42,797,199,"{'0': 29, '1': 98, '2': 179, '3': 261, '4': 230}","{'0': 7, '1': 25, '2': 45, '3': 65, '4': 57}",23518277,0.5,0.2857142857142857,0.36363636363636365,0.5833333333333334,0.28,0.3783783783783784,0.37333333333333335,0.6222222222222222,0.4666666666666667,0.40476190476190477,0.26153846153846155,0.3177570093457944,0.5606060606060606,0.6491228070175439,0.6016260162601625,0.457286432160804,0.42561288685747306,0.6331658291457286
step_15_N,five_class,Hard Label,MR,background,4,42,798,198,"{'0': 29, '1': 99, '2': 179, '3': 261, '4': 230}","{'0': 7, '1': 24, '2': 45, '3': 65, '4': 57}",23518277,0.2,0.14285714285714285,0.16666666666666666,0.5,0.3333333333333333,0.4,0.3037974683544304,0.5333333333333333,0.38709677419354843,0.38095238095238093,0.12307692307692308,0.18604651162790697,0.5194805194805194,0.7017543859649122,0.5970149253731343,0.4090909090909091,0.3473649755722513,0.797979797979798
step_15_N,five_class,Hard Label,MR,background,5,42,799,197,"{'0': 29, '1': 99, '2': 180, '3': 261, '4': 230}","{'0': 7, '1': 24, '2': 44, '3': 65, '4': 57}",23518277,0.5,0.14285714285714285,0.22222222222222224,0.45454545454545453,0.4166666666666667,0.43478260869565216,0.3108108108108108,0.5227272727272727,0.3898305084745763,0.5384615384615384,0.2153846153846154,0.3076923076923077,0.5753424657534246,0.7368421052631579,0.6461538461538462,0.45685279187817257,0.40013629864772093,0.6548223350253807
step_15_N,five_class,Hard Label,MR,background,1,3407,794,202,"{'0': 28, '1': 98, '2': 179, '3': 260, '4': 229}","{'0': 8, '1': 25, '2': 45, '3': 66, '4': 58}",23518277,0.0,0.0,0.0,0.37142857142857144,0.52,0.43333333333333335,0.25,0.08888888888888889,0.13114754098360656,0.4367816091954023,0.5757575757575758,0.4967320261437909,0.4918032786885246,0.5172413793103449,0.5042016806722689,0.4207920792079208,0.31308291622659995,0.7475247524752475
step_15_N,five_class,Hard Label,MR,background,2,3407,796,200,"{'0': 29, '1': 98, '2': 179, '3': 261, '4': 229}","{'0': 7, '1': 25, '2': 45, '3': 65, '4': 58}",23518277,0.0,0.0,0.0,0.6,0.48,0.5333333333333332,0.41818181818181815,0.5111111111111111,0.4599999999999999,0.5,0.4153846153846154,0.453781512605042,0.5970149253731343,0.6896551724137931,0.64,0.51,0.417422969187675,0.61
step_15_N,five_class,Hard Label,MR,background,3,3407,797,199,"{'0': 29, '1': 98, '2': 179, '3': 261, '4': 230}","{'0': 7, '1': 25, '2': 45, '3': 65, '4': 57}",23518277,0.0,0.0,0.0,0.5217391304347826,0.48,0.4999999999999999,0.42857142857142855,0.26666666666666666,0.3287671232876712,0.42528735632183906,0.5692307692307692,0.4868421052631578,0.5172413793103449,0.5263157894736842,0.5217391304347826,0.457286432160804,0.3674696717971223,0.6934673366834171
step_15_N,five_class,Hard Label,MR,background,4,3407,798,198,"{'0': 29, '1': 99, '2': 179, '3': 261, '4': 230}","{'0': 7, '1': 24, '2': 45, '3': 65, '4': 57}",23518277,0.0,0.0,0.0,0.5882352941176471,0.4166666666666667,0.48780487804878053,0.475,0.4222222222222222,0.4470588235294118,0.43902439024390244,0.27692307692307694,0.33962264150943394,0.4479166666666667,0.7543859649122807,0.5620915032679739,0.45454545454545453,0.36731556927112,0.7727272727272727
step_15_N,five_class,Hard Label,MR,background,5,3407,799,197,"{'0': 29, '1': 99, '2': 180, '3': 261, '4': 230}","{'0': 7, '1': 24, '2': 44, '3': 65, '4': 57}",23518277,0.0,0.0,0.0,0.5789473684210527,0.4583333333333333,0.5116279069767442,0.29508196721311475,0.4090909090909091,0.34285714285714286,0.4675324675324675,0.5538461538461539,0.5070422535211268,0.6060606060606061,0.3508771929824561,0.4444444444444444,0.43147208121827413,0.3611943495598916,0.7157360406091371
step_15_N,five_class,Hard Label,MR,background,1,2026,794,202,"{'0': 28, '1': 98, '2': 179, '3': 260, '4': 229}","{'0': 8, '1': 25, '2': 45, '3': 66, '4': 58}",23518277,0.6666666666666666,0.25,0.36363636363636365,0.4444444444444444,0.32,0.37209302325581395,0.3225806451612903,0.2222222222222222,0.2631578947368421,0.43529411764705883,0.5606060606060606,0.4900662251655629,0.5384615384615384,0.603448275862069,0.5691056910569107,0.45544554455445546,0.4116118395702987,0.6732673267326733
step_15_N,five_class,Hard Label,MR,background,2,2026,796,200,"{'0': 29, '1': 98, '2': 179, '3': 261, '4': 229}","{'0': 7, '1': 25, '2': 45, '3': 65, '4': 58}",23518277,0.0,0.0,0.0,0.47368421052631576,0.72,0.5714285714285714,0.37037037037037035,0.4444444444444444,0.404040404040404,0.4189189189189189,0.47692307692307695,0.4460431654676259,0.6666666666666666,0.3793103448275862,0.48351648351648346,0.455,0.381005724890617,0.7
step_15_N,five_class,Hard Label,MR,background,3,2026,797,199,"{'0': 29, '1': 98, '2': 179, '3': 261, '4': 230}","{'0': 7, '1': 25, '2': 45, '3': 65, '4': 57}",23518277,0.6,0.42857142857142855,0.5,0.6190476190476191,0.52,0.5652173913043478,0.4,0.4444444444444444,0.4210526315789474,0.42168674698795183,0.5384615384615384,0.47297297297297297,0.55,0.38596491228070173,0.4536082474226804,0.46733668341708545,0.4825702486557897,0.6331658291457286
step_15_N,five_class,Hard Label,MR,background,4,2026,798,198,"{'0': 29, '1': 99, '2': 179, '3': 261, '4': 230}","{'0': 7, '1': 24, '2': 45, '3': 65, '4': 57}",23518277,0.0,0.0,0.0,0.36,0.375,0.3673469387755102,0.22727272727272727,0.2222222222222222,0.22471910112359547,0.3698630136986301,0.4153846153846154,0.3913043478260869,0.4528301886792453,0.42105263157894735,0.43636363636363634,0.35353535353535354,0.2839468048177658,0.8636363636363636
