step,task,label_strategy,modality,fold,training_seed,train_count,evaluation_count,train_class_counts,evaluation_class_counts,parameter_count,accuracy,macro_f1,mae,class_0_precision,class_0_recall,class_0_f1,class_1_precision,class_1_recall,class_1_f1,class_2_precision,class_2_recall,class_2_f1,class_3_precision,class_3_recall,class_3_f1,class_4_precision,class_4_recall,class_4_f1,confusion_matrix
step_08_N,five_class,Soft Label epsilon=0.10 adjacent,M,1,2026,794,202,"{""0"": 28, ""1"": 98, ""2"": 179, ""3"": 260, ""4"": 229}","{""0"": 8, ""1"": 25, ""2"": 45, ""3"": 66, ""4"": 58}",23518277,0.45544554455445546,0.35613672515183653,0.6782178217821783,0.0,0.0,0.0,0.5,0.32,0.39024390243902435,0.3404255319148936,0.35555555555555557,0.3478260869565218,0.41935483870967744,0.3939393939393939,0.40625,0.5675675675675675,0.7241379310344828,0.6363636363636365,"[[0, 4, 2, 2, 0], [2, 8, 11, 4, 0], [0, 2, 16, 21, 6], [1, 0, 13, 26, 26], [0, 2, 5, 9, 42]]"
step_08_N,five_class,Soft Label epsilon=0.10 adjacent,M,2,2026,796,200,"{""0"": 29, ""1"": 98, ""2"": 179, ""3"": 261, ""4"": 229}","{""0"": 7, ""1"": 25, ""2"": 45, ""3"": 65, ""4"": 58}",23518277,0.47,0.3890388860587536,0.685,0.0,0.0,0.0,0.5185185185185185,0.56,0.5384615384615384,0.4418604651162791,0.4222222222222222,0.4318181818181818,0.43023255813953487,0.5692307692307692,0.4900662251655629,0.5853658536585366,0.41379310344827586,0.48484848484848475,"[[0, 2, 2, 2, 1], [2, 14, 5, 4, 0], [1, 5, 19, 15, 5], [0, 5, 12, 37, 11], [0, 1, 5, 28, 24]]"
step_08_N,five_class,Soft Label epsilon=0.10 adjacent,M,3,2026,797,199,"{""0"": 29, ""1"": 98, ""2"": 179, ""3"": 261, ""4"": 230}","{""0"": 7, ""1"": 25, ""2"": 45, ""3"": 65, ""4"": 57}",23518277,0.46733668341708545,0.3768354748596474,0.7035175879396985,0.0,0.0,0.0,0.5,0.4,0.4444444444444445,0.4230769230769231,0.4888888888888889,0.4536082474226804,0.46875,0.46153846153846156,0.46511627906976744,0.5,0.543859649122807,0.5210084033613446,"[[0, 4, 0, 2, 1], [0, 10, 10, 3, 2], [1, 3, 22, 13, 6], [0, 2, 11, 30, 22], [0, 1, 9, 16, 31]]"
step_08_N,five_class,Soft Label epsilon=0.10 adjacent,M,4,2026,798,198,"{""0"": 29, ""1"": 99, ""2"": 179, ""3"": 261, ""4"": 230}","{""0"": 7, ""1"": 24, ""2"": 45, ""3"": 65, ""4"": 57}",23518277,0.46464646464646464,0.3965675500969618,0.6818181818181818,0.16666666666666666,0.14285714285714285,0.15384615384615383,0.4074074074074074,0.4583333333333333,0.4313725490196078,0.4,0.3111111111111111,0.35000000000000003,0.45901639344262296,0.4307692307692308,0.4444444444444444,0.5507246376811594,0.6666666666666666,0.603174603174603,"[[1, 3, 0, 0, 3], [3, 11, 5, 4, 1], [2, 10, 14, 14, 5], [0, 2, 13, 28, 22], [0, 1, 3, 15, 38]]"
step_08_N,five_class,Soft Label epsilon=0.10 adjacent,M,5,2026,799,197,"{""0"": 29, ""1"": 99, ""2"": 180, ""3"": 261, ""4"": 230}","{""0"": 7, ""1"": 24, ""2"": 44, ""3"": 65, ""4"": 57}",23518277,0.45685279187817257,0.4368317445555297,0.6751269035532995,0.5,0.2857142857142857,0.36363636363636365,0.4444444444444444,0.5,0.47058823529411764,0.35,0.3181818181818182,0.3333333333333333,0.410958904109589,0.46153846153846156,0.43478260869565216,0.6037735849056604,0.5614035087719298,0.5818181818181818,"[[2, 3, 1, 1, 0], [2, 12, 5, 4, 1], [0, 6, 14, 20, 4], [0, 2, 17, 30, 16], [0, 4, 3, 18, 32]]"
step_08_N,five_class,Soft Label epsilon=0.10 adjacent,MB,1,42,794,202,"{""0"": 28, ""1"": 98, ""2"": 179, ""3"": 260, ""4"": 229}","{""0"": 8, ""1"": 25, ""2"": 45, ""3"": 66, ""4"": 58}",23518277,0.47029702970297027,0.38183930616920303,0.6336633663366337,0.0,0.0,0.0,0.4782608695652174,0.44,0.4583333333333333,0.38461538461538464,0.4444444444444444,0.4123711340206186,0.44871794871794873,0.5303030303030303,0.48611111111111116,0.6170212765957447,0.5,0.5523809523809523,"[[0, 5, 2, 1, 0], [1, 11, 10, 3, 0], [1, 4, 20, 17, 3], [0, 2, 14, 35, 15], [0, 1, 6, 22, 29]]"
step_08_N,five_class,Soft Label epsilon=0.10 adjacent,MB,2,42,796,200,"{""0"": 29, ""1"": 98, ""2"": 179, ""3"": 261, ""4"": 229}","{""0"": 7, ""1"": 25, ""2"": 45, ""3"": 65, ""4"": 58}",23518277,0.475,0.39372400209609515,0.66,0.0,0.0,0.0,0.5333333333333333,0.64,0.5818181818181818,0.4146341463414634,0.37777777777777777,0.39534883720930236,0.42857142857142855,0.46153846153846156,0.4444444444444445,0.5423728813559322,0.5517241379310345,0.547008547008547,"[[0, 3, 2, 1, 1], [0, 16, 5, 3, 1], [0, 7, 17, 13, 8], [0, 4, 14, 30, 17], [0, 0, 3, 23, 32]]"
step_08_N,five_class,Soft Label epsilon=0.10 adjacent,MB,3,42,797,199,"{""0"": 29, ""1"": 98, ""2"": 179, ""3"": 261, ""4"": 230}","{""0"": 7, ""1"": 25, ""2"": 45, ""3"": 65, ""4"": 57}",23518277,0.48743718592964824,0.4037384271390141,0.6633165829145728,0.0,0.0,0.0,0.6363636363636364,0.56,0.5957446808510639,0.41025641025641024,0.35555555555555557,0.38095238095238093,0.475,0.5846153846153846,0.5241379310344827,0.5272727272727272,0.5087719298245614,0.5178571428571429,"[[0, 4, 1, 1, 1], [0, 14, 6, 3, 2], [2, 4, 16, 15, 8], [1, 0, 11, 38, 15], [0, 0, 5, 23, 29]]"
step_08_N,five_class,Soft Label epsilon=0.10 adjacent,MB,4,42,798,198,"{""0"": 29, ""1"": 99, ""2"": 179, ""3"": 261, ""4"": 230}","{""0"": 7, ""1"": 24, ""2"": 45, ""3"": 65, ""4"": 57}",23518277,0.41414141414141414,0.3382827812900202,0.7424242424242424,0.0,0.0,0.0,0.5,0.4166666666666667,0.45454545454545453,0.275,0.24444444444444444,0.2588235294117647,0.3875,0.47692307692307695,0.4275862068965517,0.5769230769230769,0.5263157894736842,0.5504587155963302,"[[0, 3, 1, 2, 1], [3, 10, 5, 4, 2], [2, 6, 11, 22, 4], [1, 1, 17, 31, 15], [0, 0, 6, 21, 30]]"
step_08_N,five_class,Soft Label epsilon=0.10 adjacent,MB,5,42,799,197,"{""0"": 29, ""1"": 99, ""2"": 180, ""3"": 261, ""4"": 230}","{""0"": 7, ""1"": 24, ""2"": 44, ""3"": 65, ""4"": 57}",23518277,0.4619289340101523,0.4081011687226773,0.649746192893401,0.5,0.14285714285714285,0.22222222222222224,0.4444444444444444,0.5,0.47058823529411764,0.3157894736842105,0.2727272727272727,0.2926829268292683,0.4605263157894737,0.5384615384615384,0.49645390070921985,0.5740740740740741,0.543859649122807,0.5585585585585585,"[[1, 4, 2, 0, 0], [1, 12, 8, 2, 1], [0, 7, 12, 21, 4], [0, 3, 9, 35, 18], [0, 1, 7, 18, 31]]"
