run: seed=42 fold=3 variant=crop label=Soft Label
train samples=797 eval samples=199 epochs=50
epoch 01/50 mean_loss=1.4898 lr=0.0001 elapsed=3.1s
epoch 02/50 mean_loss=1.3347 lr=0.0001 elapsed=3.1s
epoch 03/50 mean_loss=1.2607 lr=0.0001 elapsed=3.0s
epoch 04/50 mean_loss=1.1864 lr=0.0001 elapsed=3.0s
epoch 05/50 mean_loss=1.0875 lr=0.0001 elapsed=3.0s
epoch 06/50 mean_loss=1.0326 lr=0.0001 elapsed=3.0s
epoch 07/50 mean_loss=0.9806 lr=0.0001 elapsed=3.1s
epoch 08/50 mean_loss=0.8941 lr=0.0001 elapsed=2.9s
epoch 09/50 mean_loss=0.8248 lr=0.0001 elapsed=3.0s
epoch 10/50 mean_loss=0.8078 lr=0.0001 elapsed=2.9s
epoch 11/50 mean_loss=0.7556 lr=0.0001 elapsed=3.0s
epoch 12/50 mean_loss=0.7347 lr=0.0001 elapsed=3.0s
epoch 13/50 mean_loss=0.7206 lr=0.0001 elapsed=2.9s
epoch 14/50 mean_loss=0.7005 lr=0.0001 elapsed=2.9s
epoch 15/50 mean_loss=0.6830 lr=0.0001 elapsed=3.0s
epoch 16/50 mean_loss=0.6448 lr=0.0001 elapsed=2.9s
epoch 17/50 mean_loss=0.6353 lr=0.0001 elapsed=3.0s
epoch 18/50 mean_loss=0.6255 lr=0.0001 elapsed=3.0s
epoch 19/50 mean_loss=0.6130 lr=0.0001 elapsed=2.9s
epoch 20/50 mean_loss=0.5995 lr=0.0001 elapsed=3.0s
epoch 21/50 mean_loss=0.6001 lr=0.0001 elapsed=3.0s
epoch 22/50 mean_loss=0.6031 lr=0.0001 elapsed=3.0s
epoch 23/50 mean_loss=0.6020 lr=0.0001 elapsed=3.0s
epoch 24/50 mean_loss=0.5984 lr=0.0001 elapsed=2.9s
epoch 25/50 mean_loss=0.5900 lr=0.0001 elapsed=3.0s
epoch 26/50 mean_loss=0.5824 lr=0.0001 elapsed=3.0s
epoch 27/50 mean_loss=0.5887 lr=0.0001 elapsed=3.0s
epoch 28/50 mean_loss=0.5905 lr=0.0001 elapsed=3.0s
epoch 29/50 mean_loss=0.5805 lr=0.0001 elapsed=3.0s
epoch 30/50 mean_loss=0.5765 lr=0.0001 elapsed=3.0s
epoch 31/50 mean_loss=0.5757 lr=0.0001 elapsed=3.0s
epoch 32/50 mean_loss=0.5787 lr=0.0001 elapsed=3.0s
epoch 33/50 mean_loss=0.5710 lr=0.0001 elapsed=3.1s
epoch 34/50 mean_loss=0.5702 lr=0.0001 elapsed=3.0s
epoch 35/50 mean_loss=0.5660 lr=0.0001 elapsed=3.0s
epoch 36/50 mean_loss=0.5658 lr=0.0001 elapsed=2.9s
epoch 37/50 mean_loss=0.5723 lr=0.0001 elapsed=3.0s
epoch 38/50 mean_loss=0.5657 lr=0.0001 elapsed=3.0s
epoch 39/50 mean_loss=0.5635 lr=0.0001 elapsed=2.9s
epoch 40/50 mean_loss=0.5627 lr=0.0001 elapsed=3.0s
epoch 41/50 mean_loss=0.5639 lr=0.0001 elapsed=3.0s
epoch 42/50 mean_loss=0.5602 lr=0.0001 elapsed=3.0s
epoch 43/50 mean_loss=0.5592 lr=0.0001 elapsed=3.0s
epoch 44/50 mean_loss=0.5595 lr=0.0001 elapsed=3.0s
epoch 45/50 mean_loss=0.5582 lr=0.0001 elapsed=3.0s
epoch 46/50 mean_loss=0.5562 lr=0.0001 elapsed=3.0s
epoch 47/50 mean_loss=0.5551 lr=0.0001 elapsed=2.9s
epoch 48/50 mean_loss=0.5534 lr=0.0001 elapsed=3.0s
epoch 49/50 mean_loss=0.5547 lr=0.0001 elapsed=3.0s
epoch 50/50 mean_loss=0.5561 lr=0.0001 elapsed=3.0s
