run: seed=42 fold=1 variant=background label=Soft Label
train samples=794 eval samples=202 epochs=50
epoch 01/50 mean_loss=1.4780 lr=0.0001 elapsed=4.0s
epoch 02/50 mean_loss=1.3293 lr=0.0001 elapsed=3.4s
epoch 03/50 mean_loss=1.2399 lr=0.0001 elapsed=3.4s
epoch 04/50 mean_loss=1.1626 lr=0.0001 elapsed=3.6s
epoch 05/50 mean_loss=1.0676 lr=0.0001 elapsed=3.5s
epoch 06/50 mean_loss=1.0317 lr=0.0001 elapsed=3.4s
epoch 07/50 mean_loss=0.9553 lr=0.0001 elapsed=3.4s
epoch 08/50 mean_loss=0.8796 lr=0.0001 elapsed=3.4s
epoch 09/50 mean_loss=0.8267 lr=0.0001 elapsed=3.4s
epoch 10/50 mean_loss=0.7839 lr=0.0001 elapsed=3.4s
epoch 11/50 mean_loss=0.7403 lr=0.0001 elapsed=3.4s
epoch 12/50 mean_loss=0.7030 lr=0.0001 elapsed=3.4s
epoch 13/50 mean_loss=0.6858 lr=0.0001 elapsed=3.4s
epoch 14/50 mean_loss=0.6740 lr=0.0001 elapsed=3.4s
epoch 15/50 mean_loss=0.6371 lr=0.0001 elapsed=3.4s
epoch 16/50 mean_loss=0.6424 lr=0.0001 elapsed=3.4s
epoch 17/50 mean_loss=0.6309 lr=0.0001 elapsed=3.4s
epoch 18/50 mean_loss=0.6335 lr=0.0001 elapsed=3.4s
epoch 19/50 mean_loss=0.6188 lr=0.0001 elapsed=3.5s
epoch 20/50 mean_loss=0.6167 lr=0.0001 elapsed=3.4s
epoch 21/50 mean_loss=0.6153 lr=0.0001 elapsed=3.4s
epoch 22/50 mean_loss=0.5903 lr=0.0001 elapsed=3.4s
epoch 23/50 mean_loss=0.6015 lr=0.0001 elapsed=3.4s
epoch 24/50 mean_loss=0.5980 lr=0.0001 elapsed=3.4s
epoch 25/50 mean_loss=0.5896 lr=0.0001 elapsed=3.5s
epoch 26/50 mean_loss=0.5861 lr=0.0001 elapsed=3.4s
epoch 27/50 mean_loss=0.5894 lr=0.0001 elapsed=3.4s
epoch 28/50 mean_loss=0.5846 lr=0.0001 elapsed=3.5s
epoch 29/50 mean_loss=0.5760 lr=0.0001 elapsed=3.4s
epoch 30/50 mean_loss=0.5762 lr=0.0001 elapsed=3.4s
epoch 31/50 mean_loss=0.5743 lr=0.0001 elapsed=3.4s
epoch 32/50 mean_loss=0.5739 lr=0.0001 elapsed=3.4s
epoch 33/50 mean_loss=0.5686 lr=0.0001 elapsed=3.4s
epoch 34/50 mean_loss=0.5755 lr=0.0001 elapsed=3.4s
epoch 35/50 mean_loss=0.5672 lr=0.0001 elapsed=3.4s
epoch 36/50 mean_loss=0.5642 lr=0.0001 elapsed=3.4s
epoch 37/50 mean_loss=0.5618 lr=0.0001 elapsed=3.4s
epoch 38/50 mean_loss=0.5645 lr=0.0001 elapsed=3.4s
epoch 39/50 mean_loss=0.5650 lr=0.0001 elapsed=3.4s
epoch 40/50 mean_loss=0.5647 lr=0.0001 elapsed=3.4s
epoch 41/50 mean_loss=0.5576 lr=0.0001 elapsed=3.4s
epoch 42/50 mean_loss=0.5591 lr=0.0001 elapsed=3.4s
epoch 43/50 mean_loss=0.5643 lr=0.0001 elapsed=3.4s
epoch 44/50 mean_loss=0.5632 lr=0.0001 elapsed=3.4s
epoch 45/50 mean_loss=0.5582 lr=0.0001 elapsed=3.4s
epoch 46/50 mean_loss=0.5581 lr=0.0001 elapsed=3.4s
epoch 47/50 mean_loss=0.5576 lr=0.0001 elapsed=3.4s
epoch 48/50 mean_loss=0.5600 lr=0.0001 elapsed=3.4s
epoch 49/50 mean_loss=0.5543 lr=0.0001 elapsed=3.4s
epoch 50/50 mean_loss=0.5555 lr=0.0001 elapsed=3.4s
