record_type,scheme,training_seed,accuracy,macro_f1,mae,adjacent_error_rate,far_error_rate,fold,train_n,eval_n,train_minutes,majority_acc,accuracy_std,macro_f1_std,mae_std,adjacent_error_rate_std,far_error_rate_std
fold_raw_reference,M (Soft),42,0.425,0.34279344812860546,0.755,0.415,0.16,1.0,796.0,200.0,2.69,,,,,,
fold_raw_reference,M (Soft),42,0.4824120603015075,0.44884085985510164,0.6582914572864321,0.4120603015075377,0.10552763819095477,2.0,797.0,199.0,2.44,,,,,,
fold_raw_reference,M (Soft),42,0.49748743718592964,0.42749166559858115,0.6381909547738693,0.4020100502512563,0.10050251256281408,3.0,797.0,199.0,2.0,,,,,,
fold_raw_reference,M (Soft),42,0.4221105527638191,0.34650978812577665,0.7286432160804021,0.4371859296482412,0.1407035175879397,4.0,797.0,199.0,2.01,,,,,,
fold_raw_reference,M (Soft),42,0.49246231155778897,0.43460800338442007,0.6432160804020101,0.39195979899497485,0.11557788944723618,5.0,797.0,199.0,2.01,,,,,,
fold_raw_reference,M (Soft),3407,0.455,0.3750291790483692,0.7,0.42,0.125,1.0,796.0,200.0,2.02,,,,,,
fold_raw_reference,M (Soft),3407,0.4623115577889447,0.4494960560911482,0.6180904522613065,0.47738693467336685,0.06030150753768844,2.0,797.0,199.0,2.02,,,,,,
fold_raw_reference,M (Soft),3407,0.4723618090452261,0.4500287826626785,0.6331658291457286,0.4371859296482412,0.09045226130653267,3.0,797.0,199.0,2.01,,,,,,
fold_raw_reference,M (Soft),3407,0.48743718592964824,0.42868433161644326,0.6582914572864321,0.3869346733668342,0.12562814070351758,4.0,797.0,199.0,2.01,,,,,,
fold_raw_reference,M (Soft),3407,0.507537688442211,0.4439999710493175,0.6381909547738693,0.37185929648241206,0.12060301507537688,5.0,797.0,199.0,2.02,,,,,,
fold_raw_reference,M (Soft),2026,0.445,0.38185722149341855,0.725,0.425,0.13,1.0,796.0,200.0,2.02,,,,,,
