step,task,label_strategy,modality,input_region,fold,training_seed,train_count,evaluation_count,train_class_counts,evaluation_class_counts,parameter_count,class_0_precision,class_0_recall,class_0_f1,class_1_precision,class_1_recall,class_1_f1,class_2_precision,class_2_recall,class_2_f1,class_3_precision,class_3_recall,class_3_f1,class_4_precision,class_4_recall,class_4_f1,accuracy,macro_f1,mae
step_16_N,five_class,Soft Label,MR,mask,1,42,794,202,"{'0': 28, '1': 98, '2': 179, '3': 260, '4': 229}","{'0': 8, '1': 25, '2': 45, '3': 66, '4': 58}",23518277,0.0,0.0,0.0,0.42105263157894735,0.32,0.3636363636363636,0.358974358974359,0.3111111111111111,0.3333333333333333,0.45977011494252873,0.6060606060606061,0.5228758169934641,0.5357142857142857,0.5172413793103449,0.5263157894736843,0.45544554455445546,0.34923226068736907,0.7178217821782178
step_16_N,five_class,Soft Label,MR,mask,2,42,796,200,"{'0': 29, '1': 98, '2': 179, '3': 261, '4': 229}","{'0': 7, '1': 25, '2': 45, '3': 65, '4': 58}",23518277,0.0,0.0,0.0,0.4857142857142857,0.68,0.5666666666666667,0.3191489361702128,0.3333333333333333,0.3260869565217391,0.45098039215686275,0.35384615384615387,0.39655172413793105,0.5671641791044776,0.6551724137931034,0.608,0.465,0.37946106946526736,0.69
step_16_N,five_class,Soft Label,MR,mask,3,42,797,199,"{'0': 29, '1': 98, '2': 179, '3': 261, '4': 230}","{'0': 7, '1': 25, '2': 45, '3': 65, '4': 57}",23518277,0.0,0.0,0.0,0.4411764705882353,0.6,0.5084745762711865,0.3269230769230769,0.37777777777777777,0.3505154639175258,0.4264705882352941,0.4461538461538462,0.43609022556390975,0.6136363636363636,0.47368421052631576,0.5346534653465346,0.44221105527638194,0.36594674621983136,0.7336683417085427
step_16_N,five_class,Soft Label,MR,mask,4,42,798,198,"{'0': 29, '1': 99, '2': 179, '3': 261, '4': 230}","{'0': 7, '1': 24, '2': 45, '3': 65, '4': 57}",23518277,0.0,0.0,0.0,0.5909090909090909,0.5416666666666666,0.5652173913043478,0.4358974358974359,0.37777777777777777,0.40476190476190477,0.45098039215686275,0.35384615384615387,0.39655172413793105,0.4634146341463415,0.6666666666666666,0.5467625899280576,0.4595959595959596,0.38265872202644824,0.7575757575757576
step_16_N,five_class,Soft Label,MR,mask,5,42,799,197,"{'0': 29, '1': 99, '2': 180, '3': 261, '4': 230}","{'0': 7, '1': 24, '2': 44, '3': 65, '4': 57}",23518277,0.5,0.14285714285714285,0.22222222222222224,0.6818181818181818,0.625,0.6521739130434783,0.4117647058823529,0.3181818181818182,0.358974358974359,0.4375,0.6461538461538462,0.5217391304347826,0.6046511627906976,0.45614035087719296,0.52,0.49746192893401014,0.4550219249349684,0.5634517766497462
step_16_N,five_class,Soft Label,MR,mask,1,3407,794,202,"{'0': 28, '1': 98, '2': 179, '3': 260, '4': 229}","{'0': 8, '1': 25, '2': 45, '3': 66, '4': 58}",23518277,1.0,0.25,0.4,0.5,0.4,0.4444444444444445,0.39285714285714285,0.24444444444444444,0.3013698630136986,0.425531914893617,0.6060606060606061,0.5,0.5,0.5,0.5,0.45544554455445546,0.42916286149162863,0.6782178217821783
step_16_N,five_class,Soft Label,MR,mask,2,3407,796,200,"{'0': 29, '1': 98, '2': 179, '3': 261, '4': 229}","{'0': 7, '1': 25, '2': 45, '3': 65, '4': 58}",23518277,0.0,0.0,0.0,0.4642857142857143,0.52,0.49056603773584906,0.3283582089552239,0.4888888888888889,0.3928571428571429,0.4117647058823529,0.4307692307692308,0.4210526315789474,0.5833333333333334,0.3620689655172414,0.44680851063829785,0.42,0.35025686456204747,0.72
step_16_N,five_class,Soft Label,MR,mask,3,3407,797,199,"{'0': 29, '1': 98, '2': 179, '3': 261, '4': 230}","{'0': 7, '1': 25, '2': 45, '3': 65, '4': 57}",23518277,0.0,0.0,0.0,0.5,0.36,0.41860465116279066,0.4444444444444444,0.26666666666666666,0.33333333333333337,0.39361702127659576,0.5692307692307692,0.46540880503144655,0.46551724137931033,0.47368421052631576,0.46956521739130436,0.4271356783919598,0.33738240138377495,0.7236180904522613
step_16_N,five_class,Soft Label,MR,mask,4,3407,798,198,"{'0': 29, '1': 99, '2': 179, '3': 261, '4': 230}","{'0': 7, '1': 24, '2': 45, '3': 65, '4': 57}",23518277,0.0,0.0,0.0,0.43478260869565216,0.4166666666666667,0.425531914893617,0.4523809523809524,0.4222222222222222,0.4367816091954023,0.49382716049382713,0.6153846153846154,0.547945205479452,0.5306122448979592,0.45614035087719296,0.49056603773584906,0.4797979797979798,0.3801649534608641,0.7121212121212122
step_16_N,five_class,Soft Label,MR,mask,5,3407,799,197,"{'0': 29, '1': 99, '2': 180, '3': 261, '4': 230}","{'0': 7, '1': 24, '2': 44, '3': 65, '4': 57}",23518277,0.0,0.0,0.0,0.625,0.625,0.625,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.47692307692307695,0.47692307692307695,0.47692307692307695,0.6031746031746031,0.6666666666666666,0.6333333333333333,0.5279187817258884,0.437960372960373,0.5279187817258884
